# 885642.TI 跨境电商
time,close,amount
2025-06-13,901.698,93797117000.0
2025-06-16,910.253,77033543000.0
2025-06-17,908.422,81434344000.0
2025-06-18,900.395,75212052000.0
2025-06-19,878.698,70511610000.0
2025-06-20,871.182,60726804000.0
2025-06-23,886.073,64006721000.0
2025-06-24,902.891,78330902000.0
2025-06-25,911.835,93014983000.0
2025-06-26,910.493,91546982000.0
2025-06-27,915.003,85646970000.0
2025-06-30,926.126,82905141000.0
2025-07-01,927.43,78355970000.0
2025-07-02,923.215,69469794000.0
2025-07-03,929.032,65788346000.0
2025-07-04,919.854,73661365000.0
2025-07-07,929.618,71860249000.0
2025-07-08,936.828,82077201000.0
2025-07-09,937.521,84291701000.0
2025-07-10,938.738,86377244000.0
2025-07-11,940.025,88017309000.0
2025-07-14,942.28,67009918000.0
2025-07-15,934.537,82611145000.0
2025-07-16,942.183,75696483000.0
2025-07-17,948.653,86094906000.0
2025-07-18,947.487,79021703000.0
2025-07-21,953.933,81363161000.0
2025-07-22,951.653,80757221000.0
2025-07-23,947.726,83066434000.0
2025-07-24,960.237,83226860000.0
2025-07-25,967.425,95800239000.0
2025-07-28,969.055,83547535000.0
2025-07-29,966.937,86493871000.0
2025-07-30,968.363,86848258000.0
2025-07-31,958.469,98449556000.0
2025-08-01,962.604,87606005000.0
2025-08-04,968.713,74674181000.0
2025-08-05,976.363,71620469000.0
2025-08-06,981.849,76708931000.0
2025-08-07,983.915,86648163000.0
2025-08-08,979.883,78387865000.0
2025-08-11,992.144,83740232000.0
2025-08-12,994.332,86655532000.0
2025-08-13,997.013,96845756000.0
2025-08-14,982.291,103165476000.0
2025-08-15,993.803,97740628000.0
2025-08-18,1009.721,133709449000.0
2025-08-19,1020.738,135468740000.0
2025-08-20,1029.832,132087704000.0
2025-08-21,1030.866,128963106000.0
2025-08-22,1032.431,121477682000.0
2025-08-25,1039.576,147296940000.0
2025-08-26,1046.876,141994740000.0
2025-08-27,1020.381,161820790000.0
2025-08-28,1023.86,140156070000.0
2025-08-29,1018.77,125052030000.0
2025-09-01,1025.387,122663097000.0
2025-09-02,1012.38,128371231000.0
2025-09-03,992.725,100983765000.0
2025-09-04,998.283,110907234000.0
2025-09-05,1015.168,99447870000.0
2025-09-08,1025.511,100465061000.0
2025-09-09,1017.05,91393107000.0
2025-09-10,1021.501,89755999000.0
2025-09-11,1029.938,103524432000.0
2025-09-12,1024.619,102178159000.0
2025-09-15,1026.341,89817103000.0
2025-09-16,1046.279,127077812000.0
2025-09-17,1044.839,122031800000.0
2025-09-18,1029.509,147406700000.0
2025-09-19,1028.135,109267240000.0
2025-09-22,1022.24,98383107000.0
2025-09-23,1004.242,107116700000.0
2025-09-24,1014.732,86938986000.0
2025-09-25,1010.211,91155603000.0
2025-09-26,1000.153,84772230000.0
2025-09-29,1004.334,76070961000.0
2025-09-30,1006.322,75704788000.0
2025-10-09,1007.349,89118216000.0
2025-10-10,1011.115,82882270000.0
2025-10-13,1000.534,78193750000.0
2025-10-14,995.013,81175082000.0
2025-10-15,1012.313,75274316000.0
2025-10-16,1002.957,76992217000.0
2025-10-17,985.303,73681975000.0
2025-10-20,998.019,66054756000.0
2025-10-21,1013.727,70454795000.0
2025-10-22,1012.367,60981369000.0
2025-10-23,1014.943,63307701000.0
2025-10-24,1017.401,74153694000.0
2025-10-27,1024.565,85476873000.0
2025-10-28,1025.992,80105894000.0
2025-10-29,1025.991,80537435000.0
2025-10-30,1014.845,94707696000.0
2025-10-31,1030.738,103476626000.0
2025-11-03,1040.413,103358331000.0
2025-11-04,1036.448,88712175000.0
2025-11-05,1042.106,92505008000.0
2025-11-06,1036.325,84235232000.0
2025-11-07,1034.983,80486148000.0
2025-11-10,1049.491,102439804000.0
2025-11-11,1051.397,96425325000.0
2025-11-12,1050.914,87421330000.0
2025-11-13,1062.991,87944866000.0
2025-11-14,1057.357,89786117000.0
2025-11-17,1061.587,96020248000.0
2025-11-18,1056.752,112132854000.0
2025-11-19,1043.358,92461815000.0
2025-11-20,1030.041,80648043000.0
2025-11-21,996.003,98289036000.0
2025-11-24,1012.323,103224715000.0
2025-11-25,1024.755,111134100000.0
2025-11-26,1026.262,96480886000.0
2025-11-27,1025.858,93400152000.0
2025-11-28,1036.928,87083974000.0
2025-12-01,1043.93,92622717000.0
2025-12-02,1041.35,85366906000.0
2025-12-03,1033.017,84445636000.0
2025-12-04,1020.846,75265035000.0
2025-12-05,1032.84,74212303000.0
2025-12-08,1044.102,91609177000.0
2025-12-09,1040.756,91347954000.0
2025-12-10,1043.394,94679796000.0
2025-12-11,1021.396,99473640000.0
2025-12-12,1016.589,87210441000.0
2025-12-15,1018.128,84277739000.0
2025-12-16,1010.604,91824904000.0
2025-12-17,1014.591,96655585000.0
2025-12-18,1020.355,84351030000.0
2025-12-19,1041.926,110253387000.0
2025-12-22,1042.056,101521735000.0
2025-12-23,1032.666,101872106000.0
2025-12-24,1041.726,93009211000.0
2025-12-25,1049.714,96201097000.0
2025-12-26,1044.595,106229443000.0
2025-12-29,1038.142,101770876000.0
2025-12-30,1035.015,103077504000.0
2025-12-31,1039.279,113966020000.0
2026-01-05,1054.55,142156980000.0
2026-01-06,1063.537,147096590000.0
2026-01-07,1058.338,135643900000.0
2026-01-08,1069.641,134301940000.0
2026-01-09,1088.084,156777290000.0
2026-01-12,1118.948,196935750000.0
2026-01-13,1108.35,208878690000.0
2026-01-14,1125.299,233049840000.0
2026-01-15,1108.777,185114380000.0
2026-01-16,1100.636,134723730000.0
2026-01-19,1108.656,115763954000.0
2026-01-20,1106.239,124524575000.0
2026-01-21,1110.597,112362179000.0
2026-01-22,1120.075,116579986000.0
2026-01-23,1130.794,157514690000.0
2026-01-26,1113.285,143836280000.0
2026-01-27,1110.782,136927680000.0
2026-01-28,1096.768,131078452000.0
2026-01-29,1099.875,165002750000.0
2026-01-30,1096.823,140705610000.0
2026-02-02,1074.964,130386671000.0
2026-02-03,1093.162,127261543000.0
2026-02-04,1095.664,121404426000.0
2026-02-05,1098.151,112010075000.0
2026-02-06,1094.157,103879083000.0
2026-02-09,1112.637,112167008000.0
2026-02-10,1113.121,111585071000.0
2026-02-11,1106.489,92828236000.0
2026-02-12,1098.073,103680526000.0
2026-02-13,1090.819,89461130000.0
