# 885694.TI 深股通
time,close,amount
2025-06-13,1064.74,585829020000.0
2025-06-16,1072.916,491652350000.0
2025-06-17,1073.389,487705300000.0
2025-06-18,1071.873,497633820000.0
2025-06-19,1055.308,518845490000.0
2025-06-20,1047.774,438228590000.0
2025-06-23,1062.625,490947690000.0
2025-06-24,1085.013,641960550000.0
2025-06-25,1098.524,756258430000.0
2025-06-26,1095.444,750268660000.0
2025-06-27,1101.206,715394920000.0
2025-06-30,1115.228,692863940000.0
2025-07-01,1118.459,668757960000.0
2025-07-02,1109.386,603244670000.0
2025-07-03,1118.062,596653050000.0
2025-07-04,1109.577,641602560000.0
2025-07-07,1113.131,531883910000.0
2025-07-08,1129.287,657421650000.0
2025-07-09,1127.577,661066830000.0
2025-07-10,1130.429,650243580000.0
2025-07-11,1136.287,737670810000.0
2025-07-14,1139.363,620456990000.0
2025-07-15,1134.125,739260650000.0
2025-07-16,1138.677,666189880000.0
2025-07-17,1150.976,716960110000.0
2025-07-18,1153.361,714776940000.0
2025-07-21,1166.22,734846420000.0
2025-07-22,1171.271,802572580000.0
2025-07-23,1162.746,774904650000.0
2025-07-24,1179.375,776482460000.0
2025-07-25,1180.962,747684500000.0
2025-07-28,1184.838,761301370000.0
2025-07-29,1188.583,781598330000.0
2025-07-30,1180.257,788376260000.0
2025-07-31,1168.694,856621830000.0
2025-08-01,1171.079,703221460000.0
2025-08-04,1182.915,641162400000.0
2025-08-05,1192.625,694776180000.0
2025-08-06,1202.373,762253240000.0
2025-08-07,1202.035,805115990000.0
2025-08-08,1199.15,733383770000.0
2025-08-11,1216.938,804089800000.0
2025-08-12,1220.274,836121520000.0
2025-08-13,1233.486,991670690000.0
2025-08-14,1214.612,1035310040000.0
2025-08-15,1238.079,1009934820000.0
2025-08-18,1259.508,1301436500000.0
2025-08-19,1262.907,1205126710000.0
2025-08-20,1273.271,1101745240000.0
2025-08-21,1269.249,1140196090000.0
2025-08-22,1281.906,1190035580000.0
2025-08-25,1301.195,1475938100000.0
2025-08-26,1304.308,1284554470000.0
2025-08-27,1276.177,1518788000000.0
2025-08-28,1291.282,1417389300000.0
2025-08-29,1288.761,1336259420000.0
2025-09-01,1299.275,1300472510000.0
2025-09-02,1272.074,1392357300000.0
2025-09-03,1249.101,1138605040000.0
2025-09-04,1232.834,1211368120000.0
2025-09-05,1266.837,1114049510000.0
2025-09-08,1282.01,1174329730000.0
2025-09-09,1268.207,987876190000.0
2025-09-10,1270.269,954012210000.0
2025-09-11,1295.151,1199651870000.0
2025-09-12,1295.026,1201098980000.0
2025-09-15,1294.81,1083665750000.0
2025-09-16,1308.686,1116822900000.0
2025-09-17,1315.714,1136976120000.0
2025-09-18,1299.152,1492908400000.0
2025-09-19,1293.406,1092260910000.0
2025-09-22,1297.49,983644970000.0
2025-09-23,1280.607,1194624150000.0
2025-09-24,1299.909,1111461000000.0
2025-09-25,1294.886,1159974770000.0
2025-09-26,1277.225,1020380080000.0
2025-09-29,1289.878,1008490920000.0
2025-09-30,1297.148,1024743570000.0
2025-10-09,1311.316,1222058300000.0
2025-10-10,1300.11,1161943530000.0
2025-10-13,1292.36,1052179470000.0
2025-10-14,1273.586,1135529970000.0
2025-10-15,1292.539,906292740000.0
2025-10-16,1279.07,862367680000.0
2025-10-17,1245.772,858020710000.0
2025-10-20,1258.554,771356460000.0
2025-10-21,1278.057,827045200000.0
2025-10-22,1273.311,716911780000.0
2025-10-23,1277.07,716995030000.0
