# 885706.TI 农机
time,close,amount
2025-06-13,1192.868,23645255000.0
2025-06-16,1195.532,18641098000.0
2025-06-17,1191.491,18373142000.0
2025-06-18,1189.776,16447583000.0
2025-06-19,1165.594,19835350000.0
2025-06-20,1157.692,15551028000.0
2025-06-23,1170.387,14880520000.0
2025-06-24,1206.856,24078357000.0
2025-06-25,1223.241,26947621000.0
2025-06-26,1216.902,26376887000.0
2025-06-27,1228.454,22134866000.0
2025-06-30,1238.283,21762734000.0
2025-07-01,1238.839,23026953000.0
2025-07-02,1231.883,22560558000.0
2025-07-03,1243.125,21390660000.0
2025-07-04,1223.171,18875504000.0
2025-07-07,1230.816,20026297000.0
2025-07-08,1239.261,21053802000.0
2025-07-09,1239.23,23577819000.0
2025-07-10,1234.178,19081408000.0
2025-07-11,1236.849,19148543000.0
2025-07-14,1252.265,20550091000.0
2025-07-15,1242.557,21346708000.0
2025-07-16,1256.23,22157664000.0
2025-07-17,1263.129,25207106000.0
2025-07-18,1260.33,21195507000.0
2025-07-21,1290.013,33796025000.0
2025-07-22,1304.095,41870211000.0
2025-07-23,1292.423,37527163000.0
2025-07-24,1307.7,34037231000.0
2025-07-25,1304.868,31502019000.0
2025-07-28,1312.824,28889700000.0
2025-07-29,1309.417,30865359000.0
2025-07-30,1302.532,30120341000.0
2025-07-31,1287.96,28373980000.0
2025-08-01,1293.99,24281752000.0
2025-08-04,1317.059,24955465000.0
2025-08-05,1334.527,30202887000.0
2025-08-06,1359.205,40976754000.0
2025-08-07,1355.011,36108443000.0
2025-08-08,1364.263,38169008000.0
2025-08-11,1377.356,35795592000.0
2025-08-12,1371.971,32504862000.0
2025-08-13,1383.082,36014842000.0
2025-08-14,1352.329,44126399000.0
2025-08-15,1372.274,36852668000.0
2025-08-18,1391.13,44242455000.0
2025-08-19,1403.926,43462692000.0
2025-08-20,1415.403,36229231000.0
2025-08-21,1400.692,33910239000.0
2025-08-22,1400.752,33249028000.0
2025-08-25,1411.424,40627199000.0
2025-08-26,1418.925,36638829000.0
2025-08-27,1383.974,44975361000.0
2025-08-28,1384.465,42538396000.0
2025-08-29,1384.467,41681213000.0
2025-09-01,1389.253,37362571000.0
