# 885738.TI OLED
time,close,amount
2025-06-13,1763.462,42633569000.0
2025-06-16,1783.658,33632407000.0
2025-06-17,1787.334,34074136000.0
2025-06-18,1803.791,41099819000.0
2025-06-19,1780.814,41766928000.0
2025-06-20,1789.548,45070969000.0
2025-06-23,1821.801,47436081000.0
2025-06-24,1864.615,57854160000.0
2025-06-25,1886.076,65698883000.0
2025-06-26,1881.944,65835169000.0
2025-06-27,1891.338,63376778000.0
2025-06-30,1925.277,65329913000.0
2025-07-01,1933.338,64619601000.0
2025-07-02,1907.836,52799488000.0
2025-07-03,1925.667,57004440000.0
2025-07-04,1901.959,58815759000.0
2025-07-07,1902.683,43269885000.0
2025-07-08,1943.043,61984908000.0
2025-07-09,1926.566,56028346000.0
2025-07-10,1922.769,53275395000.0
2025-07-11,1924.652,55380012000.0
2025-07-14,1927.119,43716387000.0
2025-07-15,1918.904,60881557000.0
2025-07-16,1919.608,48424809000.0
2025-07-17,1952.58,61290316000.0
2025-07-18,1952.571,61401973000.0
2025-07-21,1969.424,58358300000.0
2025-07-22,1963.377,59994416000.0
2025-07-23,1950.348,54750612000.0
2025-07-24,1983.186,61756806000.0
2025-07-25,2002.828,60214959000.0
2025-07-28,2034.027,73991222000.0
2025-07-29,2046.772,68969143000.0
2025-07-30,2027.694,69701685000.0
2025-07-31,2003.964,75763916000.0
2025-08-01,2005.994,60027343000.0
2025-08-04,2022.419,55115257000.0
2025-08-05,2046.092,59225241000.0
2025-08-06,2067.977,64986508000.0
2025-08-07,2075.682,77989408000.0
2025-08-08,2062.895,62299028000.0
2025-08-11,2110.024,74873926000.0
2025-08-12,2118.67,84046612000.0
2025-08-13,2142.2,95624715000.0
2025-08-14,2099.703,98448650000.0
2025-08-15,2154.519,91320597000.0
2025-08-18,2198.188,129264866000.0
2025-08-19,2196.376,103179938000.0
2025-08-20,2235.59,116922655000.0
2025-08-21,2212.838,115943774000.0
2025-08-22,2251.36,130566526000.0
2025-08-25,2266.539,156249840000.0
2025-08-26,2278.131,140578000000.0
2025-08-27,2222.236,159112250000.0
2025-08-28,2281.587,159204610000.0
2025-08-29,2259.234,116380772000.0
2025-09-01,2290.893,114269428000.0
2025-09-02,2225.262,122769115000.0
2025-09-03,2203.554,99710336000.0
2025-09-04,2148.437,109948979000.0
2025-09-05,2232.118,95097842000.0
2025-09-08,2261.697,99850895000.0
2025-09-09,2211.422,84316332000.0
2025-09-10,2209.181,71681939000.0
2025-09-11,2277.504,98356648000.0
2025-09-12,2290.33,107449297000.0
2025-09-15,2285.855,102280946000.0
2025-09-16,2304.544,92598811000.0
2025-09-17,2342.951,111210632000.0
2025-09-18,2340.641,154905950000.0
2025-09-19,2325.841,115831146000.0
2025-09-22,2354.488,109840621000.0
2025-09-23,2339.359,121453862000.0
2025-09-24,2410.216,151580310000.0
2025-09-25,2393.5,127274289000.0
2025-09-26,2352.693,114191945000.0
2025-09-29,2378.899,99869791000.0
2025-09-30,2392.647,106943554000.0
2025-10-09,2416.968,140695230000.0
2025-10-10,2369.137,119131564000.0
2025-10-13,2400.373,124045946000.0
2025-10-14,2327.02,130824866000.0
2025-10-15,2339.744,90831876000.0
2025-10-16,2303.685,79311039000.0
2025-10-17,2219.524,80660617000.0
2025-10-20,2252.167,72631759000.0
2025-10-21,2300.198,83371350000.0
2025-10-22,2288.347,69706870000.0
2025-10-23,2285.97,62138311000.0
2025-10-24,2339.486,88687490000.0
2025-10-27,2377.605,118089029000.0
2025-10-28,2381.425,97715068000.0
2025-10-29,2397.827,99925255000.0
2025-10-30,2354.59,100482527000.0
2025-10-31,2353.046,89536881000.0
2025-11-03,2354.982,83909801000.0
2025-11-04,2323.297,73419633000.0
2025-11-05,2332.214,66604143000.0
2025-11-06,2364.429,77559905000.0
2025-11-07,2360.026,75065156000.0
2025-11-10,2376.292,84241067000.0
2025-11-11,2383.858,85678158000.0
2025-11-12,2354.288,73335846000.0
2025-11-13,2384.263,78559957000.0
2025-11-14,2352.081,75172193000.0
2025-11-17,2357.132,70457723000.0
2025-11-18,2340.001,71371005000.0
2025-11-19,2311.655,63916036000.0
2025-11-20,2300.694,63314375000.0
2025-11-21,2203.366,77353041000.0
2025-11-24,2242.513,65402123000.0
2025-11-25,2282.267,69909600000.0
2025-11-26,2269.834,63290072000.0
2025-11-27,2292.435,68184268000.0
2025-11-28,2320.617,63291072000.0
2025-12-01,2363.098,87136566000.0
2025-12-02,2341.752,71757854000.0
2025-12-03,2324.106,75013818000.0
2025-12-04,2309.906,64262637000.0
2025-12-05,2345.089,72605346000.0
2025-12-08,2390.982,86226261000.0
2025-12-09,2384.892,85688924000.0
2025-12-10,2386.895,82777246000.0
2025-12-11,2349.784,85516831000.0
2025-12-12,2366.152,96112490000.0
2025-12-15,2361.003,90155574000.0
2025-12-16,2320.855,84886174000.0
2025-12-17,2348.833,84546589000.0
2025-12-18,2336.208,69536439000.0
2025-12-19,2349.287,68201397000.0
2025-12-22,2400.572,86762410000.0
2025-12-23,2415.791,86458260000.0
2025-12-24,2465.293,98900679000.0
2025-12-25,2469.344,87943566000.0
2025-12-26,2452.813,92045555000.0
2025-12-29,2442.937,88878952000.0
2025-12-30,2434.74,83390626000.0
2025-12-31,2439.208,82592166000.0
2026-01-05,2496.8,105518093000.0
2026-01-06,2552.751,146366490000.0
2026-01-07,2604.411,171950580000.0
2026-01-08,2618.098,144227470000.0
2026-01-09,2648.149,147506400000.0
2026-01-12,2690.99,155722570000.0
2026-01-13,2616.637,143897580000.0
2026-01-14,2650.809,154093280000.0
2026-01-15,2693.298,143138080000.0
2026-01-16,2743.179,158656630000.0
2026-01-19,2748.699,124845306000.0
2026-01-20,2731.854,129083019000.0
2026-01-21,2778.112,133372891000.0
2026-01-22,2776.962,128111362000.0
2026-01-23,2855.396,150612920000.0
2026-01-26,2784.762,145039830000.0
2026-01-27,2822.317,132488436000.0
2026-01-28,2800.899,136302580000.0
2026-01-29,2725.238,128988840000.0
2026-01-30,2729.287,119609931000.0
2026-02-02,2642.27,103223357000.0
2026-02-03,2737.049,102471202000.0
2026-02-04,2741.279,96098990000.0
2026-02-05,2689.593,89639982000.0
2026-02-06,2692.091,90023089000.0
2026-02-09,2769.316,99905833000.0
2026-02-10,2764.739,93940203000.0
2026-02-11,2757.684,81615583000.0
2026-02-12,2779.974,92155293000.0
2026-02-13,2773.71,93898278000.0
2026-02-24,2827.654,105760028000.0
2026-02-25,2881.586,129762114000.0
2026-02-26,2922.625,133962700000.0
2026-02-27,2932.918,123959576000.0
2026-03-02,2871.777,128523732000.0
2026-03-03,2722.632,137428520000.0
2026-03-04,2709.885,92705949000.0
2026-03-05,2795.666,113608063000.0
2026-03-06,2780.957,90359505000.0
2026-03-09,2734.254,102145880000.0
2026-03-10,2808.793,97086355000.0
2026-03-11,2809.2,100793448000.0
2026-03-12,2788.515,96001376000.0
2026-03-13,2759.479,90871000000.0
2026-03-16,2779.581,100328607000.0
2026-03-17,2693.323,92702779000.0
2026-03-18,2744.548,85307892000.0
2026-03-19,2665.495,85422308000.0
2026-03-20,2615.237,99471046000.0
2026-03-23,2468.76,100187152000.0
2026-03-24,2543.889,76530402000.0
2026-03-25,2608.292,89395506000.0
2026-03-26,2562.214,77779192000.0
2026-03-27,2600.224,83435136000.0
2026-03-30,2593.857,79744223000.0
2026-03-31,2518.983,75189310000.0
2026-04-01,2578.44,76938969000.0
2026-04-02,2512.562,73646083000.0
2026-04-03,2510.92,71328799000.0
2026-04-07,2544.773,70456243000.0
2026-04-08,2688.869,113436670000.0
2026-04-09,2701.481,108920257000.0
2026-04-10,2722.79,116812012000.0
2026-04-13,2730.446,101118539000.0
2026-04-14,2772.483,117516600000.0
2026-04-15,2753.116,119059572000.0
2026-04-16,2794.46,115662006000.0
2026-04-17,2848.255,137056070000.0
2026-04-20,2869.793,145309630000.0
2026-04-21,2875.93,141060210000.0
2026-04-22,2941.773,153948530000.0
2026-04-23,2884.016,163866260000.0
2026-04-24,2875.21,141906360000.0
2026-04-27,2954.703,160932550000.0
2026-04-28,2914.21,149007640000.0
2026-04-29,2944.679,144183870000.0
2026-04-30,2950.562,166837570000.0
2026-05-06,3013.256,200638650000.0
2026-05-07,3102.953,190893130000.0
2026-05-08,3099.952,176401750000.0
2026-05-11,3178.666,217510560000.0
2026-05-12,3179.255,206441510000.0
2026-05-13,3247.291,212574260000.0
2026-05-14,3212.324,221562330000.0
2026-05-15,3203.951,238495280000.0
2026-05-18,3227.23,209631780000.0
2026-05-19,3288.002,205272590000.0
2026-05-20,3334.653,234246750000.0
2026-05-21,3231.132,288265670000.0
2026-05-22,3341.439,262442000000.0
2026-05-25,3432.401,309001580000.0
2026-05-26,3384.61,287827150000.0
2026-05-27,3325.583,293300420000.0
2026-05-28,3416.714,275360930000.0
2026-05-29,3230.233,282337270000.0
2026-06-01,3187.198,223107020000.0
2026-06-02,3233.89,218627550000.0
2026-06-03,3263.07,272667440000.0
2026-06-04,3311.551,241784090000.0
2026-06-05,3300.872,278463130000.0
2026-06-08,3174.51,235510650000.0
2026-06-09,3314.053,234568450000.0
