# 885742.TI 摘帽
time,close,amount
2025-06-13,726.616,12792862700.0
2025-06-16,730.819,9721688700.0
2025-06-17,734.819,12478988700.0
2025-06-18,728.709,10913462300.0
2025-06-19,714.432,11136734200.0
2025-06-20,707.349,8558487300.0
2025-06-23,727.08,9443602000.0
2025-06-24,735.379,11004563200.0
2025-06-25,745.254,11002563200.0
2025-06-26,748.289,11227185700.0
2025-06-27,764.642,11629247600.0
2025-06-30,777.521,14667482000.0
2025-07-01,775.736,13953061000.0
2025-07-02,767.993,11357543900.0
2025-07-03,774.693,10773438700.0
2025-07-04,769.309,11530607200.0
2025-07-07,783.251,11171806200.0
2025-07-08,794.855,13590053000.0
2025-07-09,793.941,15246792000.0
2025-07-10,793.053,15613879000.0
2025-07-11,794.61,13833642000.0
2025-07-14,792.131,12160780500.0
2025-07-15,776.437,11765919800.0
2025-07-16,781.156,9543403500.0
2025-07-17,785.786,10307840800.0
2025-07-18,786.566,9893457800.0
2025-07-21,791.399,9809441800.0
2025-07-22,790.227,10952730600.0
2025-07-23,777.728,10276221400.0
2025-07-24,791.446,9638360400.0
2025-07-25,790.324,12567089000.0
2025-07-28,796.368,10808133900.0
2025-07-29,795.899,11209126200.0
2025-07-30,801.677,11293659900.0
2025-07-31,795.948,13912708000.0
2025-08-01,796.617,11309631300.0
2025-08-04,804.301,11198633800.0
2025-08-05,817.271,11495836100.0
2025-08-06,823.981,12636874000.0
2025-08-07,830.838,14241055000.0
2025-08-08,826.242,12561068200.0
2025-08-11,839.808,12517198300.0
2025-08-12,839.411,13731419000.0
2025-08-13,843.785,13627747000.0
2025-08-14,832.392,18510719000.0
2025-08-15,850.975,18396774000.0
2025-08-18,857.972,18163571000.0
2025-08-19,865.864,17823932000.0
2025-08-20,875.548,15301232000.0
2025-08-21,877.137,17607232000.0
2025-08-22,875.146,13183722800.0
2025-08-25,884.23,17522122000.0
2025-08-26,893.054,19674237000.0
2025-08-27,871.852,24400673000.0
2025-08-28,875.299,23254817000.0
2025-08-29,873.39,20605281000.0
2025-09-01,885.77,22027206000.0
2025-09-02,872.24,20507224000.0
2025-09-03,851.938,17330904000.0
2025-09-04,845.03,16823407000.0
2025-09-05,854.429,15797069000.0
2025-09-08,865.637,15557104000.0
2025-09-09,864.923,16910946000.0
2025-09-10,872.323,15886945000.0
2025-09-11,875.277,17974444000.0
2025-09-12,876.137,17497423000.0
2025-09-15,878.071,16499487000.0
2025-09-16,890.106,17402498000.0
2025-09-17,889.299,19090673000.0
2025-09-18,868.057,19578253000.0
2025-09-19,859.836,17227992000.0
2025-09-22,856.833,14365315000.0
2025-09-23,837.618,14488469000.0
2025-09-24,847.192,11071689600.0
2025-09-25,846.072,13633704000.0
2025-09-26,854.282,15364266000.0
2025-09-29,864.523,15886744000.0
2025-09-30,866.184,18014991000.0
2025-10-09,873.573,19013064000.0
2025-10-10,886.475,18580116000.0
2025-10-13,892.472,16849995000.0
2025-10-14,889.759,19415255000.0
2025-10-15,905.78,18593633000.0
2025-10-16,893.593,15487172000.0
2025-10-17,885.061,16269370000.0
2025-10-20,895.478,15090712000.0
2025-10-21,911.69,14202499000.0
2025-10-22,908.704,12728824600.0
2025-10-23,913.199,13097932800.0
2025-10-24,912.006,14535708000.0
2025-10-27,923.367,16171262000.0
2025-10-28,931.127,16716261000.0
2025-10-29,921.914,18882283000.0
2025-10-30,900.694,16660474000.0
2025-10-31,914.634,14402334000.0
2025-11-03,925.607,14937164000.0
2025-11-04,924.997,14548123000.0
2025-11-05,932.659,15175197000.0
2025-11-06,923.544,14058970000.0
2025-11-07,923.13,14967107000.0
2025-11-10,926.638,14072931000.0
2025-11-11,935.544,13833302000.0
2025-11-12,934.258,22126490000.0
2025-11-13,956.396,25619289000.0
2025-11-14,954.457,26953372000.0
2025-11-17,959.55,24901462000.0
2025-11-18,937.312,16485023000.0
2025-11-19,922.613,14589438000.0
2025-11-20,911.247,12844863100.0
2025-11-21,873.446,18193955000.0
2025-11-24,882.907,15970885000.0
2025-11-25,899.699,16562389000.0
2025-11-26,895.538,17426174000.0
2025-11-27,895.41,17650444000.0
2025-11-28,914.475,17682856000.0
2025-12-01,915.198,19526733000.0
2025-12-02,912.888,17928532000.0
2025-12-03,892.865,19595798000.0
2025-12-04,879.092,16561055000.0
2025-12-05,898.935,19947911000.0
2025-12-08,910.666,21773502000.0
2025-12-09,910.623,21460629000.0
2025-12-10,918.841,22514751000.0
2025-12-11,900.707,22456697000.0
2025-12-12,891.026,17031953000.0
2025-12-15,891.388,17452264000.0
2025-12-16,873.932,16544432000.0
2025-12-17,878.055,17815806000.0
2025-12-18,882.861,15792429000.0
2025-12-19,904.98,18193487000.0
2025-12-22,911.691,16682866000.0
2025-12-23,898.291,17768416000.0
2025-12-24,909.891,17213433000.0
2025-12-25,917.489,15089893000.0
2025-12-26,914.854,17184113000.0
2025-12-29,909.241,18043132000.0
2025-12-30,910.493,16949176000.0
2025-12-31,906.962,13948589000.0
2026-01-05,916.674,17806552000.0
2026-01-06,931.536,19871993000.0
2026-01-07,928.008,20134591000.0
2026-01-08,930.938,19476107000.0
2026-01-09,944.572,20330840000.0
2026-01-12,962.867,25359045000.0
2026-01-13,952.78,25102612000.0
2026-01-14,960.267,28497595000.0
2026-01-15,948.523,22060186000.0
2026-01-16,939.922,18481613000.0
2026-01-19,948.078,17376485000.0
2026-01-20,947.438,20445845000.0
2026-01-21,955.161,16083404000.0
2026-01-22,968.046,17343344000.0
2026-01-23,981.637,20585103000.0
2026-01-26,977.728,22758274000.0
2026-01-27,970.108,19806176000.0
2026-01-28,966.008,18439531000.0
2026-01-29,963.442,23339883000.0
2026-01-30,963.497,22072822000.0
2026-02-02,936.649,17359854000.0
2026-02-03,952.15,23630525000.0
2026-02-04,958.469,18033623000.0
2026-02-05,959.76,20415490000.0
2026-02-06,967.325,20224831000.0
2026-02-09,986.69,19275477000.0
2026-02-10,990.792,16320964000.0
2026-02-11,990.371,14802468000.0
2026-02-12,980.873,19102653000.0
2026-02-13,976.586,16127793000.0
2026-02-24,994.399,17329942000.0
2026-02-25,1003.155,17670520000.0
2026-02-26,1000.716,17285316000.0
2026-02-27,1007.862,17798522000.0
2026-03-02,991.319,21796754000.0
2026-03-03,963.456,23407342000.0
2026-03-04,968.332,19075464000.0
2026-03-05,979.589,20579646000.0
2026-03-06,1002.042,21202280000.0
2026-03-09,997.893,21961056000.0
2026-03-10,1005.781,17188909000.0
2026-03-11,1000.947,18505647000.0
2026-03-12,996.467,18915156000.0
2026-03-13,988.948,17449909000.0
2026-03-16,991.195,18610841000.0
2026-03-17,976.285,18678317000.0
2026-03-18,982.132,14765415000.0
2026-03-19,964.001,15655797000.0
2026-03-20,940.731,16629399000.0
2026-03-23,898.365,20199906000.0
2026-03-24,936.084,18649878000.0
2026-03-25,961.589,24051321000.0
2026-03-26,938.936,21438849000.0
2026-03-27,951.214,18782931000.0
2026-03-30,959.653,22459354000.0
2026-03-31,940.981,24529998000.0
2026-04-01,950.915,23822599000.0
2026-04-02,931.853,22261844000.0
2026-04-03,904.402,18709389000.0
2026-04-07,931.343,18508437000.0
2026-04-08,963.815,22903175000.0
2026-04-09,955.566,23640650000.0
2026-04-10,957.852,20613116000.0
2026-04-13,962.721,21395462000.0
2026-04-14,975.044,22313274000.0
2026-04-15,970.377,23106807000.0
2026-04-16,989.283,24665587000.0
2026-04-17,992.162,22612735000.0
2026-04-20,1005.991,23521794000.0
2026-04-21,1008.583,28498422000.0
2026-04-22,1011.329,25455689000.0
2026-04-23,991.825,24534158000.0
2026-04-24,983.411,23790248000.0
2026-04-27,995.682,23469477000.0
2026-04-28,994.666,27058957000.0
2026-04-29,1010.711,26507757000.0
2026-04-30,1007.603,25310373000.0
2026-05-06,1033.9,24798152000.0
2026-05-07,1072.31,30787964000.0
2026-05-08,1094.559,34417919000.0
2026-05-11,1100.244,34870034000.0
2026-05-12,1089.903,31340744000.0
2026-05-13,1106.791,27149404000.0
2026-05-14,1081.048,25101563000.0
2026-05-15,1066.513,27981869000.0
2026-05-18,1066.297,21725084000.0
2026-05-19,1068.911,18386662000.0
2026-05-20,1062.684,22464939000.0
2026-05-21,1027.891,25678586000.0
2026-05-22,1039.672,19204642000.0
2026-05-25,1037.379,19146697000.0
2026-05-26,1022.191,20373201000.0
2026-05-27,1008.042,20600932000.0
2026-05-28,1011.249,19027734000.0
2026-05-29,988.368,19053670000.0
2026-06-01,1003.61,17670195000.0
2026-06-02,995.911,17076946000.0
2026-06-03,986.03,19344346000.0
2026-06-04,968.326,16979590000.0
2026-06-05,975.579,19400530000.0
2026-06-08,948.011,17203154000.0
2026-06-09,954.328,16246880000.0
2026-06-10,946.931,16134839000.0
2026-06-11,928.315,15984174000.0
2026-06-12,935.891,23678038000.0
2026-06-15,957.305,21066263000.0
2026-06-16,982.652,21756482000.0
2026-06-17,973.232,19895189000.0
2026-06-18,967.196,18023634000.0
2026-06-22,968.672,20675222000.0
2026-06-23,988.519,22797551000.0
2026-06-24,972.764,23512256000.0
2026-06-25,950.995,22872472000.0
2026-06-26,937.981,20725055000.0
2026-06-29,933.737,23362242000.0
2026-06-30,932.962,18675823000.0
2026-07-01,958.716,21954771000.0
2026-07-02,960.516,21945491000.0
2026-07-03,980.265,20430078000.0
2026-07-06,968.171,26254191000.0
2026-07-07,943.736,23755185000.0
2026-07-08,932.092,21186851000.0
2026-07-09,938.303,20271719000.0
2026-07-10,946.302,23910264000.0
2026-07-13,903.335,21531193000.0
2026-07-14,912.399,17331786000.0
2026-07-15,917.528,17491556000.0
2026-07-16,910.606,15239730000.0
2026-07-17,864.157,16275237000.0
