# 885774.TI 无线充电
time,close,amount
2025-06-13,1543.188,23226935000.0
2025-06-16,1546.86,15186225000.0
2025-06-17,1543.954,14665659000.0
2025-06-18,1549.615,15087204000.0
2025-06-19,1527.208,15225729000.0
2025-06-20,1513.58,12164626600.0
2025-06-23,1536.05,13196642600.0
2025-06-24,1576.039,19721304000.0
2025-06-25,1599.194,22165969000.0
2025-06-26,1588.346,19210417000.0
2025-06-27,1597.861,21001661000.0
2025-06-30,1616.526,19511582000.0
2025-07-01,1614.833,21778352000.0
2025-07-02,1596.549,18062908000.0
2025-07-03,1615.791,19685540000.0
2025-07-04,1590.381,17402876000.0
2025-07-07,1590.234,14651104000.0
2025-07-08,1618.003,19594711000.0
2025-07-09,1613.324,20155763000.0
2025-07-10,1605.221,15506463000.0
2025-07-11,1612.814,25502257000.0
2025-07-14,1618.113,17762761000.0
2025-07-15,1616.304,22079348000.0
2025-07-16,1623.509,20168065000.0
2025-07-17,1644.06,23128389000.0
2025-07-18,1634.344,18766235000.0
2025-07-21,1650.688,22271161000.0
2025-07-22,1651.108,27011518000.0
2025-07-23,1636.05,21579236000.0
2025-07-24,1656.235,21612046000.0
2025-07-25,1665.935,19832217000.0
2025-07-28,1687.615,25179978000.0
2025-07-29,1697.415,26172329000.0
2025-07-30,1679.024,23066141000.0
2025-07-31,1670.907,25816020000.0
2025-08-01,1676.952,21107166000.0
2025-08-04,1691.959,17720927000.0
2025-08-05,1715.952,21523124000.0
2025-08-06,1743.338,26978139000.0
2025-08-07,1749.887,30188863000.0
2025-08-08,1742.706,24790728000.0
2025-08-11,1781.871,27523873000.0
2025-08-12,1785.824,28655502000.0
2025-08-13,1812.24,31252309000.0
2025-08-14,1788.393,35201416000.0
2025-08-15,1840.864,36489468000.0
2025-08-18,1883.639,49915831000.0
2025-08-19,1893.8,47363373000.0
2025-08-20,1932.508,49262091000.0
2025-08-21,1900.224,48516953000.0
2025-08-22,1934.147,44773708000.0
2025-08-25,1959.718,58644051000.0
2025-08-26,1982.091,57115421000.0
2025-08-27,1955.551,75694112000.0
2025-08-28,1988.074,63272306000.0
2025-08-29,1974.628,61964941000.0
2025-09-01,1988.819,55091580000.0
2025-09-02,1926.127,56874923000.0
2025-09-03,1903.53,47856211000.0
2025-09-04,1861.987,50952679000.0
2025-09-05,1928.833,54185346000.0
2025-09-08,1956.104,52746450000.0
2025-09-09,1919.228,43719337000.0
2025-09-10,1922.196,35768211000.0
2025-09-11,1975.398,45823781000.0
2025-09-12,1972.729,43664665000.0
2025-09-15,1981.313,48182028000.0
2025-09-16,2015.468,48333513000.0
2025-09-17,2039.423,48978454000.0
2025-09-18,2021.041,62533060000.0
2025-09-19,2003.589,50964527000.0
2025-09-22,2029.89,54741964000.0
2025-09-23,2016.739,57887023000.0
2025-09-24,2060.706,53184124000.0
2025-09-25,2064.928,60553969000.0
2025-09-26,2021.236,62017807000.0
2025-09-29,2042.103,52159369000.0
2025-09-30,2052.361,52261912000.0
2025-10-09,2085.217,63066693000.0
2025-10-10,2044.552,61526891000.0
2025-10-13,2031.784,50683225000.0
2025-10-14,1994.934,52754049000.0
2025-10-15,2035.738,47112740000.0
2025-10-16,2015.952,39320711000.0
2025-10-17,1926.747,41952872000.0
2025-10-20,1964.485,32532405000.0
2025-10-21,2000.42,41373607000.0
2025-10-22,1990.07,33395150000.0
2025-10-23,1980.025,31318768000.0
2025-10-24,2019.437,37831961000.0
2025-10-27,2054.885,45492711000.0
2025-10-28,2054.728,41110171000.0
2025-10-29,2076.344,49766419000.0
2025-10-30,2062.741,56979316000.0
2025-10-31,2051.53,49396090000.0
2025-11-03,2055.833,39823387000.0
2025-11-04,2028.207,37085536000.0
2025-11-05,2038.295,41033380000.0
2025-11-06,2059.687,41955231000.0
2025-11-07,2039.564,35646401000.0
2025-11-10,2013.792,34026105000.0
2025-11-11,2011.184,33363585000.0
2025-11-12,1985.945,30366941000.0
2025-11-13,2009.263,31168155000.0
2025-11-14,1980.632,27736000000.0
2025-11-17,1985.984,25975600000.0
2025-11-18,1964.666,26162800000.0
2025-11-19,1934.194,23761335000.0
2025-11-20,1917.081,21825243000.0
2025-11-21,1832.825,26770513000.0
2025-11-24,1858.257,21031637000.0
2025-11-25,1890.172,23612031000.0
2025-11-26,1891.901,23317124000.0
2025-11-27,1908.833,26985884000.0
2025-11-28,1935.16,23811601000.0
2025-12-01,1958.63,30947032000.0
2025-12-02,1941.372,27168228000.0
2025-12-03,1917.026,22102336000.0
2025-12-04,1906.874,19181364000.0
2025-12-05,1938.181,23231334000.0
2025-12-08,1961.6,29717564000.0
2025-12-09,1957.171,29923351000.0
2025-12-10,1954.749,27961932000.0
2025-12-11,1928.918,33727358000.0
2025-12-12,1952.103,38141627000.0
2025-12-15,1931.653,31070288000.0
2025-12-16,1894.718,30974047000.0
2025-12-17,1929.424,32910363000.0
2025-12-18,1916.444,26595397000.0
2025-12-19,1948.358,30743333000.0
2025-12-22,1966.96,36112553000.0
2025-12-23,1958.357,35005919000.0
2025-12-24,2010.012,41724520000.0
2025-12-25,2032.056,42542891000.0
2025-12-26,2024.157,45740381000.0
2025-12-29,2003.566,41332424000.0
2025-12-30,2019.62,46700704000.0
2025-12-31,2016.847,45447204000.0
2026-01-05,2062.94,51078804000.0
2026-01-06,2078.806,56021789000.0
2026-01-07,2089.384,63430557000.0
2026-01-08,2110.111,59137962000.0
2026-01-09,2127.445,64410872000.0
2026-01-12,2181.634,72214440000.0
2026-01-13,2132.839,77457507000.0
2026-01-14,2142.034,73314398000.0
2026-01-15,2135.784,51776143000.0
2026-01-16,2162.811,56634081000.0
2026-01-19,2176.767,49808480000.0
2026-01-20,2142.449,54746697000.0
2026-01-21,2164.271,48809486000.0
2026-01-22,2174.149,49410472000.0
2026-01-23,2228.952,62686050000.0
2026-01-26,2178.818,57458645000.0
2026-01-27,2206.209,45983549000.0
2026-01-28,2195.489,49130253000.0
2026-01-29,2152.676,46905938000.0
2026-01-30,2129.219,42129757000.0
2026-02-02,2080.762,42048419000.0
2026-02-03,2139.653,41816553000.0
2026-02-04,2135.749,45658807000.0
2026-02-05,2118.177,33933020000.0
2026-02-06,2120.114,31949698000.0
2026-02-09,2175.248,37432979000.0
2026-02-10,2169.308,31086413000.0
2026-02-11,2166.156,28653007000.0
2026-02-12,2197.833,33894163000.0
2026-02-13,2187.317,29141615000.0
2026-02-24,2210.777,30717356000.0
2026-02-25,2227.439,35655219000.0
2026-02-26,2239.148,35072882000.0
2026-02-27,2236.781,33625612000.0
2026-03-02,2201.974,43636373000.0
2026-03-03,2114.268,47692454000.0
2026-03-04,2105.621,31024621000.0
2026-03-05,2139.175,33625827000.0
2026-03-06,2149.756,29396984000.0
2026-03-09,2127.863,35115809000.0
2026-03-10,2187.841,34145087000.0
2026-03-11,2187.278,43702320000.0
2026-03-12,2160.687,37933246000.0
2026-03-13,2135.378,32874986000.0
2026-03-16,2139.756,33188954000.0
2026-03-17,2082.956,29979846000.0
2026-03-18,2113.424,28632526000.0
2026-03-19,2057.068,27384244000.0
2026-03-20,2013.324,30441133000.0
2026-03-23,1908.235,35245253000.0
2026-03-24,1953.256,28197203000.0
2026-03-25,2000.43,29289198000.0
2026-03-26,1966.902,28014801000.0
2026-03-27,1994.895,26664504000.0
2026-03-30,1984.111,27833956000.0
2026-03-31,1952.148,31396190000.0
2026-04-01,1996.199,26710771000.0
2026-04-02,1939.11,25446258000.0
2026-04-03,1914.83,23450152000.0
2026-04-07,1923.635,20578279000.0
2026-04-08,2028.685,33940003000.0
2026-04-09,2038.047,29293334000.0
2026-04-10,2065.628,39216903000.0
2026-04-13,2065.554,34003168000.0
2026-04-14,2094.019,38037478000.0
2026-04-15,2080.142,37960221000.0
2026-04-16,2115.416,36333709000.0
2026-04-17,2143.215,38660719000.0
2026-04-20,2168.569,44939795000.0
2026-04-21,2165.009,52196919000.0
2026-04-22,2193.501,48722792000.0
2026-04-23,2154.386,52708511000.0
2026-04-24,2141.924,49665485000.0
