# 885775.TI 燃料电池
time,close,amount
2025-06-13,1550.546,55853972000.0
2025-06-16,1558.738,39797300000.0
2025-06-17,1565.54,43456998000.0
2025-06-18,1564.055,43063294000.0
2025-06-19,1538.992,53863560000.0
2025-06-20,1528.311,42526321000.0
2025-06-23,1552.742,43025053000.0
2025-06-24,1596.928,63728214000.0
2025-06-25,1611.951,68410806000.0
2025-06-26,1601.84,64650600000.0
2025-06-27,1608.77,56318919000.0
2025-06-30,1630.56,56065424000.0
2025-07-01,1633.542,56253165000.0
2025-07-02,1626.424,52512329000.0
2025-07-03,1636.63,56150038000.0
2025-07-04,1615.805,53208622000.0
2025-07-07,1625.651,46267946000.0
2025-07-08,1642.123,53256145000.0
2025-07-09,1636.941,53949967000.0
2025-07-10,1645.784,48418499000.0
2025-07-11,1647.862,53978468000.0
2025-07-14,1664.031,52450285000.0
2025-07-15,1653.615,60350890000.0
2025-07-16,1668.12,57348156000.0
2025-07-17,1686.493,58473516000.0
2025-07-18,1691.142,58356182000.0
2025-07-21,1722.93,71267502000.0
2025-07-22,1735.279,76664342000.0
2025-07-23,1721.485,81998070000.0
2025-07-24,1740.977,76808135000.0
2025-07-25,1741.995,68491704000.0
2025-07-28,1755.158,66575938000.0
2025-07-29,1753.216,69547673000.0
2025-07-30,1734.405,65647027000.0
2025-07-31,1718.975,65384428000.0
2025-08-01,1722.306,54912580000.0
2025-08-04,1750.161,52455576000.0
2025-08-05,1770.803,60362686000.0
2025-08-06,1795.672,78269316000.0
2025-08-07,1792.492,74665878000.0
2025-08-08,1793.097,67700504000.0
2025-08-11,1820.771,75331984000.0
2025-08-12,1814.901,69527391000.0
2025-08-13,1841.43,89090460000.0
2025-08-14,1809.785,95184231000.0
2025-08-15,1858.452,97384222000.0
2025-08-18,1889.003,121727665000.0
2025-08-19,1893.163,107701939000.0
2025-08-20,1914.823,100334100000.0
2025-08-21,1889.665,100679796000.0
2025-08-22,1900.274,93025194000.0
2025-08-25,1916.184,120538674000.0
2025-08-26,1923.082,104294644000.0
2025-08-27,1880.597,122429175000.0
2025-08-28,1884.652,108076915000.0
2025-08-29,1889.471,115009899000.0
2025-09-01,1903.357,108224907000.0
2025-09-02,1880.893,119905565000.0
2025-09-03,1845.422,100497422000.0
2025-09-04,1828.437,109222470000.0
2025-09-05,1895.19,116950770000.0
2025-09-08,1924.95,131835768000.0
2025-09-09,1914.982,116644136000.0
2025-09-10,1909.87,102306976000.0
2025-09-11,1941.66,114795967000.0
2025-09-12,1935.248,120346685000.0
2025-09-15,1935.978,111429388000.0
2025-09-16,1961.435,114209182000.0
2025-09-17,1974.155,125642429000.0
2025-09-18,1951.762,165090000000.0
2025-09-19,1931.767,119079550000.0
2025-09-22,1947.201,101475028000.0
2025-09-23,1936.425,127915686000.0
2025-09-24,1959.282,124406091000.0
2025-09-25,1945.752,126068259000.0
2025-09-26,1929.922,115365739000.0
