# 885779.TI 腾讯概念
time,close,amount
2025-06-13,1148.27,119725562000.0
2025-06-16,1175.751,116378656000.0
2025-06-17,1171.456,117747869000.0
2025-06-18,1167.63,112845891000.0
2025-06-19,1147.898,114565513000.0
2025-06-20,1126.408,94967988000.0
2025-06-23,1151.913,100893981000.0
2025-06-24,1180.477,132295448000.0
2025-06-25,1201.36,159802640000.0
2025-06-26,1205.335,167408230000.0
2025-06-27,1207.068,144529970000.0
2025-06-30,1224.764,137870870000.0
2025-07-01,1215.156,127899885000.0
2025-07-02,1199.045,105479347000.0
2025-07-03,1204.606,92711171000.0
2025-07-04,1203.521,124151845000.0
2025-07-07,1210.772,110966292000.0
2025-07-08,1230.599,134813840000.0
2025-07-09,1231.622,131617070000.0
2025-07-10,1229.617,129572692000.0
2025-07-11,1241.811,152645420000.0
2025-07-14,1238.126,126063314000.0
2025-07-15,1244.45,161327570000.0
2025-07-16,1246.985,145618190000.0
2025-07-17,1257.484,144110790000.0
2025-07-18,1256.705,146726730000.0
2025-07-21,1261.071,127397997000.0
2025-07-22,1251.587,121431248000.0
2025-07-23,1244.565,114613606000.0
2025-07-24,1260.708,112492258000.0
2025-07-25,1270.548,134424050000.0
2025-07-28,1273.454,131993640000.0
2025-07-29,1278.227,132306051000.0
2025-07-30,1266.219,132768430000.0
2025-07-31,1265.571,162086850000.0
2025-08-01,1272.062,145903540000.0
2025-08-04,1282.641,121755873000.0
2025-08-05,1285.701,118418216000.0
2025-08-06,1299.115,136322840000.0
2025-08-07,1299.296,137098750000.0
2025-08-08,1283.487,138567800000.0
2025-08-11,1304.999,136427500000.0
2025-08-12,1308.622,153265980000.0
2025-08-13,1320.54,190053710000.0
2025-08-14,1307.223,211242560000.0
2025-08-15,1329.502,191055210000.0
2025-08-18,1370.064,268114790000.0
2025-08-19,1378.803,259224090000.0
2025-08-20,1386.397,241684060000.0
2025-08-21,1385.024,268138170000.0
2025-08-22,1409.026,275319950000.0
2025-08-25,1428.763,322379530000.0
2025-08-26,1440.153,297203310000.0
2025-08-27,1410.408,343432810000.0
2025-08-28,1425.863,312681290000.0
2025-08-29,1411.894,256547930000.0
2025-09-01,1431.182,272507100000.0
2025-09-02,1382.836,277733760000.0
2025-09-03,1351.992,209045750000.0
2025-09-04,1330.919,212583790000.0
2025-09-05,1362.048,171952990000.0
2025-09-08,1375.843,168192340000.0
2025-09-09,1358.545,155168310000.0
2025-09-10,1372.929,168524370000.0
2025-09-11,1402.083,220397370000.0
2025-09-12,1404.504,241461570000.0
2025-09-15,1402.973,210345970000.0
2025-09-16,1423.04,224179280000.0
2025-09-17,1424.381,211641620000.0
2025-09-18,1400.62,280236250000.0
2025-09-19,1390.256,189366180000.0
2025-09-22,1401.791,193754640000.0
2025-09-23,1372.81,226820000000.0
2025-09-24,1395.912,192281450000.0
2025-09-25,1404.113,223838680000.0
2025-09-26,1370.982,189924750000.0
2025-09-29,1379.405,149611590000.0
2025-09-30,1388.336,156389740000.0
2025-10-09,1393.257,210780410000.0
2025-10-10,1369.692,185308410000.0
2025-10-13,1359.041,163127400000.0
2025-10-14,1334.633,170935960000.0
2025-10-15,1355.947,128565467000.0
2025-10-16,1341.758,130048247000.0
2025-10-17,1305.698,134283650000.0
2025-10-20,1321.675,111390824000.0
2025-10-21,1342.854,120402029000.0
2025-10-22,1339.554,107952359000.0
2025-10-23,1344.804,107565961000.0
2025-10-24,1356.435,132492246000.0
2025-10-27,1359.144,152530700000.0
