# 885838.TI 眼科医疗
time,close,amount
2025-06-13,1659.882,16399121000.0
2025-06-16,1662.419,11798430300.0
2025-06-17,1656.861,16100546000.0
2025-06-18,1633.839,12440861100.0
2025-06-19,1605.325,11467953500.0
2025-06-20,1599.974,11238024700.0
2025-06-23,1618.321,10907790800.0
2025-06-24,1643.112,11712748700.0
2025-06-25,1650.862,13111230100.0
2025-06-26,1638.949,10036715100.0
2025-06-27,1648.286,10306997800.0
2025-06-30,1668.578,11700850800.0
2025-07-01,1695.9,13791397000.0
2025-07-02,1673.775,12985528200.0
2025-07-03,1689.586,11927895800.0
2025-07-04,1693.053,15428863000.0
2025-07-07,1687.15,12300525300.0
2025-07-08,1699.455,11772221500.0
2025-07-09,1696.796,15684289000.0
2025-07-10,1713.41,13497776000.0
2025-07-11,1722.189,14128948000.0
2025-07-14,1747.763,12809657200.0
2025-07-15,1727.748,13286945900.0
2025-07-16,1756.588,14022027000.0
2025-07-17,1789.162,16394634000.0
2025-07-18,1802.013,16573770000.0
2025-07-21,1824.365,17253620000.0
2025-07-22,1817.144,18979909000.0
2025-07-23,1812.562,20232020000.0
2025-07-24,1847.592,20531445000.0
2025-07-25,1855.743,19909485000.0
2025-07-28,1873.929,26224225000.0
2025-07-29,1907.33,31008553000.0
2025-07-30,1902.498,28157196000.0
2025-07-31,1905.705,24976813000.0
2025-08-01,1926.666,24764861000.0
2025-08-04,1945.578,22600930000.0
2025-08-05,1942.364,20822846000.0
2025-08-06,1926.256,19791048000.0
2025-08-07,1917.371,18940494000.0
2025-08-08,1919.686,18383667000.0
2025-08-11,1953.259,18710154000.0
2025-08-12,1949.669,18521300000.0
2025-08-13,1964.259,22194873000.0
2025-08-14,1936.285,19552801000.0
2025-08-15,1969.338,21304035000.0
2025-08-18,1986.713,26468225000.0
2025-08-19,1998.279,27286023000.0
2025-08-20,2009.083,23298759000.0
2025-08-21,2010.688,22657849000.0
2025-08-22,2005.202,21156711000.0
2025-08-25,2044.672,28366516000.0
2025-08-26,2032.898,21213356000.0
2025-08-27,1968.008,25483465000.0
2025-08-28,1963.068,23589703000.0
2025-08-29,1966.332,22279840000.0
2025-09-01,2008.961,26116824000.0
2025-09-02,1972.565,27510109000.0
2025-09-03,1950.449,22589928000.0
2025-09-04,1941.786,24344533000.0
2025-09-05,1968.236,20623039000.0
2025-09-08,1985.596,21137708000.0
2025-09-09,1960.09,21125987000.0
2025-09-10,1956.427,14656687000.0
2025-09-11,1967.736,27754805000.0
2025-09-12,1965.6,19903132000.0
2025-09-15,1959.749,15575507000.0
2025-09-16,1968.626,14515680000.0
2025-09-17,1963.777,15107035000.0
2025-09-18,1935.781,21063524000.0
2025-09-19,1916.403,14357977000.0
2025-09-22,1901.106,15462156000.0
2025-09-23,1867.509,16280514000.0
2025-09-24,1903.277,13725010000.0
2025-09-25,1890.837,15350934000.0
2025-09-26,1865.029,13312449800.0
2025-09-29,1867.312,12349274200.0
2025-09-30,1881.795,11555621700.0
2025-10-09,1883.813,13711228000.0
2025-10-10,1883.715,13917025000.0
2025-10-13,1863.948,11984846800.0
2025-10-14,1846.415,15226489000.0
2025-10-15,1882.263,13974148000.0
2025-10-16,1884.324,13624219000.0
2025-10-17,1858.874,13597534000.0
2025-10-20,1874.733,12689886900.0
2025-10-21,1896.99,12636793300.0
2025-10-22,1894.695,12656711900.0
2025-10-23,1885.389,10981356400.0
2025-10-24,1893.459,11537516600.0
2025-10-27,1901.319,15037220000.0
2025-10-28,1903.027,17244455000.0
2025-10-29,1905.339,15714163000.0
2025-10-30,1881.055,16275414000.0
2025-10-31,1928.988,20778099000.0
2025-11-03,1952.659,19412455000.0
2025-11-04,1924.238,16410806000.0
2025-11-05,1924.047,12646565500.0
2025-11-06,1910.852,10989417000.0
2025-11-07,1904.978,11902941800.0
2025-11-10,1930.341,15121931000.0
2025-11-11,1944.573,11928387300.0
2025-11-12,1968.74,16102143000.0
2025-11-13,1989.698,16568125000.0
2025-11-14,2007.691,14489300000.0
2025-11-17,1990.903,17792564000.0
2025-11-18,1972.912,17870238000.0
2025-11-19,1939.235,13930742000.0
2025-11-20,1929.209,13271823100.0
2025-11-21,1867.28,16731497000.0
2025-11-24,1891.002,14316568000.0
2025-11-25,1923.818,16022198000.0
2025-11-26,1935.271,17832391000.0
2025-11-27,1938.003,16177026000.0
2025-11-28,1933.764,13481096000.0
2025-12-01,1951.655,14345770000.0
2025-12-02,1942.769,12662763100.0
2025-12-03,1934.806,14650766000.0
2025-12-04,1917.605,12531373800.0
2025-12-05,1926.15,12865383100.0
2025-12-08,1933.774,15762496000.0
2025-12-09,1907.675,15393500000.0
2025-12-10,1895.367,12324906100.0
2025-12-11,1871.288,12288090500.0
2025-12-12,1865.152,15016322000.0
2025-12-15,1850.705,12972292000.0
2025-12-16,1818.688,14186378000.0
2025-12-17,1833.817,11931470400.0
2025-12-18,1849.463,14053622000.0
2025-12-19,1867.185,13786012000.0
2025-12-22,1863.894,13025650500.0
2025-12-23,1854.591,15204049000.0
2025-12-24,1862.928,12791661100.0
2025-12-25,1871.946,12607602600.0
2025-12-26,1863.887,13512878000.0
2025-12-29,1848.256,13821405000.0
2025-12-30,1840.957,11858700800.0
2025-12-31,1841.092,13711394000.0
2026-01-05,1903.711,28826689000.0
2026-01-06,1923.044,24651177000.0
2026-01-07,1931.59,25246772000.0
2026-01-08,1954.931,22247938000.0
2026-01-09,1979.724,32515442000.0
2026-01-12,1998.256,39180699000.0
2026-01-13,2005.49,48335583000.0
2026-01-14,2008.234,47832227000.0
2026-01-15,1986.73,31783121000.0
2026-01-16,1968.462,32299341000.0
2026-01-19,1973.981,26494136000.0
2026-01-20,1975.064,26428788000.0
2026-01-21,1987.573,23495598000.0
2026-01-22,1981.932,21254147000.0
2026-01-23,2006.839,26443474000.0
2026-01-26,2003.251,29713676000.0
2026-01-27,1989.801,24811135000.0
2026-01-28,1952.621,23758059000.0
2026-01-29,1942.235,33312869000.0
2026-01-30,1919.917,25111688000.0
2026-02-02,1882.156,20530317000.0
2026-02-03,1909.84,16499600000.0
2026-02-04,1926.095,17149083000.0
2026-02-05,1929.801,18200796000.0
2026-02-06,1928.829,18358983000.0
2026-02-09,1940.1,18498790000.0
2026-02-10,1945.053,17806618000.0
2026-02-11,1934.211,13769360000.0
2026-02-12,1917.172,14075423000.0
2026-02-13,1907.95,13565368000.0
2026-02-24,1924.67,14538826000.0
2026-02-25,1936.113,14653386000.0
2026-02-26,1923.289,14415950000.0
2026-02-27,1930.528,12622864400.0
2026-03-02,1877.509,18676635000.0
2026-03-03,1826.216,19413356000.0
2026-03-04,1802.9,13541347000.0
2026-03-05,1827.842,13466353000.0
2026-03-06,1873.769,15428818000.0
2026-03-09,1873.583,15788169000.0
2026-03-10,1912.849,15287200000.0
2026-03-11,1908.704,14027040000.0
2026-03-12,1889.462,11854528600.0
2026-03-13,1884.117,13695292000.0
2026-03-16,1887.55,14231815000.0
2026-03-17,1869.459,14383759000.0
2026-03-18,1885.226,12902797900.0
2026-03-19,1842.766,12882328500.0
2026-03-20,1803.63,12374125700.0
2026-03-23,1712.422,16701340000.0
2026-03-24,1769.37,12688610000.0
2026-03-25,1788.086,10858259300.0
2026-03-26,1767.428,12296514600.0
2026-03-27,1832.41,18029727000.0
2026-03-30,1853.012,19147939000.0
2026-03-31,1838.027,17068281000.0
2026-04-01,1901.922,24749189000.0
2026-04-02,1898.228,23557200000.0
2026-04-03,1859.999,18306669000.0
2026-04-07,1870.273,16361383000.0
2026-04-08,1904.606,22334995000.0
2026-04-09,1878.94,18342677000.0
2026-04-10,1889.304,17645518000.0
2026-04-13,1875.915,16844678000.0
2026-04-14,1888.184,17135457000.0
2026-04-15,1907.119,24225085000.0
2026-04-16,1912.855,19393162000.0
2026-04-17,1891.666,18708589000.0
2026-04-20,1905.759,18911515000.0
2026-04-21,1894.851,17675824000.0
2026-04-22,1898.73,17817814000.0
2026-04-23,1881.191,24441875000.0
2026-04-24,1885.372,23113605000.0
2026-04-27,1892.301,20790115000.0
2026-04-28,1880.992,23219748000.0
2026-04-29,1885.766,18333727000.0
2026-04-30,1891.295,18938528000.0
2026-05-06,1900.784,22759084000.0
2026-05-07,1907.571,21366312000.0
2026-05-08,1916.258,20841417000.0
2026-05-11,1932.835,29269334000.0
2026-05-12,1905.722,33272101000.0
2026-05-13,1909.483,24162064000.0
2026-05-14,1872.031,22867356000.0
2026-05-15,1860.104,20070541000.0
2026-05-18,1836.59,19544880000.0
2026-05-19,1847.636,18227570000.0
2026-05-20,1833.565,20699720000.0
2026-05-21,1802.708,24065029000.0
2026-05-22,1807.302,17537434000.0
2026-05-25,1790.027,18913058000.0
2026-05-26,1764.232,17502679000.0
2026-05-27,1742.286,21499633000.0
2026-05-28,1727.938,18243205000.0
2026-05-29,1717.525,24803519000.0
2026-06-01,1724.835,20537818000.0
2026-06-02,1697.021,16377007000.0
2026-06-03,1674.317,17590973000.0
2026-06-04,1648.911,15509054000.0
2026-06-05,1658.785,17300716000.0
2026-06-08,1614.001,15157723000.0
2026-06-09,1616.833,13496643000.0
2026-06-10,1609.669,13649939000.0
2026-06-11,1596.382,14726014000.0
2026-06-12,1626.828,20972898000.0
2026-06-15,1635.057,16588512000.0
2026-06-16,1622.286,14167710000.0
2026-06-17,1614.169,13910293000.0
2026-06-18,1628.355,21859839000.0
2026-06-22,1624.078,21589495000.0
2026-06-23,1652.707,23855801000.0
2026-06-24,1635.354,26961570000.0
2026-06-25,1622.939,24205268000.0
2026-06-26,1567.988,20399792000.0
2026-06-29,1649.239,31524498000.0
2026-06-30,1642.018,27973918000.0
2026-07-01,1701.055,33786198000.0
2026-07-02,1696.731,30022566000.0
2026-07-03,1728.574,28628577000.0
2026-07-06,1729.452,35578119000.0
2026-07-07,1674.785,27000820000.0
2026-07-08,1664.554,24080740000.0
2026-07-09,1670.674,26224568000.0
2026-07-10,1711.871,33010603000.0
2026-07-13,1696.537,28904327000.0
2026-07-14,1720.046,30096976000.0
2026-07-15,1763.872,41273149000.0
2026-07-16,1770.857,34830686000.0
2026-07-17,1663.002,32383101000.0
2026-07-20,1644.471,28723381000.0
