# 885874.TI 云游戏
time,close,amount
2025-06-13,1246.154,17693302000.0
2025-06-16,1281.665,15991297000.0
2025-06-17,1270.869,14235514000.0
2025-06-18,1267.227,12270075300.0
2025-06-19,1251.845,15153259000.0
2025-06-20,1222.753,11938854900.0
2025-06-23,1236.578,10896093400.0
2025-06-24,1268.77,13986432000.0
2025-06-25,1285.439,13754729000.0
2025-06-26,1280.327,13447180000.0
2025-06-27,1279.447,11879574600.0
2025-06-30,1311.254,16913185000.0
2025-07-01,1319.856,14762329000.0
2025-07-02,1305.738,13691336000.0
2025-07-03,1309.48,12400341500.0
2025-07-04,1313.709,17123002000.0
2025-07-07,1311.266,12737885900.0
2025-07-08,1337.422,15721739000.0
2025-07-09,1343.946,14880450000.0
2025-07-10,1338.232,14452658000.0
2025-07-11,1337.249,17773265000.0
2025-07-14,1322.027,16836472000.0
2025-07-15,1328.021,15882057000.0
2025-07-16,1330.973,18766470000.0
2025-07-17,1343.82,18329513000.0
2025-07-18,1335.923,16697673000.0
2025-07-21,1350.735,14746855000.0
2025-07-22,1338.964,15192054000.0
2025-07-23,1337.004,14231553000.0
2025-07-24,1350.944,11692542400.0
2025-07-25,1366.381,16501794000.0
2025-07-28,1364.797,15120215000.0
2025-07-29,1371.51,13883833000.0
2025-07-30,1367.479,16172796000.0
2025-07-31,1360.029,16622688000.0
2025-08-01,1360.846,13721633000.0
2025-08-04,1381.874,14562078000.0
2025-08-05,1398.279,16603079000.0
2025-08-06,1419.506,18877316000.0
2025-08-07,1422.099,18273406000.0
2025-08-08,1398.033,16542972000.0
2025-08-11,1410.199,15336448000.0
2025-08-12,1412.952,18339189000.0
2025-08-13,1423.145,19246128000.0
2025-08-14,1404.023,18580656000.0
2025-08-15,1425.269,21919698000.0
2025-08-18,1464.501,27563117000.0
2025-08-19,1467.561,24691000000.0
2025-08-20,1480.097,29545167000.0
2025-08-21,1486.833,25662191000.0
2025-08-22,1532.941,30562180000.0
2025-08-25,1551.154,38033974000.0
2025-08-26,1570.337,34761993000.0
2025-08-27,1543.811,39354867000.0
2025-08-28,1569.161,31466226000.0
2025-08-29,1554.208,25802579000.0
2025-09-01,1569.165,25944859000.0
2025-09-02,1531.226,28558236000.0
2025-09-03,1510.825,24610861000.0
2025-09-04,1466.478,23586761000.0
2025-09-05,1511.904,21702720000.0
2025-09-08,1543.862,24003629000.0
2025-09-09,1532.025,23520126000.0
2025-09-10,1564.271,26520730000.0
2025-09-11,1588.767,28754398000.0
2025-09-12,1588.412,27448177000.0
2025-09-15,1630.262,28698541000.0
2025-09-16,1649.584,31392356000.0
2025-09-17,1659.806,30486474000.0
2025-09-18,1626.831,34222999000.0
2025-09-19,1621.267,24935251000.0
2025-09-22,1638.006,26244102000.0
2025-09-23,1609.321,29501736000.0
2025-09-24,1652.499,25030155000.0
2025-09-25,1665.648,28727916000.0
2025-09-26,1612.948,25542276000.0
2025-09-29,1630.368,20840402000.0
2025-09-30,1636.983,19237512000.0
2025-10-09,1631.223,23883154000.0
2025-10-10,1582.771,19363644000.0
2025-10-13,1558.108,17475000000.0
2025-10-14,1515.37,18051138000.0
2025-10-15,1543.25,15403148000.0
2025-10-16,1532.904,14425856000.0
2025-10-17,1485.296,14274690000.0
2025-10-20,1510.233,14977233000.0
2025-10-21,1537.05,15518304000.0
2025-10-22,1544.158,14491855000.0
2025-10-23,1548.833,12749557000.0
2025-10-24,1562.636,14242066000.0
2025-10-27,1553.529,21213623000.0
2025-10-28,1552.996,16204574000.0
2025-10-29,1561.351,19742772000.0
2025-10-30,1530.308,21976265000.0
2025-10-31,1559.648,19169025000.0
2025-11-03,1603.345,20407104000.0
2025-11-04,1585.176,21437011000.0
2025-11-05,1572.243,16041285000.0
2025-11-06,1564.907,16199924000.0
2025-11-07,1547.73,13547084000.0
2025-11-10,1544.944,13798983000.0
2025-11-11,1543.05,10895244000.0
2025-11-12,1531.492,20089380000.0
2025-11-13,1548.342,16195308000.0
2025-11-14,1524.55,15204376000.0
2025-11-17,1538.546,17701408000.0
2025-11-18,1545.34,15513853000.0
2025-11-19,1513.217,13133117100.0
2025-11-20,1505.474,11987794600.0
2025-11-21,1472.036,16709513000.0
2025-11-24,1513.125,18199695000.0
2025-11-25,1546.815,23072503000.0
2025-11-26,1539.974,19067714000.0
2025-11-27,1530.234,14115814000.0
2025-11-28,1535.729,13366304200.0
2025-12-01,1564.412,17415431000.0
2025-12-02,1540.516,13390467600.0
2025-12-03,1510.624,14899181000.0
2025-12-04,1500.214,9930071300.0
2025-12-05,1513.773,11296608800.0
2025-12-08,1526.727,13277894400.0
2025-12-09,1522.092,12678987500.0
2025-12-10,1526.612,12704181200.0
2025-12-11,1489.796,11937641300.0
2025-12-12,1490.793,11342990800.0
2025-12-15,1478.959,12189764500.0
2025-12-16,1448.777,10984483900.0
2025-12-17,1474.748,13554389000.0
2025-12-18,1477.429,12315316800.0
2025-12-19,1498.818,12355660900.0
2025-12-22,1509.204,13133426100.0
2025-12-23,1502.502,11913248300.0
2025-12-24,1516.286,12341646200.0
2025-12-25,1525.733,10377463400.0
2025-12-26,1546.684,16098970000.0
2025-12-29,1542.405,17825613000.0
2025-12-30,1542.352,15549678000.0
2025-12-31,1561.132,15601592000.0
2026-01-05,1633.579,28915840000.0
2026-01-06,1640.493,28008046000.0
2026-01-07,1637.36,23113423000.0
2026-01-08,1660.441,23789446000.0
2026-01-09,1715.064,29978165000.0
2026-01-12,1818.041,47452273000.0
2026-01-13,1802.595,53927193000.0
2026-01-14,1821.943,51322599000.0
2026-01-15,1791.565,35460366000.0
2026-01-16,1734.956,30552733000.0
2026-01-19,1721.721,24005381000.0
2026-01-20,1708.374,27872176000.0
2026-01-21,1721.638,23301563000.0
2026-01-22,1741.377,22344443000.0
2026-01-23,1774.852,32660887000.0
2026-01-26,1769.519,34002773000.0
2026-01-27,1770.2,27572677000.0
2026-01-28,1761.274,27987148000.0
2026-01-29,1761.902,30002075000.0
2026-01-30,1759.888,30059975000.0
2026-02-02,1702.147,25877620000.0
2026-02-03,1764.557,33509737000.0
2026-02-04,1716.713,23199183000.0
2026-02-05,1712.232,16382420000.0
2026-02-06,1721.209,19567978000.0
2026-02-09,1786.29,23114251000.0
2026-02-10,1828.329,35238740000.0
2026-02-11,1812.983,26638542000.0
2026-02-12,1838.1,30195855000.0
2026-02-13,1816.475,26352118000.0
2026-02-24,1807.616,25355985000.0
2026-02-25,1802.734,22322225000.0
2026-02-26,1800.673,24669954000.0
2026-02-27,1824.13,29448587000.0
2026-03-02,1763.144,29068601000.0
2026-03-03,1678.352,23867938000.0
2026-03-04,1665.931,15841144000.0
2026-03-05,1702.503,20615764000.0
2026-03-06,1717.356,15731466000.0
2026-03-09,1749.09,26314012000.0
2026-03-10,1785.705,30055494000.0
2026-03-11,1784.202,27240239000.0
2026-03-12,1758.76,24398645000.0
2026-03-13,1721.631,22187970000.0
2026-03-16,1728.322,17432464000.0
2026-03-17,1694.627,17951748000.0
2026-03-18,1744.952,21400693000.0
2026-03-19,1713.173,23154831000.0
2026-03-20,1645.532,24741348000.0
2026-03-23,1555.589,21250151000.0
2026-03-24,1598.36,16224509000.0
2026-03-25,1642.864,19388118000.0
2026-03-26,1603.305,12961626100.0
2026-03-27,1618.244,11529888300.0
2026-03-30,1609.953,12041656300.0
2026-03-31,1581.906,11378599700.0
2026-04-01,1640.207,20142053000.0
2026-04-02,1592.425,16140697000.0
2026-04-03,1563.223,12843828800.0
2026-04-07,1575.474,11720491700.0
2026-04-08,1679.832,23905060000.0
2026-04-09,1653.64,17818447000.0
2026-04-10,1655.886,18584969000.0
2026-04-13,1639.467,23109445000.0
2026-04-14,1664.463,20037040000.0
2026-04-15,1668.958,29138167000.0
2026-04-16,1726.349,33556373000.0
2026-04-17,1719.823,25897440000.0
2026-04-20,1718.231,24762609000.0
2026-04-21,1704.525,20631189000.0
2026-04-22,1727.705,26411028000.0
2026-04-23,1700.824,29244458000.0
2026-04-24,1676.68,27426890000.0
2026-04-27,1701.233,25512818000.0
2026-04-28,1684.384,30345326000.0
2026-04-29,1713.681,27286482000.0
2026-04-30,1697.984,27650599000.0
2026-05-06,1746.688,31448197000.0
2026-05-07,1796.465,31287294000.0
2026-05-08,1806.841,28236667000.0
2026-05-11,1810.405,32881025000.0
2026-05-12,1788.818,28767339000.0
2026-05-13,1826.575,30207780000.0
2026-05-14,1763.049,29944731000.0
2026-05-15,1749.796,27113380000.0
2026-05-18,1759.386,24815890000.0
2026-05-19,1785.018,23382779000.0
2026-05-20,1758.203,21732054000.0
2026-05-21,1704.461,26770506000.0
2026-05-22,1724.844,20684627000.0
2026-05-25,1706.784,23488112000.0
2026-05-26,1668.896,24082518000.0
2026-05-27,1623.201,20694985000.0
2026-05-28,1622.574,16604302000.0
2026-05-29,1571.072,17795506000.0
2026-06-01,1605.17,19580151000.0
2026-06-02,1571.342,16869341000.0
2026-06-03,1554.418,16526661000.0
2026-06-04,1533.315,15179942000.0
2026-06-05,1553.879,19312088000.0
2026-06-08,1508.013,17793861000.0
2026-06-09,1528.986,14826462000.0
2026-06-10,1525.347,15594932000.0
2026-06-11,1481.559,15728839000.0
2026-06-12,1478.94,24097462000.0
2026-06-15,1518.508,21105711000.0
2026-06-16,1523.422,20053076000.0
2026-06-17,1519.357,21777243000.0
2026-06-18,1525.532,22477084000.0
2026-06-22,1575.877,31040927000.0
2026-06-23,1541.767,24480052000.0
2026-06-24,1539.198,24520600000.0
2026-06-25,1537.465,25349494000.0
2026-06-26,1504.524,25178669000.0
2026-06-29,1489.598,24513636000.0
2026-06-30,1526.661,23094308000.0
2026-07-01,1541.026,24369508000.0
2026-07-02,1514.643,25046815000.0
2026-07-03,1501.052,18361318000.0
2026-07-06,1483.484,17478330000.0
2026-07-07,1466.279,23363190000.0
2026-07-08,1463.428,20959180000.0
2026-07-09,1476.925,20830217000.0
2026-07-10,1505.948,25526549000.0
2026-07-13,1425.374,23160087000.0
2026-07-14,1423.711,18607281000.0
2026-07-15,1446.944,21328987000.0
2026-07-16,1443.944,21196009000.0
2026-07-17,1361.647,21391111000.0
2026-07-20,1355.786,21957519000.0
