# 885899.TI 新型烟草(电子烟)
time,close,amount
2025-06-13,1311.87,16152347000.0
2025-06-16,1326.306,11201557800.0
2025-06-17,1335.017,14837431000.0
2025-06-18,1343.213,15368743000.0
2025-06-19,1320.709,15195325000.0
2025-06-20,1309.339,14090705000.0
2025-06-23,1335.487,15989998000.0
2025-06-24,1377.081,21319621000.0
2025-06-25,1392.481,21858613000.0
2025-06-26,1384.432,21776242000.0
2025-06-27,1405.438,23864942000.0
2025-06-30,1430.198,22346600000.0
2025-07-01,1426.497,22508145000.0
2025-07-02,1411.041,17567259000.0
2025-07-03,1437.577,24584821000.0
2025-07-04,1409.147,21134169000.0
2025-07-07,1413.875,16487231000.0
2025-07-08,1442.678,20690513000.0
2025-07-09,1433.898,21038217000.0
2025-07-10,1423.684,16686245000.0
2025-07-11,1423.289,17976603000.0
2025-07-14,1427.799,14300995000.0
2025-07-15,1417.429,17503515000.0
2025-07-16,1431.239,18305476000.0
2025-07-17,1452.546,19936077000.0
2025-07-18,1449.587,17869713000.0
2025-07-21,1462.163,16095706000.0
2025-07-22,1452.939,17668560000.0
2025-07-23,1436.286,15594923000.0
2025-07-24,1455.508,16269547000.0
2025-07-25,1467.047,14986995000.0
2025-07-28,1491.667,19667169000.0
2025-07-29,1491.98,17737708000.0
2025-07-30,1475.79,17139451000.0
2025-07-31,1466.409,23243029000.0
2025-08-01,1472.698,17092082000.0
2025-08-04,1499.08,16830937000.0
2025-08-05,1521.104,17574732000.0
2025-08-06,1536.621,19350416000.0
2025-08-07,1544.071,25357569000.0
2025-08-08,1527.62,20249561000.0
2025-08-11,1563.518,25191985000.0
2025-08-12,1563.629,20381173000.0
2025-08-13,1577.819,22581852000.0
2025-08-14,1556.991,26672763000.0
2025-08-15,1599.349,26382610000.0
2025-08-18,1644.456,30891558000.0
2025-08-19,1649.079,29931974000.0
2025-08-20,1660.213,25679271000.0
2025-08-21,1653.504,28151090000.0
2025-08-22,1671.85,30986572000.0
2025-08-25,1695.184,35873455000.0
2025-08-26,1702.056,34385104000.0
2025-08-27,1686.439,45250686000.0
2025-08-28,1718.547,38439383000.0
2025-08-29,1721.533,38825881000.0
2025-09-01,1737.521,35138349000.0
2025-09-02,1701.655,34861564000.0
2025-09-03,1677.691,36778341000.0
2025-09-04,1662.759,45205342000.0
2025-09-05,1732.833,48227951000.0
2025-09-08,1745.507,49644442000.0
2025-09-09,1719.444,37512030000.0
2025-09-10,1711.296,34171427000.0
2025-09-11,1750.172,37957943000.0
2025-09-12,1755.509,40842398000.0
2025-09-15,1754.897,40941846000.0
2025-09-16,1787.026,35730148000.0
2025-09-17,1815.159,43504900000.0
2025-09-18,1789.99,47249749000.0
2025-09-19,1766.735,35489055000.0
2025-09-22,1807.803,35797347000.0
2025-09-23,1788.71,45774923000.0
2025-09-24,1814.984,40810679000.0
2025-09-25,1809.29,40704362000.0
2025-09-26,1771.796,38160625000.0
2025-09-29,1796.836,39763840000.0
2025-09-30,1816.783,39224047000.0
2025-10-09,1828.636,39464664000.0
2025-10-10,1781.138,35585218000.0
2025-10-13,1767.166,31542312000.0
2025-10-14,1716.552,35077485000.0
2025-10-15,1750.103,26266690000.0
2025-10-16,1719.072,25486718000.0
2025-10-17,1647.145,24199907000.0
2025-10-20,1676.594,19641705000.0
2025-10-21,1713.863,23013759000.0
2025-10-22,1717.937,21231698000.0
2025-10-23,1716.997,22088745000.0
2025-10-24,1751.978,29123936000.0
2025-10-27,1765.197,34725628000.0
2025-10-28,1766.73,26189563000.0
2025-10-29,1786.308,31052399000.0
2025-10-30,1761.575,37663140000.0
2025-10-31,1773.594,35381852000.0
2025-11-03,1772.733,26629369000.0
2025-11-04,1740.305,24091206000.0
2025-11-05,1755.046,28757204000.0
2025-11-06,1771.323,27948361000.0
2025-11-07,1762.001,28277807000.0
2025-11-10,1749.841,29094995000.0
2025-11-11,1746.11,24447568000.0
2025-11-12,1727.994,22425644000.0
2025-11-13,1757.521,29461989000.0
2025-11-14,1737.99,24826587000.0
2025-11-17,1745.271,21998406000.0
2025-11-18,1726.804,22674624000.0
2025-11-19,1695.254,18205261000.0
2025-11-20,1678.079,17568134000.0
2025-11-21,1609.081,19521034000.0
2025-11-24,1640.64,16673069000.0
2025-11-25,1672.603,17638034000.0
2025-11-26,1664.574,16679150000.0
2025-11-27,1690.092,22674856000.0
2025-11-28,1700.72,19596056000.0
2025-12-01,1735.425,23227062000.0
2025-12-02,1728.85,23699767000.0
2025-12-03,1708.914,18980507000.0
2025-12-04,1696.994,20259439000.0
2025-12-05,1722.162,18979467000.0
2025-12-08,1752.843,23822920000.0
2025-12-09,1744.501,26268703000.0
2025-12-10,1733.687,23190937000.0
2025-12-11,1709.274,31373211000.0
2025-12-12,1712.964,27135862000.0
2025-12-15,1689.982,24693806000.0
2025-12-16,1656.186,22293676000.0
2025-12-17,1686.202,24172453000.0
2025-12-18,1682.826,19266533000.0
2025-12-19,1702.095,22994985000.0
