# 886002.TI 机器视觉
time,close,amount
2025-06-13,1475.849,66350387000.0
2025-06-16,1495.806,51481126000.0
2025-06-17,1493.03,54373998000.0
2025-06-18,1503.204,54485210000.0
2025-06-19,1478.523,60824401000.0
2025-06-20,1456.646,50746274000.0
2025-06-23,1487.709,53198378000.0
2025-06-24,1530.851,74913934000.0
2025-06-25,1554.031,79321499000.0
2025-06-26,1549.929,74890037000.0
2025-06-27,1554.954,73167494000.0
2025-06-30,1583.093,75212043000.0
2025-07-01,1579.57,70151419000.0
2025-07-02,1561.23,62373101000.0
2025-07-03,1568.863,52909090000.0
2025-07-04,1553.007,54147807000.0
2025-07-07,1555.53,47663276000.0
2025-07-08,1574.979,55894001000.0
2025-07-09,1571.37,58996275000.0
2025-07-10,1567.214,52339666000.0
2025-07-11,1580.873,63384733000.0
2025-07-14,1591.604,56022816000.0
2025-07-15,1591.622,76277124000.0
2025-07-16,1604.05,73370001000.0
2025-07-17,1623.262,80197281000.0
2025-07-18,1630.897,82004230000.0
2025-07-21,1649.482,85816344000.0
2025-07-22,1645.04,79487977000.0
2025-07-23,1633.964,71656949000.0
2025-07-24,1652.617,70308021000.0
2025-07-25,1670.413,78006920000.0
2025-07-28,1682.085,80690391000.0
2025-07-29,1684.142,77039726000.0
2025-07-30,1662.755,73969130000.0
2025-07-31,1661.085,89485537000.0
2025-08-01,1673.608,78667280000.0
2025-08-04,1706.619,76680331000.0
2025-08-05,1720.885,85552990000.0
2025-08-06,1757.475,116342451000.0
2025-08-07,1751.755,114990042000.0
2025-08-08,1737.229,96215525000.0
2025-08-11,1763.526,97897791000.0
2025-08-12,1759.378,95951251000.0
2025-08-13,1774.351,107752637000.0
2025-08-14,1746.054,126213131000.0
2025-08-15,1783.49,106800414000.0
2025-08-18,1823.491,155831550000.0
2025-08-19,1833.228,146045910000.0
2025-08-20,1847.595,142642670000.0
2025-08-21,1828.979,137287450000.0
2025-08-22,1856.361,144613640000.0
2025-08-25,1877.33,174681300000.0
2025-08-26,1888.98,163893370000.0
2025-08-27,1856.217,216561720000.0
2025-08-28,1879.355,189074470000.0
2025-08-29,1865.556,154891840000.0
2025-09-01,1883.388,159784500000.0
2025-09-02,1844.764,182911380000.0
2025-09-03,1805.82,141235120000.0
2025-09-04,1764.124,145981740000.0
2025-09-05,1820.746,131084323000.0
2025-09-08,1849.334,158766970000.0
2025-09-09,1817.096,121351352000.0
2025-09-10,1824.947,116304744000.0
2025-09-11,1875.275,154023980000.0
2025-09-12,1872.095,167072850000.0
2025-09-15,1866.208,131009276000.0
2025-09-16,1903.093,154851020000.0
2025-09-17,1927.815,151467340000.0
2025-09-18,1912.987,226701630000.0
2025-09-19,1893.685,172742150000.0
2025-09-22,1924.166,138896680000.0
2025-09-23,1892.944,183709560000.0
2025-09-24,1937.873,194987570000.0
2025-09-25,1931.092,170130870000.0
2025-09-26,1888.057,160638950000.0
2025-09-29,1909.497,132479763000.0
2025-09-30,1921.32,136586070000.0
2025-10-09,1940.119,183959990000.0
2025-10-10,1904.202,156227170000.0
2025-10-13,1895.444,136873460000.0
2025-10-14,1849.355,145137650000.0
2025-10-15,1881.51,113887548000.0
2025-10-16,1856.669,105883299000.0
2025-10-17,1797.214,101036669000.0
2025-10-20,1824.708,85418476000.0
2025-10-21,1859.853,95878829000.0
2025-10-22,1857.862,80473827000.0
2025-10-23,1859.022,80541796000.0
2025-10-24,1892.101,108755325000.0
2025-10-27,1909.585,130659811000.0
2025-10-28,1904.643,112564544000.0
2025-10-29,1917.416,115815268000.0
2025-10-30,1890.554,122194256000.0
2025-10-31,1903.388,123195838000.0
2025-11-03,1914.175,108021635000.0
2025-11-04,1888.807,90668878000.0
2025-11-05,1889.618,82521046000.0
2025-11-06,1902.771,85048916000.0
2025-11-07,1881.479,77824185000.0
2025-11-10,1883.667,83680890000.0
2025-11-11,1875.666,78188721000.0
2025-11-12,1862.612,74188131000.0
2025-11-13,1875.775,73797200000.0
2025-11-14,1863.395,81695242000.0
2025-11-17,1879.044,80355868000.0
2025-11-18,1872.585,90595377000.0
2025-11-19,1843.568,76737118000.0
2025-11-20,1829.734,69369377000.0
2025-11-21,1769.77,88584257000.0
2025-11-24,1808.339,78231681000.0
2025-11-25,1833.034,88108455000.0
2025-11-26,1824.873,80570384000.0
2025-11-27,1829.132,78196614000.0
2025-11-28,1852.919,70132388000.0
2025-12-01,1871.234,98064416000.0
2025-12-02,1851.587,84996128000.0
2025-12-03,1823.582,72418192000.0
2025-12-04,1821.711,77590144000.0
2025-12-05,1851.848,81610706000.0
2025-12-08,1876.311,97241414000.0
2025-12-09,1864.587,87657610000.0
2025-12-10,1862.506,77967362000.0
2025-12-11,1835.253,78468246000.0
2025-12-12,1842.071,96194050000.0
2025-12-15,1820.375,76732165000.0
2025-12-16,1805.877,75688896000.0
2025-12-17,1820.599,74505504000.0
2025-12-18,1820.966,65929564000.0
2025-12-19,1843.435,70777248000.0
2025-12-22,1865.862,79096392000.0
2025-12-23,1853.83,80349231000.0
2025-12-24,1887.916,84662871000.0
2025-12-25,1915.39,95476242000.0
2025-12-26,1906.133,94854528000.0
2025-12-29,1909.319,88638702000.0
2025-12-30,1921.038,102873602000.0
2025-12-31,1927.679,104321675000.0
2026-01-05,1965.27,142411790000.0
2026-01-06,1997.608,161468830000.0
2026-01-07,1996.66,157743820000.0
2026-01-08,2019.534,154087340000.0
2026-01-09,2053.079,158267600000.0
2026-01-12,2126.63,202443900000.0
2026-01-13,2076.712,186653090000.0
2026-01-14,2106.861,211816310000.0
2026-01-15,2094.844,180028050000.0
2026-01-16,2112.716,166417860000.0
2026-01-19,2111.004,138470480000.0
2026-01-20,2084.957,132093891000.0
2026-01-21,2109.528,128234661000.0
2026-01-22,2119.115,123598939000.0
2026-01-23,2165.985,163043880000.0
2026-01-26,2113.072,166485110000.0
2026-01-27,2128.455,141216430000.0
2026-01-28,2098.778,137202540000.0
2026-01-29,2064.464,151283660000.0
2026-01-30,2058.742,129427450000.0
2026-02-02,2012.322,119141534000.0
2026-02-03,2074.814,114938272000.0
2026-02-04,2068.133,107055854000.0
2026-02-05,2046.148,91134983000.0
2026-02-06,2051.377,89287633000.0
2026-02-09,2100.681,100811437000.0
2026-02-10,2104.714,97777692000.0
2026-02-11,2092.463,85815633000.0
2026-02-12,2105.259,103819685000.0
2026-02-13,2097.21,98518598000.0
2026-02-24,2109.445,108796407000.0
2026-02-25,2121.357,105896911000.0
2026-02-26,2145.663,115843801000.0
2026-02-27,2156.014,119534982000.0
2026-03-02,2106.448,131273399000.0
2026-03-03,2013.734,136297740000.0
2026-03-04,2002.594,92125101000.0
2026-03-05,2040.349,101125284000.0
2026-03-06,2061.902,85489263000.0
2026-03-09,2047.083,103000922000.0
2026-03-10,2097.926,104673723000.0
2026-03-11,2088.171,103551310000.0
2026-03-12,2059.573,94364484000.0
2026-03-13,2028.164,89630722000.0
2026-03-16,2037.24,89812571000.0
2026-03-17,1986.182,87138553000.0
2026-03-18,2024.247,85239866000.0
2026-03-19,1974.43,86457468000.0
2026-03-20,1926.603,95882103000.0
2026-03-23,1815.996,97972721000.0
2026-03-24,1875.325,80340287000.0
2026-03-25,1914.409,91387085000.0
2026-03-26,1874.973,75975889000.0
2026-03-27,1894.238,71961418000.0
2026-03-30,1896.617,70500597000.0
2026-03-31,1870.842,76710437000.0
2026-04-01,1917.371,78858500000.0
2026-04-02,1877.474,72022067000.0
2026-04-03,1859.288,68041186000.0
2026-04-07,1876.179,63904681000.0
2026-04-08,1982.77,112468276000.0
2026-04-09,1961.942,108830290000.0
2026-04-10,1985.559,120601168000.0
2026-04-13,1989.223,98217424000.0
2026-04-14,2013.969,116652798000.0
2026-04-15,1996.552,109486781000.0
2026-04-16,2033.101,108731544000.0
2026-04-17,2053.715,110213173000.0
2026-04-20,2069.283,139880110000.0
2026-04-21,2059.445,118277280000.0
2026-04-22,2084.477,124213275000.0
2026-04-23,2041.319,125686267000.0
2026-04-24,2030.15,128050283000.0
2026-04-27,2064.262,145012360000.0
2026-04-28,2020.467,132517046000.0
2026-04-29,2038.028,126563882000.0
2026-04-30,2061.487,130945204000.0
2026-05-06,2106.356,168595660000.0
2026-05-07,2154.859,153832930000.0
2026-05-08,2186.804,161565440000.0
2026-05-11,2209.416,186889640000.0
2026-05-12,2191.4,161361610000.0
2026-05-13,2220.573,163753740000.0
2026-05-14,2177.193,162704020000.0
2026-05-15,2183.275,174977510000.0
2026-05-18,2199.522,169394030000.0
2026-05-19,2232.649,169698240000.0
2026-05-20,2220.564,165557640000.0
2026-05-21,2155.014,208334270000.0
2026-05-22,2213.813,173130910000.0
2026-05-25,2218.327,184549720000.0
2026-05-26,2180.827,187544070000.0
2026-05-27,2126.936,183702750000.0
2026-05-28,2143.307,161460710000.0
2026-05-29,2058.954,185778680000.0
2026-06-01,2063.524,158104900000.0
2026-06-02,2058.167,144752580000.0
2026-06-03,2064.741,174573720000.0
2026-06-04,2051.876,145483020000.0
2026-06-05,2076.196,167671030000.0
2026-06-08,2041.933,164949610000.0
2026-06-09,2080.442,155636690000.0
2026-06-10,2034.321,145277050000.0
2026-06-11,1993.995,127929613000.0
2026-06-12,1996.467,154488650000.0
2026-06-15,2069.449,156235240000.0
2026-06-16,2110.484,175608880000.0
2026-06-17,2112.847,172208160000.0
2026-06-18,2133.931,190701590000.0
2026-06-22,2118.243,205199830000.0
2026-06-23,2104.82,182332720000.0
2026-06-24,2102.592,197473680000.0
2026-06-25,2074.147,204142250000.0
2026-06-26,2021.463,209192150000.0
2026-06-29,1994.545,193996690000.0
2026-06-30,2074.17,195351930000.0
2026-07-01,2102.162,205891630000.0
2026-07-02,2061.671,190599230000.0
2026-07-03,2100.115,191839510000.0
2026-07-06,2037.93,175267410000.0
2026-07-07,1988.349,150828620000.0
2026-07-08,1955.637,150958680000.0
2026-07-09,1990.27,162273820000.0
2026-07-10,1998.281,199495830000.0
2026-07-13,1882.181,157800630000.0
2026-07-14,1899.259,140218940000.0
2026-07-15,1886.939,121382169000.0
2026-07-16,1870.721,136014440000.0
2026-07-17,1753.66,143898170000.0
2026-07-20,1678.32,141846010000.0
