# 886003.TI 钒电池
time,close,amount
2025-06-13,1138.076,7407007500.0
2025-06-16,1140.504,5432983100.0
2025-06-17,1146.743,6161557600.0
2025-06-18,1139.067,5350610500.0
2025-06-19,1119.123,5724525800.0
2025-06-20,1121.321,5340934100.0
2025-06-23,1129.821,5992947200.0
2025-06-24,1158.316,6946432900.0
2025-06-25,1165.024,7710626600.0
2025-06-26,1157.53,6817692600.0
2025-06-27,1164.222,7443214400.0
2025-06-30,1178.871,7529563500.0
2025-07-01,1186.441,7949587700.0
2025-07-02,1198.247,10475606900.0
2025-07-03,1196.468,8067427800.0
2025-07-04,1187.456,8860066100.0
2025-07-07,1201.256,8423145100.0
2025-07-08,1215.345,9465747000.0
2025-07-09,1210.445,9556983300.0
2025-07-10,1219.767,9826890600.0
2025-07-11,1226.453,15126488000.0
2025-07-14,1220.66,10387279500.0
2025-07-15,1202.229,10658754800.0
2025-07-16,1200.226,7672636900.0
2025-07-17,1207.343,10264110600.0
2025-07-18,1214.43,10691185500.0
2025-07-21,1246.416,13942745000.0
2025-07-22,1264.599,13796972000.0
2025-07-23,1252.774,19450714000.0
2025-07-24,1269.135,20154540000.0
2025-07-25,1267.075,18612922000.0
2025-07-28,1267.836,14614773000.0
2025-07-29,1265.535,16691228000.0
2025-07-30,1260.202,13896910000.0
2025-07-31,1236.845,12768141400.0
2025-08-01,1240.136,9897976800.0
2025-08-04,1252.538,8895194200.0
2025-08-05,1267.536,10290657300.0
2025-08-06,1274.58,11314118300.0
2025-08-07,1278.539,13089681700.0
2025-08-08,1285.938,13270084000.0
2025-08-11,1299.168,13260186400.0
2025-08-12,1297.766,11576264200.0
2025-08-13,1301.437,14774159000.0
2025-08-14,1276.824,14339052000.0
2025-08-15,1302.387,21552572000.0
2025-08-18,1314.174,22056722000.0
2025-08-19,1320.808,17973866000.0
2025-08-20,1338.949,25244426000.0
2025-08-21,1333.392,20745513000.0
2025-08-22,1339.365,18915993000.0
2025-08-25,1353.141,27061527000.0
2025-08-26,1362.604,23539134000.0
2025-08-27,1321.836,24747619000.0
2025-08-28,1327.469,20212257000.0
2025-08-29,1325.175,16000978000.0
2025-09-01,1337.208,15869604000.0
2025-09-02,1312.54,15853458000.0
2025-09-03,1286.767,12153213900.0
2025-09-04,1278.951,13345911100.0
2025-09-05,1321.11,12362870100.0
2025-09-08,1342.727,12994227500.0
2025-09-09,1329.417,12542948300.0
2025-09-10,1323.351,9862380900.0
2025-09-11,1338.668,11625650900.0
2025-09-12,1348.926,15637317000.0
2025-09-15,1349.276,14184569000.0
2025-09-16,1352.315,14891536000.0
2025-09-17,1355.41,15077323000.0
2025-09-18,1335.327,20611786000.0
2025-09-19,1334.592,18771344000.0
2025-09-22,1333.405,14648045000.0
2025-09-23,1324.034,19386198000.0
2025-09-24,1336.778,20255139000.0
2025-09-25,1330.864,25213880000.0
2025-09-26,1329.56,19873969000.0
2025-09-29,1364.265,17353671000.0
2025-09-30,1377.114,17968702000.0
2025-10-09,1412.249,21167541000.0
2025-10-10,1418.699,29429218000.0
2025-10-13,1410.415,24533058000.0
2025-10-14,1395.534,23937187000.0
2025-10-15,1408.589,19901115000.0
2025-10-16,1402.016,19446038000.0
2025-10-17,1364.895,18989164000.0
2025-10-20,1375.425,16355215000.0
2025-10-21,1402.406,17247557000.0
2025-10-22,1388.681,15450441000.0
2025-10-23,1401.774,15239994000.0
2025-10-24,1401.232,16716266000.0
2025-10-27,1425.292,23389997000.0
2025-10-28,1418.266,21314809000.0
2025-10-29,1439.268,19361478000.0
2025-10-30,1427.523,18994114000.0
2025-10-31,1431.782,16180214000.0
2025-11-03,1443.936,19580792000.0
2025-11-04,1439.292,16878221000.0
2025-11-05,1473.285,20110777000.0
2025-11-06,1491.766,24553641000.0
2025-11-07,1495.401,22578609000.0
2025-11-10,1509.895,21955356000.0
2025-11-11,1516.888,22418156000.0
2025-11-12,1495.08,21501110000.0
2025-11-13,1519.343,20242665000.0
2025-11-14,1523.102,22742556000.0
2025-11-17,1523.961,22548848000.0
2025-11-18,1486.807,19310279000.0
2025-11-19,1475.239,15443497000.0
2025-11-20,1459.405,14356754000.0
2025-11-21,1384.324,17018525000.0
2025-11-24,1388.41,12764339300.0
2025-11-25,1407.773,11577749400.0
2025-11-26,1395.063,11436281500.0
2025-11-27,1402.706,10214940500.0
2025-11-28,1424.68,10682144600.0
2025-12-01,1424.955,12373696600.0
2025-12-02,1409.794,10269613000.0
