# 886006.TI 钙钛矿电池
time,close,amount
2025-06-13,690.06,16715441000.0
2025-06-16,699.278,12577433800.0
2025-06-17,700.696,14204673000.0
2025-06-18,704.457,14452226000.0
2025-06-19,694.694,15237279000.0
2025-06-20,702.044,16918328000.0
2025-06-23,713.932,17163806000.0
2025-06-24,734.683,22243386000.0
2025-06-25,739.361,22929670000.0
2025-06-26,732.509,20975653000.0
2025-06-27,735.104,17782160000.0
2025-06-30,752.104,21651576000.0
2025-07-01,748.54,17464128000.0
2025-07-02,758.52,25297077000.0
2025-07-03,766.908,23461379000.0
2025-07-04,755.75,21829424000.0
2025-07-07,759.17,15997430000.0
2025-07-08,785.012,29670431000.0
2025-07-09,783.007,27888146000.0
2025-07-10,788.148,29964137000.0
2025-07-11,788.594,26094334000.0
2025-07-14,790.319,21634037000.0
2025-07-15,779.516,24736003000.0
2025-07-16,779.535,19350890000.0
2025-07-17,791.27,24760728000.0
2025-07-18,788.736,21984092000.0
2025-07-21,800.24,22118845000.0
2025-07-22,810.675,29372829000.0
2025-07-23,802.094,28870006000.0
2025-07-24,812.849,26836721000.0
2025-07-25,809.579,19997679000.0
2025-07-28,820.316,24078810000.0
2025-07-29,827.864,23792028000.0
2025-07-30,817.626,24611480000.0
2025-07-31,802.891,27002403000.0
2025-08-01,809.927,22999956000.0
2025-08-04,820.385,20861085000.0
2025-08-05,829.184,20264782000.0
2025-08-06,834.05,20437711000.0
2025-08-07,833.187,22966907000.0
2025-08-08,836.153,23262162000.0
2025-08-11,859.405,26174787000.0
2025-08-12,855.036,28668150000.0
2025-08-13,859.799,28163988000.0
2025-08-14,840.094,30146089000.0
2025-08-15,863.132,33505842000.0
2025-08-18,878.241,36814332000.0
2025-08-19,877.112,29963781000.0
2025-08-20,886.312,34241571000.0
2025-08-21,878.745,30673813000.0
2025-08-22,885.871,35800385000.0
2025-08-25,894.584,45054144000.0
2025-08-26,900.017,37154822000.0
2025-08-27,876.253,40598125000.0
2025-08-28,891.454,45569743000.0
2025-08-29,895.795,45264971000.0
2025-09-01,913.027,50074316000.0
2025-09-02,902.93,60873602000.0
2025-09-03,894.884,49562926000.0
2025-09-04,887.805,63134993000.0
2025-09-05,938.146,70379995000.0
