# 886007.TI TOPCON电池
time,close,amount
2025-06-13,719.048,18526200000.0
2025-06-16,726.857,13719283000.0
2025-06-17,728.487,13669684000.0
2025-06-18,729.813,13837860000.0
2025-06-19,718.928,15532824000.0
2025-06-20,719.939,17694983000.0
2025-06-23,730.371,16288516000.0
2025-06-24,747.8,20331980000.0
2025-06-25,753.317,21962318000.0
2025-06-26,748.251,20521432000.0
2025-06-27,753.272,20479439000.0
2025-06-30,770.387,23665440000.0
2025-07-01,770.195,20009893000.0
2025-07-02,782.858,31537392000.0
2025-07-03,784.996,28406062000.0
2025-07-04,773.778,25013354000.0
2025-07-07,773.682,17298275000.0
2025-07-08,800.917,34009401000.0
2025-07-09,798.046,28513615000.0
2025-07-10,807.56,35010714000.0
2025-07-11,809.083,30112281000.0
2025-07-14,809.633,23636327000.0
2025-07-15,795.542,26512395000.0
2025-07-16,798.097,21681518000.0
2025-07-17,808.007,30326692000.0
2025-07-18,803.447,24492272000.0
2025-07-21,811.635,21644440000.0
2025-07-22,819.335,31004253000.0
2025-07-23,810.228,29468336000.0
2025-07-24,823.818,29197059000.0
2025-07-25,822.1,21923970000.0
2025-07-28,825.377,21512006000.0
2025-07-29,829.418,23058139000.0
2025-07-30,818.643,24233667000.0
2025-07-31,803.297,28194064000.0
2025-08-01,815.592,24359938000.0
2025-08-04,820.103,21177858000.0
2025-08-05,829.667,19998409000.0
2025-08-06,836.649,20742674000.0
2025-08-07,832.541,25540738000.0
2025-08-08,831.868,23302194000.0
2025-08-11,850.131,28300281000.0
2025-08-12,845.911,29152707000.0
2025-08-13,852.772,31584937000.0
2025-08-14,835.906,34293628000.0
2025-08-15,857.448,38488180000.0
2025-08-18,872.599,43073079000.0
2025-08-19,872.191,32153720000.0
2025-08-20,882.066,36587668000.0
2025-08-21,877.814,35286574000.0
2025-08-22,887.009,37527051000.0
2025-08-25,892.838,48875558000.0
2025-08-26,903.066,43780126000.0
2025-08-27,877.699,47895961000.0
2025-08-28,892.907,48850066000.0
2025-08-29,894.306,45537298000.0
2025-09-01,909.891,51131811000.0
2025-09-02,901.449,59141142000.0
2025-09-03,897.087,50363884000.0
2025-09-04,896.277,71132864000.0
2025-09-05,939.984,79039466000.0
2025-09-08,952.721,77735183000.0
2025-09-09,940.53,57319750000.0
2025-09-10,937.732,55370690000.0
2025-09-11,951.298,56573928000.0
2025-09-12,943.719,54726642000.0
2025-09-15,941.697,50299277000.0
2025-09-16,950.456,49748404000.0
2025-09-17,957.501,49765957000.0
2025-09-18,940.482,63604029000.0
2025-09-19,931.623,46422813000.0
2025-09-22,932.066,46298788000.0
2025-09-23,920.489,51739221000.0
2025-09-24,951.63,56479856000.0
2025-09-25,954.292,57621353000.0
2025-09-26,952.144,51846969000.0
2025-09-29,967.488,53029342000.0
2025-09-30,974.635,50416116000.0
2025-10-09,989.497,62939424000.0
2025-10-10,965.707,52719189000.0
2025-10-13,960.798,45891484000.0
2025-10-14,959.703,66536289000.0
2025-10-15,973.485,54968119000.0
2025-10-16,962.196,43797585000.0
2025-10-17,925.234,44820172000.0
2025-10-20,934.225,34267016000.0
2025-10-21,951.164,36818303000.0
2025-10-22,947.24,30232985000.0
2025-10-23,946.808,31690930000.0
2025-10-24,955.597,36982145000.0
2025-10-27,962.124,42836561000.0
2025-10-28,955.927,36551698000.0
2025-10-29,983.407,63575275000.0
2025-10-30,974.082,64371748000.0
2025-10-31,977.92,52568134000.0
2025-11-03,996.196,53910643000.0
2025-11-04,981.939,41129486000.0
2025-11-05,1005.781,54772857000.0
2025-11-06,1013.222,56010881000.0
2025-11-07,1027.939,68325984000.0
2025-11-10,1042.09,73507743000.0
2025-11-11,1057.094,65166941000.0
2025-11-12,1036.168,76437031000.0
2025-11-13,1051.871,66833840000.0
2025-11-14,1059.984,74022533000.0
2025-11-17,1055.474,57076293000.0
2025-11-18,1038.319,50066824000.0
2025-11-19,1029.259,42028078000.0
2025-11-20,1008.848,39980131000.0
2025-11-21,950.436,43206897000.0
2025-11-24,959.663,31313044000.0
2025-11-25,974.386,30930913000.0
2025-11-26,968.728,31479754000.0
2025-11-27,976.191,30673136000.0
2025-11-28,990.427,30130360000.0
2025-12-01,995.512,39645019000.0
2025-12-02,984.343,35130039000.0
2025-12-03,972.795,31044476000.0
2025-12-04,959.933,25395010000.0
2025-12-05,975.173,31384499000.0
2025-12-08,992.712,43988801000.0
2025-12-09,990.95,39077247000.0
2025-12-10,982.494,34840965000.0
2025-12-11,973.168,42723831000.0
2025-12-12,976.635,42977240000.0
2025-12-15,968.887,35450462000.0
2025-12-16,943.121,36464023000.0
2025-12-17,955.219,35418264000.0
2025-12-18,953.692,30799295000.0
2025-12-19,965.176,31734989000.0
