# 886023.TI 数据确权
time,close,amount
2025-06-13,1472.51,29976929000.0
2025-06-16,1520.216,35905865000.0
2025-06-17,1518.051,39102792000.0
2025-06-18,1510.848,33144290000.0
2025-06-19,1487.312,31367321000.0
2025-06-20,1459.783,28746731000.0
2025-06-23,1516.508,35747088000.0
2025-06-24,1549.009,42160383000.0
2025-06-25,1574.234,48097760000.0
2025-06-26,1590.413,48980831000.0
2025-06-27,1587.329,43883077000.0
2025-06-30,1608.536,39768075000.0
2025-07-01,1594.11,37204877000.0
2025-07-02,1569.148,27250823000.0
2025-07-03,1574.647,25495879000.0
2025-07-04,1583.8,37155817000.0
2025-07-07,1597.82,33970331000.0
2025-07-08,1622.109,32833950000.0
2025-07-09,1629.498,35493344000.0
2025-07-10,1628.581,40657602000.0
2025-07-11,1665.232,45426463000.0
2025-07-14,1647.539,35402375000.0
2025-07-15,1648.829,35193349000.0
2025-07-16,1648.7,31152506000.0
2025-07-17,1657.548,36184844000.0
2025-07-18,1655.024,37150313000.0
2025-07-21,1652.652,30299256000.0
2025-07-22,1638.608,28564046000.0
2025-07-23,1635.405,26981881000.0
2025-07-24,1651.936,24877929000.0
2025-07-25,1669.803,31780903000.0
2025-07-28,1672.402,29715889000.0
2025-07-29,1678.871,31240201000.0
2025-07-30,1650.662,30068603000.0
2025-07-31,1650.385,30128985000.0
2025-08-01,1669.092,30542801000.0
2025-08-04,1678.146,23162318000.0
2025-08-05,1683.343,23090972000.0
2025-08-06,1699.865,28147877000.0
2025-08-07,1701.987,30121622000.0
2025-08-08,1675.151,31368927000.0
2025-08-11,1708.678,30132981000.0
2025-08-12,1712.497,34657562000.0
2025-08-13,1713.051,38319163000.0
2025-08-14,1705.969,46424419000.0
2025-08-15,1737.492,46953774000.0
2025-08-18,1780.859,61461780000.0
2025-08-19,1786.521,55049341000.0
2025-08-20,1789.417,43997515000.0
2025-08-21,1805.924,53960145000.0
2025-08-22,1833.108,52800962000.0
2025-08-25,1861.207,69329164000.0
2025-08-26,1877.834,61340979000.0
2025-08-27,1835.938,64043393000.0
2025-08-28,1852.561,57049425000.0
2025-08-29,1819.836,43580891000.0
2025-09-01,1838.508,43460791000.0
2025-09-02,1769.845,43637014000.0
2025-09-03,1722.247,31446576000.0
2025-09-04,1700.297,28205097000.0
2025-09-05,1727.029,22865171000.0
2025-09-08,1746.166,23222679000.0
2025-09-09,1714.612,22846211000.0
2025-09-10,1727.4,23429097000.0
2025-09-11,1761.251,30976872000.0
2025-09-12,1764.828,34322671000.0
2025-09-15,1742.649,23920263000.0
2025-09-16,1755.341,25398701000.0
2025-09-17,1750.498,28884005000.0
2025-09-18,1704.711,35200723000.0
2025-09-19,1682.507,20779576000.0
2025-09-22,1697.378,20268475000.0
2025-09-23,1656.659,24983692000.0
2025-09-24,1692.24,22683272000.0
2025-09-25,1693.318,24600458000.0
2025-09-26,1663.756,21481175000.0
2025-09-29,1674.376,19918016000.0
2025-09-30,1680.878,17921743000.0
2025-10-09,1698.306,23055095000.0
2025-10-10,1676.283,22209867000.0
2025-10-13,1675.962,20599731000.0
2025-10-14,1652.447,22919831000.0
2025-10-15,1677.567,17563516000.0
2025-10-16,1659.678,17542790000.0
2025-10-17,1622.823,22314973000.0
2025-10-20,1643.276,18199153000.0
2025-10-21,1665.929,17784243000.0
2025-10-22,1663.385,18152310000.0
2025-10-23,1676.803,20989393000.0
2025-10-24,1679.711,18573885000.0
2025-10-27,1683.884,20781491000.0
2025-10-28,1684.92,19665159000.0
2025-10-29,1684.22,21217413000.0
2025-10-30,1659.208,21623605000.0
2025-10-31,1696.934,25139730000.0
2025-11-03,1720.574,26371726000.0
2025-11-04,1709.095,21053932000.0
2025-11-05,1700.013,19536957000.0
2025-11-06,1690.979,16454376000.0
2025-11-07,1664.095,15457970000.0
2025-11-10,1679.058,16788631000.0
2025-11-11,1668.563,14619310000.0
2025-11-12,1654.481,13541470000.0
2025-11-13,1664.015,12215016200.0
2025-11-14,1651.689,14777294000.0
2025-11-17,1683.062,17820933000.0
2025-11-18,1687.847,24739273000.0
2025-11-19,1658.212,20745209000.0
2025-11-20,1658.987,19065301000.0
2025-11-21,1621.083,27177014000.0
2025-11-24,1670.225,30992542000.0
2025-11-25,1696.169,33458037000.0
2025-11-26,1677.372,24395365000.0
2025-11-27,1669.645,20038774000.0
2025-11-28,1689.095,20324035000.0
2025-12-01,1688.274,19419233000.0
2025-12-02,1674.702,19407036000.0
2025-12-03,1634.382,19102636000.0
2025-12-04,1614.807,13878238000.0
2025-12-05,1639.729,16544869000.0
2025-12-08,1661.419,22664575000.0
2025-12-09,1654.404,17519514000.0
2025-12-10,1648.015,15655493000.0
2025-12-11,1615.466,16603492000.0
2025-12-12,1613.892,18061220000.0
2025-12-15,1598.896,15050507000.0
2025-12-16,1576.787,19825970000.0
2025-12-17,1581.079,17757398000.0
2025-12-18,1580.437,12929557500.0
2025-12-19,1598.326,15860113000.0
2025-12-22,1605.143,15039509000.0
2025-12-23,1584.221,13694332000.0
2025-12-24,1606.625,14385456000.0
2025-12-25,1627.622,19040277000.0
2025-12-26,1627.03,18866736000.0
2025-12-29,1628.779,22205084000.0
2025-12-30,1635.514,28453498000.0
2025-12-31,1653.92,29351150000.0
2026-01-05,1685.482,31725372000.0
2026-01-06,1708.253,32934722000.0
2026-01-07,1691.047,27650514000.0
2026-01-08,1714.194,27160413000.0
2026-01-09,1764.558,38862431000.0
2026-01-12,1876.745,57715677000.0
2026-01-13,1852.658,68530621000.0
2026-01-14,1919.067,90601744000.0
2026-01-15,1871.806,68989127000.0
2026-01-16,1815.778,39800735000.0
2026-01-19,1795.924,31126828000.0
2026-01-20,1775.871,35918694000.0
2026-01-21,1770.862,28134533000.0
2026-01-22,1789.827,27290400000.0
2026-01-23,1815.263,32930810000.0
2026-01-26,1789.719,35643590000.0
2026-01-27,1782.96,28824489000.0
2026-01-28,1760.942,28251042000.0
2026-01-29,1772.338,40375377000.0
2026-01-30,1750.076,30514711000.0
2026-02-02,1716.112,25934087000.0
2026-02-03,1758.81,29823549000.0
2026-02-04,1738.728,27438633000.0
2026-02-05,1728.274,21430102000.0
2026-02-06,1719.034,22448584000.0
2026-02-09,1771.974,27233900000.0
2026-02-10,1816.582,47467957000.0
2026-02-11,1799.395,46570319000.0
2026-02-12,1791.551,35873712000.0
2026-02-13,1790.367,39895763000.0
2026-02-24,1757.625,33740580000.0
2026-02-25,1765.015,26464520000.0
2026-02-26,1758.283,24703139000.0
2026-02-27,1788.844,29287073000.0
2026-03-02,1714.857,30408838000.0
2026-03-03,1636.814,28520053000.0
2026-03-04,1624.364,17229250000.0
2026-03-05,1659.573,19983729000.0
2026-03-06,1687.485,21885832000.0
2026-03-09,1709.768,31319711000.0
2026-03-10,1736.288,32227213000.0
2026-03-11,1727.453,26392850000.0
2026-03-12,1720.753,27341039000.0
2026-03-13,1674.772,24061871000.0
2026-03-16,1696.026,21497107000.0
2026-03-17,1663.377,20419488000.0
2026-03-18,1710.156,23313388000.0
2026-03-19,1703.984,27713595000.0
2026-03-20,1630.137,29236663000.0
2026-03-23,1537.141,28861220000.0
2026-03-24,1595.16,25066774000.0
2026-03-25,1626.494,23538676000.0
2026-03-26,1586.376,25215834000.0
2026-03-27,1604.982,23760081000.0
2026-03-30,1609.871,23755244000.0
2026-03-31,1579.164,20028950000.0
2026-04-01,1610.696,18835511000.0
2026-04-02,1567.529,19973552000.0
2026-04-03,1533.52,18592182000.0
2026-04-07,1543.403,17522127000.0
2026-04-08,1633.401,29937800000.0
2026-04-09,1595.613,24729439000.0
2026-04-10,1612.847,26799901000.0
2026-04-13,1615.442,20422248000.0
2026-04-14,1630.481,23076789000.0
2026-04-15,1617.65,21141438000.0
2026-04-16,1659.111,26187096000.0
2026-04-17,1654.822,27008787000.0
2026-04-20,1669.567,28442684000.0
2026-04-21,1652.06,23029722000.0
2026-04-22,1667.656,24412142000.0
2026-04-23,1664.139,26971461000.0
2026-04-24,1647.786,25969038000.0
2026-04-27,1658.91,22541051000.0
2026-04-28,1631.056,23380339000.0
2026-04-29,1651.694,22510312000.0
2026-04-30,1644.46,25034794000.0
2026-05-06,1682.264,32748605000.0
2026-05-07,1717.944,33573144000.0
2026-05-08,1729.94,28762038000.0
2026-05-11,1728.547,29087468000.0
2026-05-12,1705.147,26742062000.0
2026-05-13,1730.698,27954806000.0
2026-05-14,1680.093,30527026000.0
2026-05-15,1661.628,25808640000.0
2026-05-18,1678.606,23798717000.0
2026-05-19,1717.438,27067194000.0
2026-05-20,1674.175,26656492000.0
2026-05-21,1607.571,28271847000.0
2026-05-22,1619.666,20626783000.0
2026-05-25,1607.644,20723544000.0
2026-05-26,1576.773,21689207000.0
2026-05-27,1527.731,21001343000.0
2026-05-28,1539.512,19415370000.0
2026-05-29,1502.716,21446723000.0
2026-06-01,1546.49,21627381000.0
2026-06-02,1521.327,21918170000.0
2026-06-03,1504.452,23644634000.0
2026-06-04,1477.285,18916359000.0
2026-06-05,1486.907,19901740000.0
2026-06-08,1460.04,19920172000.0
2026-06-09,1480.957,20402657000.0
2026-06-10,1465.652,22964938000.0
2026-06-11,1417.151,18586172000.0
2026-06-12,1439.418,25260228000.0
2026-06-15,1469.063,23180371000.0
2026-06-16,1478.311,21711457000.0
2026-06-17,1458.811,21607693000.0
2026-06-18,1456.697,22541313000.0
2026-06-22,1488.171,27491188000.0
2026-06-23,1480.136,27817426000.0
2026-06-24,1453.649,24422006000.0
2026-06-25,1422.434,27755085000.0
2026-06-26,1379.54,25617911000.0
2026-06-29,1362.432,24146509000.0
2026-06-30,1384.176,22407491000.0
2026-07-01,1419.35,26765697000.0
2026-07-02,1400.985,21682892000.0
2026-07-03,1402.573,21473680000.0
2026-07-06,1376.727,19327942000.0
2026-07-07,1339.932,17252237000.0
2026-07-08,1353.651,18926491000.0
2026-07-09,1361.772,21237507000.0
2026-07-10,1385.855,26193893000.0
2026-07-13,1321.48,20872552000.0
2026-07-14,1320.788,17484325000.0
2026-07-15,1337.045,17109157000.0
2026-07-16,1350.394,18141175000.0
2026-07-17,1292.991,22866788000.0
2026-07-20,1272.598,20415479000.0
