# 886091.TI 华为手机
time,close,amount
2025-06-13,1035.567,13490982000.0
2025-06-16,1048.091,11656656700.0
2025-06-17,1046.876,14780014000.0
2025-06-18,1058.132,14813469000.0
2025-06-19,1044.339,14467072000.0
2025-06-20,1036.517,12501752500.0
2025-06-23,1055.62,12653747600.0
2025-06-24,1080.668,16112397000.0
2025-06-25,1096.433,19121159000.0
2025-06-26,1094.776,18627238000.0
2025-06-27,1110.627,22640381000.0
2025-06-30,1131.901,22058120000.0
2025-07-01,1138.467,19135745000.0
2025-07-02,1120.421,16264340000.0
2025-07-03,1140.394,23630044000.0
2025-07-04,1127.759,19325233000.0
2025-07-07,1128.038,14802557000.0
2025-07-08,1160.467,19533743000.0
2025-07-09,1157.626,21071760000.0
2025-07-10,1158.304,18963961000.0
2025-07-11,1156.73,21379762000.0
2025-07-14,1157.378,15958663000.0
2025-07-15,1162.59,25181927000.0
2025-07-16,1164.289,20700885000.0
2025-07-17,1190.758,25763770000.0
2025-07-18,1187.371,25164796000.0
2025-07-21,1195.479,19834922000.0
2025-07-22,1185.48,19687686000.0
2025-07-23,1172.594,15991566000.0
2025-07-24,1194.793,19849343000.0
2025-07-25,1204.891,18828355000.0
2025-07-28,1233.782,25510280000.0
2025-07-29,1250.845,24726615000.0
2025-07-30,1234.182,23415937000.0
2025-07-31,1240.656,28645420000.0
2025-08-01,1234.697,19673219000.0
2025-08-04,1265.366,23649710000.0
2025-08-05,1280.857,25877456000.0
2025-08-06,1300.945,25745125000.0
2025-08-07,1310.141,34288161000.0
2025-08-08,1304.348,27136963000.0
2025-08-11,1334.08,31565989000.0
2025-08-12,1334.069,30581677000.0
2025-08-13,1354.704,35656089000.0
2025-08-14,1323.94,32620537000.0
2025-08-15,1365.886,30475874000.0
2025-08-18,1421.709,46638989000.0
2025-08-19,1436.288,42825756000.0
2025-08-20,1452.672,42152115000.0
2025-08-21,1432.816,46303349000.0
2025-08-22,1458.256,44055889000.0
2025-08-25,1489.172,50526634000.0
2025-08-26,1507.38,55652508000.0
2025-08-27,1492.106,57377526000.0
2025-08-28,1535.718,53472797000.0
2025-08-29,1515.424,48950607000.0
2025-09-01,1524.194,44717451000.0
2025-09-02,1463.431,45087035000.0
2025-09-03,1448.972,33040265000.0
2025-09-04,1401.487,46433051000.0
2025-09-05,1456.592,44082650000.0
2025-09-08,1467.017,47977822000.0
2025-09-09,1432.031,35599558000.0
2025-09-10,1440.975,37397723000.0
2025-09-11,1496.564,46650732000.0
2025-09-12,1501.913,60896342000.0
2025-09-15,1491.179,47960039000.0
2025-09-16,1509.429,43914118000.0
2025-09-17,1528.872,46512859000.0
2025-09-18,1520.583,64354084000.0
2025-09-19,1509.121,51722768000.0
2025-09-22,1536.572,39894464000.0
2025-09-23,1500.934,73408560000.0
2025-09-24,1524.962,64782895000.0
2025-09-25,1518.755,54537545000.0
2025-09-26,1468.275,52350061000.0
2025-09-29,1487.237,40738713000.0
2025-09-30,1497.072,39139566000.0
2025-10-09,1511.033,51785768000.0
2025-10-10,1475.122,47611234000.0
2025-10-13,1472.946,41159774000.0
2025-10-14,1432.02,40439127000.0
2025-10-15,1461.682,38137499000.0
2025-10-16,1439.097,36327362000.0
2025-10-17,1390.728,31537672000.0
2025-10-20,1427.466,31536475000.0
2025-10-21,1465.15,44028748000.0
2025-10-22,1458.838,29476279000.0
2025-10-23,1444.335,25169190000.0
2025-10-24,1477.65,39102923000.0
2025-10-27,1504.344,43150340000.0
2025-10-28,1521.099,39019603000.0
2025-10-29,1544.051,45802423000.0
2025-10-30,1516.1,49774812000.0
2025-10-31,1509.945,41293656000.0
2025-11-03,1517.292,36757253000.0
2025-11-04,1492.041,31227096000.0
2025-11-05,1492.164,31940351000.0
2025-11-06,1507.1,30645862000.0
2025-11-07,1489.775,26528155000.0
2025-11-10,1480.669,30553843000.0
2025-11-11,1472.319,26046495000.0
2025-11-12,1460.432,26406327000.0
2025-11-13,1474.956,26697849000.0
2025-11-14,1462.027,25359604000.0
2025-11-17,1468.687,24609876000.0
2025-11-18,1445.474,25191384000.0
2025-11-19,1416.785,20910236000.0
2025-11-20,1414.292,21558681000.0
2025-11-21,1355.908,27482670000.0
2025-11-24,1381.108,20581722000.0
2025-11-25,1413.733,27413182000.0
2025-11-26,1414.471,31039148000.0
2025-11-27,1430.03,29268348000.0
2025-11-28,1447.716,25784775000.0
2025-12-01,1478.618,35413460000.0
2025-12-02,1466.704,34380058000.0
2025-12-03,1455.766,29058294000.0
2025-12-04,1443.113,26624604000.0
2025-12-05,1475.744,28853631000.0
2025-12-08,1518.506,36857503000.0
2025-12-09,1521.004,43381594000.0
2025-12-10,1514.126,36420111000.0
2025-12-11,1480.815,31647695000.0
2025-12-12,1490.321,36632186000.0
2025-12-15,1466.188,31550474000.0
2025-12-16,1438.38,28254518000.0
2025-12-17,1473.145,29484028000.0
2025-12-18,1453.967,22913613000.0
2025-12-19,1464.006,22330740000.0
2025-12-22,1493.804,27748132000.0
2025-12-23,1497.289,27488237000.0
2025-12-24,1528.613,30904717000.0
2025-12-25,1539.809,27970732000.0
2025-12-26,1529.699,29454003000.0
2025-12-29,1526.903,32766239000.0
2025-12-30,1523.294,28960420000.0
2025-12-31,1515.983,27299693000.0
2026-01-05,1546.968,35610572000.0
2026-01-06,1562.073,36352153000.0
2026-01-07,1574.404,42057633000.0
2026-01-08,1578.568,42760597000.0
2026-01-09,1601.825,40548909000.0
2026-01-12,1632.134,48943669000.0
2026-01-13,1579.46,44506881000.0
2026-01-14,1591.781,47585341000.0
2026-01-15,1599.263,44154344000.0
2026-01-16,1612.377,45155362000.0
2026-01-19,1617.674,37473233000.0
2026-01-20,1578.805,36732173000.0
2026-01-21,1615.495,32593367000.0
2026-01-22,1633.429,36584029000.0
2026-01-23,1665.3,43752308000.0
2026-01-26,1633.172,40663647000.0
2026-01-27,1638.651,33976185000.0
2026-01-28,1633.405,36628877000.0
2026-01-29,1600.187,37796021000.0
2026-01-30,1596.528,31708760000.0
2026-02-02,1555.934,29017819000.0
2026-02-03,1606.393,30661979000.0
2026-02-04,1607.988,32420808000.0
2026-02-05,1577.269,23094511000.0
2026-02-06,1574.302,23796976000.0
2026-02-09,1614.04,26664559000.0
2026-02-10,1618.422,24647071000.0
2026-02-11,1617.831,20289491000.0
2026-02-12,1640.949,30272912000.0
2026-02-13,1628.159,28522752000.0
2026-02-24,1666.182,29112179000.0
2026-02-25,1690.928,36242525000.0
2026-02-26,1713.84,40753719000.0
2026-02-27,1709.525,38116600000.0
2026-03-02,1691.397,39525047000.0
2026-03-03,1604.734,39010768000.0
2026-03-04,1589.354,26805780000.0
2026-03-05,1621.822,28955020000.0
2026-03-06,1614.101,24830591000.0
2026-03-09,1582.176,28686296000.0
2026-03-10,1637.689,35115467000.0
2026-03-11,1649.387,36635058000.0
2026-03-12,1639.445,32304547000.0
