date,open,high,low,close,volume
2026-07-09,44.73,48.2,43.8,46.28,7384001.0
2026-07-10,45.8,48.9,44.69,46.76,8422093.0
2026-07-13,46.8,48.5,46.04,46.94,8368154.0
2026-07-14,47.63,56.33,45.45,56.33,8584526.0
2026-07-15,62.66,67.6,62.0,67.6,15796405.0
2026-07-16,66.0,69.58,62.3,64.0,29150339.0
2026-07-17,62.1,66.0,58.33,61.42,24379125.0
2026-07-20,58.01,64.76,58.01,62.88,18395038.0
2026-07-21,60.76,61.8,56.78,61.78,20804670.0
2026-07-22,60.1,65.9,60.1,60.86,18270835.0
2026-07-23,60.46,61.1,58.11,58.34,15027800.0
2026-07-24,57.02,58.88,55.47,55.6,13497445.0
2026-07-27,54.5,57.3,53.95,56.61,10330203.0
2026-07-28,55.98,56.5,53.23,53.6,10187753.0
2026-07-29,53.05,54.98,52.4,53.33,9270888.0
2026-07-30,52.7,53.46,50.63,51.16,8216683.0
2026-07-31,52.0,52.68,50.78,51.05,7842355.0
2026-08-03,51.07,51.5,48.3,49.43,9660103.0
2026-08-04,50.4,51.9,49.78,50.26,9040465.0
2026-08-05,49.98,54.33,49.98,53.03,12921908.0
2026-08-06,53.81,54.3,51.6,52.44,8266352.0
2026-08-07,52.5,56.0,52.2,56.0,11997581.0
2026-08-10,56.99,58.58,54.72,55.85,12523217.0
2026-08-11,54.79,61.49,54.79,58.08,14458362.0
2026-08-12,57.51,61.2,57.11,58.79,11268935.0
2026-08-13,57.52,63.66,57.52,61.19,13535806.0
2026-08-14,60.99,62.49,59.2,60.91,9258784.0
2026-08-17,60.01,62.45,59.58,61.33,7425687.0
2026-08-18,61.38,62.65,59.93,61.24,7164980.0
2026-08-19,60.1,61.77,58.59,59.0,6815515.0
