date,open,high,low,close,volume
2026-01-05,14.84,15.01,14.78,14.86,3521826.0
2026-01-06,14.86,15.49,14.66,15.41,4737699.0
2026-01-07,15.4,15.96,15.36,15.51,7770364.0
2026-01-08,15.51,16.1,15.49,15.78,4865921.0
2026-01-09,15.78,15.85,15.62,15.71,3877556.0
2026-01-12,15.7,15.81,15.45,15.71,4569150.0
2026-01-13,15.66,15.75,15.37,15.43,3278934.0
2026-01-14,15.45,15.53,15.14,15.26,3865142.0
2026-01-15,15.3,15.65,15.19,15.57,2916719.0
2026-01-16,15.55,15.7,15.4,15.61,2281062.0
2026-01-19,15.5,15.9,15.4,15.86,3934896.0
2026-01-20,15.88,16.19,15.78,16.14,5191349.0
2026-01-21,16.14,16.14,15.9,15.94,2842399.0
2026-01-22,15.96,16.65,15.88,16.28,5391401.0
2026-01-23,16.28,16.31,16.13,16.19,2334246.0
2026-01-26,16.19,16.23,15.91,16.11,2646196.0
2026-01-27,16.13,16.18,15.5,15.98,3032607.0
2026-01-28,15.98,16.04,15.79,15.98,2259156.0
2026-01-29,15.98,16.16,15.77,15.94,2848996.0
2026-01-30,15.87,16.48,15.84,16.17,3660463.0
2026-02-02,16.2,16.33,15.68,15.68,4091287.0
2026-02-03,15.7,16.14,15.68,16.05,2497209.0
2026-02-04,16.0,16.18,15.98,16.11,1585526.0
2026-02-05,16.1,16.3,16.01,16.14,3004652.0
2026-02-06,16.12,16.34,16.0,16.25,1867198.0
2026-02-09,16.39,16.4,16.14,16.17,2100097.0
2026-02-10,16.17,16.36,16.06,16.19,2427720.0
2026-02-11,16.13,16.41,16.02,16.2,2347493.0
2026-02-12,16.16,16.29,16.01,16.14,2356611.0
2026-02-13,16.19,16.19,15.86,15.88,2112200.0
2026-02-24,15.95,16.23,15.93,16.2,2373992.0
2026-02-25,16.2,16.48,16.12,16.31,2627751.0
2026-02-26,16.39,17.38,16.33,17.17,9808898.0
2026-02-27,16.9,17.15,16.6,16.79,5757735.0
2026-03-02,16.54,16.62,16.08,16.35,4899467.0
2026-03-03,16.27,16.45,15.7,15.74,4562504.0
2026-03-04,15.68,15.85,15.2,15.24,3977537.0
2026-03-05,15.4,15.54,15.15,15.27,2779465.0
2026-03-06,15.24,16.57,15.23,16.37,7870762.0
2026-03-09,16.28,16.65,16.1,16.35,5001678.0
2026-03-10,16.3,16.46,16.07,16.18,2974802.0
2026-03-11,16.1,16.26,16.04,16.22,1910318.0
2026-03-12,16.26,16.59,16.1,16.27,3567705.0
2026-03-13,16.22,16.45,16.0,16.03,2608288.0
2026-03-16,15.98,16.25,15.89,15.96,1830444.0
2026-03-17,15.93,16.07,15.58,15.59,2341482.0
2026-03-18,15.59,15.69,15.36,15.63,1840810.0
2026-03-19,15.57,15.58,15.17,15.21,2008670.0
2026-03-20,15.21,15.28,14.92,15.08,3138590.0
2026-03-23,14.83,14.99,13.9,14.0,5759609.0
2026-03-24,14.23,14.47,14.09,14.45,3106408.0
2026-03-25,14.45,14.65,14.41,14.56,1589928.0
2026-03-26,14.55,14.72,14.37,14.42,1244657.0
2026-03-27,14.34,15.01,14.22,14.76,2507995.0
2026-03-30,14.65,15.07,14.65,14.85,1995812.0
2026-03-31,14.87,15.02,14.79,14.89,1968620.0
2026-04-01,15.05,15.29,14.87,15.25,2812868.0
2026-04-02,15.3,15.46,14.94,15.0,2246040.0
2026-04-03,15.08,15.15,14.77,14.9,1902677.0
2026-04-07,14.85,15.24,14.84,15.21,1809098.0
2026-04-08,15.28,15.62,14.75,14.96,8337597.0
2026-04-09,14.93,15.08,14.74,14.8,3713218.0
2026-04-10,14.79,15.0,14.7,14.77,5311470.0
2026-04-13,14.75,14.75,14.3,14.57,4124128.0
2026-04-14,14.65,15.33,14.62,14.94,7645512.0
2026-04-15,14.95,14.97,14.46,14.67,5571287.0
2026-04-16,14.66,14.78,14.56,14.76,2423380.0
2026-04-17,14.72,14.89,14.56,14.72,3061967.0
2026-04-20,14.72,15.17,14.68,15.02,5209605.0
2026-04-21,15.01,15.4,14.92,15.36,5209918.0
2026-04-22,15.41,16.79,15.28,16.5,15559047.0
2026-04-23,16.48,17.18,16.26,16.99,22597958.0
2026-04-24,16.78,17.18,16.7,16.99,14908779.0
2026-04-27,16.96,17.22,16.84,16.98,13107194.0
2026-04-28,16.9,17.06,16.67,16.79,14493464.0
2026-04-29,16.79,17.18,16.58,17.08,14347192.0
2026-04-30,17.0,17.28,16.77,17.04,15805505.0
2026-05-06,17.1,17.71,16.72,17.71,17848486.0
2026-05-07,17.56,18.27,17.53,18.23,22561136.0
2026-05-08,18.4,18.68,18.2,18.65,21571292.0
2026-05-11,18.65,19.07,18.4,18.95,21173062.0
2026-05-12,19.0,19.17,18.77,19.02,19942515.0
2026-05-13,19.03,19.36,18.3,18.87,26127634.0
2026-05-14,18.96,19.16,18.36,18.73,26568071.0
2026-05-15,18.82,18.86,17.77,18.1,22755685.0
2026-05-18,18.1,18.79,18.04,18.51,20760481.0
2026-05-19,18.69,19.28,18.29,18.5,19507500.0
2026-05-20,18.58,18.76,17.87,17.91,16106048.0
2026-05-21,18.31,19.44,18.04,18.5,24162703.0
2026-05-22,18.84,19.18,17.79,17.93,22910379.0
2026-05-25,17.8,18.33,17.25,18.31,18758618.0
2026-05-26,18.49,18.95,17.7,18.29,18994292.0
2026-05-27,18.2,18.42,17.45,17.98,19077103.0
2026-05-28,17.98,17.98,17.1,17.17,17146929.0
2026-05-29,17.06,18.56,16.95,17.59,24156665.0
2026-06-01,17.49,18.75,17.39,18.0,22802248.0
2026-06-02,17.99,18.57,17.36,17.39,17799002.0
2026-06-03,17.49,17.49,15.65,15.65,19714843.0
2026-06-04,15.3,15.48,14.09,14.12,16817049.0
2026-06-05,14.0,14.19,13.4,13.61,14797122.0
2026-06-08,13.16,13.28,12.55,12.81,12662777.0
2026-06-09,12.91,13.18,12.44,12.49,8717564.0
2026-06-10,12.44,12.48,12.18,12.37,6410879.0
2026-06-11,12.27,12.44,11.95,12.05,7089487.0
2026-06-12,12.1,12.27,11.9,12.18,7756901.0
2026-06-15,12.17,12.61,12.17,12.34,8609315.0
2026-06-16,12.31,12.33,11.91,12.08,6818889.0
2026-06-17,11.8,12.33,11.72,11.83,9781191.0
2026-06-18,11.8,11.82,11.54,11.56,6627850.0
2026-06-22,11.6,11.85,11.27,11.81,7747776.0
2026-06-23,11.83,12.12,11.83,11.95,6627779.0
2026-06-24,12.07,12.07,11.46,11.59,5710330.0
2026-06-25,11.59,11.7,11.28,11.43,5722227.0
2026-06-26,11.45,11.45,11.01,11.05,5794678.0
2026-06-29,11.05,11.16,10.67,11.04,6796383.0
2026-06-30,10.95,11.1,10.72,10.81,5018586.0
2026-07-01,10.8,11.06,10.67,10.96,6100361.0
2026-07-02,10.9,11.25,10.89,11.09,5855213.0
2026-07-03,11.1,11.27,10.99,11.15,5531515.0
2026-07-06,11.35,11.37,11.06,11.13,4625706.0
2026-07-07,11.01,11.12,10.67,10.69,5502500.0
2026-07-08,10.74,10.77,10.48,10.55,3873472.0
2026-07-09,10.49,10.57,10.2,10.35,5676668.0
