date,open,high,low,close,volume
2026-07-01,12.11,12.12,11.61,11.99,20656255.0
2026-07-02,11.89,12.56,11.88,12.14,25188069.0
2026-07-03,12.15,12.43,12.01,12.36,16250560.0
2026-07-06,12.23,12.34,11.82,11.82,16180686.0
2026-07-07,11.76,11.85,11.4,11.49,14765104.0
2026-07-08,11.46,12.06,11.41,11.66,17711280.0
2026-07-09,11.67,11.8,11.4,11.59,14450656.0
2026-07-10,11.63,12.75,11.47,12.75,27519146.0
2026-07-13,12.43,14.03,12.4,14.03,50846487.0
2026-07-14,14.44,14.78,13.6,14.27,67301804.0
2026-07-15,13.67,14.7,13.5,13.75,45635032.0
2026-07-16,13.62,14.07,13.24,13.57,31411932.0
2026-07-17,13.55,13.89,12.32,12.41,38693742.0
2026-07-20,12.46,12.7,11.84,12.03,37825856.0
2026-07-21,11.93,12.45,11.7,12.3,28488357.0
2026-07-22,12.15,12.33,11.88,12.0,22726058.0
2026-07-23,11.95,12.39,11.92,12.3,18236104.0
2026-07-24,12.17,12.26,11.72,11.8,15400539.0
2026-07-27,11.7,12.34,11.56,12.21,18793392.0
2026-07-28,13.2,13.43,12.67,13.43,27263401.0
2026-07-29,13.0,13.17,12.47,12.67,42293385.0
2026-07-30,12.48,13.94,12.48,13.94,38960038.0
2026-07-31,14.0,14.75,13.72,14.63,55088186.0
2026-08-03,14.18,14.55,13.96,14.02,32150359.0
2026-08-04,14.15,14.28,13.99,14.15,20882174.0
2026-08-05,14.1,15.57,14.05,15.57,39340852.0
2026-08-06,15.5,16.24,15.32,15.59,60681126.0
2026-08-07,15.55,15.95,15.42,15.92,34436758.0
2026-08-10,15.7,16.59,15.58,16.27,42974641.0
2026-08-11,16.02,17.1,16.01,16.33,43578160.0
