date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,6.42,6.48,6.4,6.46,12682000.0,2.1411,38.26263769
2025-06-04,6.47,6.56,6.47,6.52,15322781.0,2.587,38.61801822
2025-06-05,6.56,7.1,6.56,6.95,79561958.0,13.4327,41.16491206
2025-06-06,6.89,6.92,6.77,6.8,38679679.0,6.5304,40.27646072
2025-06-09,6.82,6.84,6.74,6.8,25542743.0,4.3125,40.27646072
2025-06-10,6.8,6.95,6.68,6.77,36520004.0,6.1658,40.09877046
2025-06-11,6.75,6.81,6.73,6.77,21832500.0,3.686,40.09877046
2025-06-12,6.75,6.75,6.66,6.7,18341342.0,3.0966,39.68415983
2025-06-13,6.68,6.77,6.6,6.62,19719700.0,3.3293,39.21031912
2025-06-16,6.56,6.71,6.53,6.7,13612500.0,2.2982,39.68415983
2025-06-17,6.69,6.72,6.62,6.7,14885535.0,2.5132,39.68415983
2025-06-18,6.67,6.81,6.64,6.77,19347664.0,3.2665,40.09877046
2025-06-19,6.75,6.75,6.56,6.57,19036857.0,3.2141,38.91416867
2025-06-20,6.57,6.7,6.57,6.61,13193082.999999998,2.2274,39.15108903
2025-06-23,6.53,6.69,6.47,6.69,16947498.0,2.8613,39.62492974
2025-06-24,6.7,6.84,6.69,6.82,25184922.0,4.252,40.3949209
2025-06-25,6.83,6.9,6.76,6.87,29097103.000000004,4.9126,40.69107135
2025-06-26,6.87,7.02,6.83,6.85,29221667.0,4.9336,40.57261117
2025-06-27,6.83,6.92,6.82,6.87,19894797.0,3.3589,40.69107135
2025-06-30,6.9,6.94,6.87,6.91,18646835.0,3.1482,40.92799171
2025-07-01,6.9,6.98,6.81,6.89,20510468.0,3.4628,40.80953153
2025-07-02,7.0,7.45,6.99,7.38,93141576.0,15.7254,43.7118059
2025-07-03,7.31,7.53,7.16,7.39,65198622.0,11.0077,43.77103599
2025-07-04,7.3,7.39,7.17,7.2,39050754.0,6.5931,42.6456643
2025-07-07,7.15,7.89,7.15,7.7,73459564.0,12.4024,45.60716876
2025-07-08,7.65,7.7,7.47,7.58,56948821.0,9.6148,44.89640769
2025-07-09,7.51,7.65,7.35,7.4,49631024.0,8.3794,43.83026608
2025-07-10,7.46,7.55,7.32,7.35,31426191.0,5.3058,43.53411564
2025-07-11,7.31,7.38,7.23,7.34,26876484.000000004,4.5376,43.47488555
2025-07-14,7.33,7.51,7.28,7.41,28574699.0,4.8244,43.88949617
2025-07-15,7.6,7.85,7.31,7.37,54157987.0,9.1437,43.65257581
2025-07-16,7.31,7.36,7.2,7.25,30657280.0,5.176,42.94181474
2025-07-17,7.25,7.29,7.2,7.26,19620184.0,3.3125,43.00104483
2025-07-18,7.27,7.29,7.19,7.25,19149620.0,3.2331,42.94181474
2025-07-21,7.61,7.76,7.43,7.46,56110624.0,9.4733,44.18564662
2025-07-22,7.48,7.59,7.35,7.59,45703425.0,7.7163,44.95563778
2025-07-23,7.56,7.59,7.41,7.41,30569560.0,5.1612,43.88949617
2025-07-24,7.41,7.48,7.38,7.44,20421500.0,3.4478,44.06718644
2025-07-25,7.43,7.46,7.36,7.38,18875000.0,3.1867,43.7118059
2025-07-28,7.38,7.43,7.34,7.43,15322212.0,2.5869,44.00795635
2025-07-29,7.42,7.43,7.23,7.41,22514278.0,3.8012,43.88949617
2025-07-30,7.4,7.49,7.31,7.4,23633499.0,3.9901,43.83026608
2025-07-31,7.35,7.44,7.25,7.26,21512727.0,3.6321,43.00104483
2025-08-01,7.25,7.32,7.23,7.28,12905281.0,2.1788,43.11950501
2025-08-04,7.26,7.49,7.21,7.46,24823320.0,4.191,44.18564662
2025-08-05,7.5,7.54,7.44,7.5,26625200.0,4.4952,44.42256698
2025-08-06,7.38,7.48,7.32,7.45,29771412.0,5.0264,44.12641653
2025-08-07,7.45,7.47,7.31,7.33,21328435.0,3.6009,43.41565546
2025-08-08,7.32,7.4,7.3,7.31,16695570.000000002,2.8188,43.29719528
2025-08-11,7.3,7.63,7.29,7.57,43510571.0,7.346,44.8371776
