date,open,high,low,close,volume
2026-06-01,5.7,5.9,5.42,5.5,18335314.0
2026-06-02,5.3,5.51,5.25,5.39,10979264.0
2026-06-03,5.3,5.66,5.27,5.66,9153871.0
2026-06-04,5.67,5.87,5.38,5.4,9037948.0
2026-06-05,5.35,5.55,5.3,5.41,6584955.0
2026-06-08,5.3,5.42,5.22,5.26,4490630.0
2026-06-09,5.46,5.52,5.25,5.52,6620189.0
2026-06-10,5.48,5.73,5.46,5.51,7216664.0
2026-06-11,5.41,5.49,5.3,5.36,4527741.0
2026-06-12,5.42,5.5,5.35,5.35,3498636.0
2026-06-15,5.32,5.38,5.18,5.24,5790899.0
2026-06-16,5.24,5.28,4.98,5.05,7850293.0
2026-06-17,5.05,5.05,4.8,4.8,7231682.0
2026-06-18,4.85,5.04,4.58,5.04,7892761.0
2026-06-22,5.15,5.29,5.07,5.29,4339496.0
2026-06-23,5.21,5.55,5.2,5.43,6886657.0
2026-06-24,5.43,5.59,5.4,5.44,4715474.0
2026-06-25,5.37,5.55,5.17,5.18,6872836.0
2026-06-26,5.16,5.29,4.92,4.92,7429300.0
2026-06-29,4.78,5.17,4.67,5.17,9638606.0
2026-06-30,5.11,5.3,5.0,5.1,5249102.0
2026-07-01,5.02,5.34,4.85,5.22,5691225.0
2026-07-02,5.16,5.38,5.05,5.18,5984400.0
2026-07-03,5.23,5.28,5.07,5.12,3882500.0
2026-07-06,5.06,5.16,4.83,4.93,4687950.0
2026-07-07,4.84,4.93,4.71,4.72,4187300.0
2026-07-08,4.75,4.78,4.58,4.6,3532684.0
2026-07-09,4.55,4.55,4.14,4.33,8878007.0
