date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.4,3.42,3.38,3.4,8303817.0,0.6198,45.55349825
2025-06-04,3.4,3.44,3.4,3.44,6039077.0,0.4507,46.08942176
2025-06-05,3.44,3.45,3.4,3.41,6662280.0,0.4973,45.68747913
2025-06-06,3.42,3.46,3.41,3.44,8031620.0,0.5995,46.08942176
2025-06-09,3.45,3.46,3.42,3.46,7690784.0,0.574,46.357383510000005
2025-06-10,3.46,3.46,3.41,3.45,6485500.0,0.4841,46.22340263
2025-06-11,3.44,3.47,3.43,3.45,7281739.999999999,0.5435,46.22340263
2025-06-12,3.45,3.45,3.42,3.44,6679500.0,0.4985,46.08942176
2025-06-13,3.44,3.47,3.42,3.43,8367762.0,0.6245,45.95544088
2025-06-16,3.45,3.51,3.44,3.49,15505056.0,1.1573,46.75932614
2025-06-17,3.49,3.58,3.46,3.56,20345776.0,1.5186,47.69719228
2025-06-18,3.56,3.58,3.49,3.51,14775640.0,1.1028,47.027287900000005
2025-06-19,3.51,3.6,3.44,3.56,28788490.000000004,2.1487,47.69719228
2025-06-20,3.52,3.55,3.48,3.53,16816584.0,1.2551,47.29524965
2025-06-23,3.5,3.6,3.5,3.59,17497311.0,1.306,48.09913491
2025-06-24,3.56,3.57,3.52,3.54,17890664.0,1.3353,47.42923053
2025-06-25,3.55,3.56,3.51,3.53,12125447.0,0.905,47.29524965
2025-06-26,3.53,3.53,3.49,3.5,11257002.0,0.8402,46.89330702
2025-06-27,3.51,3.54,3.49,3.51,9090065.0,0.6785,47.027287900000005
2025-06-30,3.5,3.52,3.48,3.51,9481768.0,0.7077,47.027287900000005
2025-07-01,3.5,3.52,3.49,3.5,9551060.0,0.7129,46.89330702
2025-07-02,3.5,3.53,3.49,3.52,7971060.000000001,0.5949,47.16126877
2025-07-03,3.54,3.55,3.51,3.52,8280300.0,0.618,47.16126877
2025-07-04,3.53,3.55,3.51,3.53,8459284.0,0.6314,47.29524965
2025-07-07,3.54,3.64,3.52,3.64,22531924.0,1.6817,48.769039299999996
2025-07-08,3.64,3.65,3.6,3.64,16340471.0,1.2196,48.769039299999996
2025-07-09,3.64,3.67,3.63,3.65,9947711.0,0.7425,48.90302018
2025-07-10,3.64,3.68,3.63,3.68,11839443.0,0.8837,49.30496281
