date,open,high,low,close,volume
2026-03-20,21.68,21.68,20.62,20.88,1070041.0
2026-03-23,20.68,20.68,19.85,19.92,916500.0
2026-03-24,20.15,20.38,20.1,20.3,490800.0
2026-03-25,20.3,20.74,20.15,20.38,533400.0
2026-03-26,20.28,20.65,20.2,20.45,180800.0
2026-03-27,20.42,20.67,20.27,20.67,178841.0
2026-03-30,20.85,21.32,20.61,20.93,472000.0
2026-03-31,20.56,20.9,20.3,20.87,647500.0
2026-04-01,20.86,21.69,20.78,21.38,553300.0
2026-04-02,21.2,21.38,20.85,20.98,375500.0
2026-04-03,20.98,20.99,20.5,20.65,249000.0
2026-04-07,20.45,20.69,20.33,20.45,286700.0
2026-04-08,20.65,20.79,20.58,20.67,334900.0
2026-04-09,20.55,20.63,20.34,20.52,438000.0
2026-04-10,20.53,20.61,20.42,20.49,404000.0
2026-04-13,20.4,21.25,20.3,20.75,598600.0
2026-04-14,20.77,20.8,20.42,20.71,327000.0
2026-04-15,20.76,20.76,20.4,20.42,529217.0
2026-04-16,20.49,20.69,20.45,20.69,445500.0
2026-04-17,20.69,20.73,20.2,20.32,734701.0
2026-04-20,20.32,20.59,20.02,20.5,445500.0
2026-04-21,20.4,20.5,20.08,20.25,507800.0
2026-04-22,20.18,20.33,20.05,20.24,562800.0
2026-04-23,20.3,21.25,20.18,21.25,1946900.0
2026-04-27,21.19,21.87,20.28,21.58,2198668.0
2026-04-28,22.66,22.66,22.66,22.66,102800.0
2026-04-29,23.79,23.79,21.99,22.05,4182601.0
2026-04-30,21.49,22.68,21.0,22.02,2626664.0
2026-05-06,21.91,22.62,21.9,22.0,958664.0
2026-05-07,21.9,23.1,21.88,23.1,2073464.0
2026-05-08,23.11,23.89,22.83,23.29,2057001.0
2026-05-11,23.23,23.23,22.43,22.55,1430208.0
2026-05-12,22.55,22.55,21.75,21.92,1458009.0
2026-05-13,21.95,22.48,21.9,22.28,821500.0
2026-05-14,22.3,22.3,21.5,21.58,1305600.0
2026-05-15,21.69,21.8,21.18,21.8,524500.0
2026-05-18,21.68,21.83,21.2,21.41,769800.0
2026-05-19,21.42,21.85,21.42,21.6,507817.0
2026-05-20,21.55,21.6,21.09,21.14,510800.0
2026-05-21,21.03,21.22,20.39,20.5,598501.0
2026-05-22,20.5,20.7,19.91,20.2,1215300.0
2026-05-25,20.26,20.37,19.83,20.11,1154579.0
2026-05-26,21.12,21.12,21.12,21.12,75600.0
2026-05-27,22.18,22.18,22.18,22.18,42100.0
2026-05-28,23.29,23.29,23.29,23.29,117500.0
2026-05-29,24.45,24.45,24.45,24.45,1244661.0
2026-06-01,25.67,25.67,25.67,25.67,1896101.0
2026-06-02,26.95,26.95,26.8,26.95,3869811.0
2026-06-03,28.3,28.3,28.3,28.3,529696.0
2026-06-04,29.19,29.72,27.23,27.8,11362839.0
2026-06-05,28.06,28.28,26.41,26.41,4887524.0
2026-06-08,25.09,26.9,25.09,25.86,6712949.0
2026-06-09,25.72,25.93,24.57,24.57,4719219.0
2026-06-10,24.13,24.5,23.34,23.54,3389553.0
2026-06-11,24.01,24.72,23.2,23.59,2503030.0
2026-06-12,23.59,24.08,22.77,23.59,1914011.0
2026-06-15,23.55,23.65,22.5,23.28,2344100.0
2026-06-16,22.93,23.8,22.21,23.02,2197500.0
2026-06-17,22.85,23.18,21.88,22.1,2076600.0
2026-06-18,22.03,22.58,21.68,22.09,1891000.0
2026-06-22,22.19,22.51,21.48,22.1,1682600.0
2026-06-23,22.1,22.88,21.61,21.85,1759100.0
2026-06-24,21.3,21.69,21.02,21.44,1432500.0
2026-06-25,21.2,21.33,20.6,20.91,1029080.0
2026-06-26,20.82,21.53,20.62,20.96,1069900.0
2026-06-29,21.08,22.01,20.34,21.91,2468600.0
2026-06-30,21.71,22.48,21.61,22.35,2027800.0
2026-07-01,22.68,23.44,22.58,23.05,1903600.0
2026-07-02,22.61,23.36,22.6,22.95,1375403.0
2026-07-03,22.95,24.1,22.77,24.1,1591152.0
2026-07-06,24.4,24.4,22.37,22.6,1980153.0
2026-07-07,22.33,23.22,22.0,22.36,1331001.0
2026-07-08,22.19,23.2,22.02,22.72,1291400.0
2026-07-09,22.84,23.16,22.16,22.51,1089400.0
