date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,11.17,11.83,10.75,11.8,20610191.0,24.4889,9.9310308
2025-06-04,11.65,11.68,11.32,11.58,15549550.0,18.4759,9.74587599
2025-06-05,11.5,11.55,11.05,11.15,14284957.999999998,16.9733,9.3839825
2025-06-06,11.07,11.26,10.95,11.11,7573360.000000001,8.9986,9.35031799
2025-06-09,11.09,11.29,11.0,11.24,9256276.0,10.9983,9.45972765
2025-06-10,11.12,11.22,10.57,10.7,12647060.0,15.0272,9.005256750000001
2025-06-11,10.7,10.77,10.64,10.67,6419910.0,7.6281,8.98000836
2025-06-12,10.68,10.89,10.64,10.75,6627730.0,7.875,9.04733739
2025-06-13,10.66,10.72,10.25,10.39,9398430.0,11.1672,8.74435678
2025-06-16,10.35,10.61,10.35,10.58,5684003.0,6.7537,8.90426321
2025-06-17,10.59,10.72,10.41,10.47,4330780.0,5.1458,8.81168581
2025-06-18,10.45,10.45,10.18,10.34,4964337.0,5.8986,8.70227615
2025-06-19,10.36,10.36,10.0,10.02,5017910.0,5.9623,8.432960060000001
2025-06-20,10.09,10.14,9.81,9.93,4770360.0,5.6681,8.35721491
2025-06-23,9.86,10.15,9.83,10.14,4416780.0,5.248,8.53395359
2025-06-24,10.21,10.39,10.12,10.34,5288800.0,6.2841,8.70227615
2025-06-25,10.34,10.48,10.27,10.46,6991900.0,8.3077,8.80326968
2025-06-26,10.4,10.46,10.3,10.41,5128420.0,6.0936,8.76118904
2025-06-27,10.5,10.53,10.33,10.38,4491830.0,5.3372,8.73594066
2025-06-30,10.37,10.51,10.37,10.46,4657560.0,5.5341,8.80326968
2025-07-01,10.45,10.57,10.24,10.33,4925140.0,5.852,8.69386002
2025-07-02,10.33,11.36,10.31,10.88,22875419.0,27.1805,9.15674705
2025-07-03,10.81,11.19,10.78,10.89,17444470.0,20.7274,9.16516317
2025-07-04,10.9,10.98,10.55,10.58,9440162.0,11.2168,8.90426321
2025-07-07,10.56,10.72,10.51,10.69,6201520.0,7.3686,8.99684062
2025-07-08,10.7,10.77,10.58,10.75,5638097.0,6.6992,9.04733739
2025-07-09,10.76,10.79,10.61,10.75,5118744.0,6.0821,9.04733739
2025-07-10,10.71,10.92,10.51,10.89,7318330.0,8.6956,9.16516317
2025-07-11,10.78,11.03,10.68,10.82,5874200.0,6.9797,9.10625028
2025-07-14,10.81,10.94,10.68,10.84,4912000.0,5.8364,9.12308254
2025-07-15,10.84,11.33,10.54,11.06,14568070.000000002,17.3097,9.30823735
2025-07-16,10.94,11.15,10.8,10.85,10049420.0,11.9407,9.13149866
2025-07-17,10.8,10.89,10.67,10.7,6234240.0,7.4075,9.005256750000001
2025-07-18,10.84,11.55,10.82,11.02,12834349.0,15.2497,9.27457284
2025-07-21,11.03,11.18,10.98,11.05,9508809.0,11.2983,9.29982122
2025-07-22,11.0,11.05,10.81,10.96,7252170.0,8.617,9.22407607
2025-07-23,10.91,10.95,10.8,10.8,5753070.0,6.8358,9.08941802
2025-07-24,10.84,10.88,10.71,10.86,5261946.0,6.2522,9.13991479
2025-07-25,10.87,10.9,10.74,10.77,3965900.0,4.7123,9.06416964
2025-07-28,10.77,11.05,10.75,10.93,6138520.0,7.2938,9.19882769
2025-07-29,11.14,11.49,11.05,11.19,14367184.0,17.071,9.41764701
2025-07-30,11.0,11.29,10.95,11.13,12084260.0,14.3585,9.36715024
2025-07-31,11.1,11.19,10.81,10.82,8694730.0,10.331,9.10625028
2025-08-01,11.09,11.55,11.09,11.34,15946435.0,18.9475,9.54388893
