date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.97,8.05,7.96,7.99,5549700.0,1.2147,36.504942109999995
2025-06-04,8.05,8.23,8.0,8.09,10800652.0,2.364,36.96182499
2025-06-05,8.16,8.17,7.96,8.04,8758100.0,1.9169,36.73338355
2025-06-06,8.05,8.05,7.96,7.97,5944952.0,1.3012,36.41356554
2025-06-09,7.99,8.09,7.92,8.04,6703244.0,1.4672,36.73338355
2025-06-10,8.06,8.06,7.86,7.93,6712722.0,1.4692,36.23081238
2025-06-11,7.93,7.97,7.89,7.91,5485600.0,1.2007,36.13943581
2025-06-12,7.9,7.9,7.71,7.75,11429081.0,2.5015,35.4084232
2025-06-13,7.75,7.75,7.48,7.52,9663501.0,2.1151,34.35759258
2025-06-16,7.52,7.58,7.46,7.58,5337900.0,1.1683,34.6317223
2025-06-17,7.59,7.67,7.54,7.56,5671000.0,1.2412,34.54034573
2025-06-18,7.55,7.55,7.37,7.45,6673700.0,1.4607,34.03777456
2025-06-19,7.43,7.49,7.27,7.28,6702914.999999999,1.4671,33.26107366
2025-06-20,7.28,7.35,7.21,7.22,4886501.0,1.0695,32.986943939999996
2025-06-23,7.17,7.51,7.15,7.42,9633802.0,2.1086,33.9007097
2025-06-24,7.41,7.58,7.41,7.58,8678402.0,1.8995,34.6317223
2025-06-25,7.59,7.74,7.53,7.67,8304700.999999999,1.8177,35.0429169
2025-06-26,7.71,7.75,7.61,7.63,7999700.0,1.7509,34.86016374
2025-06-27,7.7,7.7,7.56,7.58,5123057.0,1.1213,34.6317223
2025-06-30,7.6,7.62,7.54,7.58,6121580.0,1.3399,34.6317223
2025-07-01,7.6,7.6,7.41,7.44,9934103.0,2.1743,33.99208627
2025-07-02,7.44,7.45,7.26,7.35,7968528.999999999,1.7441,33.58089168
2025-07-03,7.37,7.4,7.33,7.35,5517830.0,1.2077,33.58089168
2025-07-04,7.37,7.37,7.23,7.25,6374500.0,1.3952,33.1240088
2025-07-07,7.22,7.3,7.19,7.28,3938601.0,0.8621,33.26107366
2025-07-08,7.28,7.43,7.27,7.41,6723750.999999999,1.4717,33.85502141
2025-07-09,7.42,7.49,7.34,7.36,6128404.0,1.3414,33.626579969999995
2025-07-10,7.37,7.5,7.35,7.48,7670100.999999999,1.6788,34.17483942
2025-07-11,7.48,7.52,7.38,7.51,7009830.0,1.5343,34.31190429
2025-07-14,7.53,7.57,7.47,7.51,6752700.0,1.478,34.31190429
2025-07-15,7.43,7.44,7.24,7.32,10305399.0,2.2556,33.44382682
2025-07-16,7.33,7.48,7.3,7.47,8267310.000000001,1.8095,34.129151140000005
