date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,17.71,18.28,17.65,18.14,1568700.0,0.9654,29.47553489
2025-06-04,18.2,18.29,18.13,18.24,1192600.0,0.734,29.638024060000003
2025-06-05,18.2,18.4,18.09,18.24,1417600.0,0.8724,29.638024060000003
2025-06-06,18.25,18.56,18.19,18.48,1369600.0,0.8429,30.02799806
2025-06-09,18.55,18.64,18.4,18.58,1096700.0,0.6749,30.19048723
2025-06-10,18.68,18.93,18.46,18.65,1841900.0,1.1336,30.30422965
2025-06-11,18.72,19.08,18.65,19.02,1676400.0,1.0317,30.905439559999998
2025-06-12,19.0,19.02,18.65,18.84,1135000.0,0.6985,30.612959059999998
2025-06-13,18.8,18.84,18.48,18.55,943800.0,0.5808,30.141740480000003
2025-06-16,18.55,18.79,18.41,18.41,976600.0,0.601,29.91425564
2025-06-17,18.43,18.7,18.2,18.33,761100.0,0.4684,29.784264309999998
2025-06-18,18.31,18.42,18.01,18.15,831900.0,0.512,29.491783809999998
2025-06-19,18.09,18.16,17.8,17.83,885354.0000000001,0.5449,28.97181848
2025-06-20,17.95,19.61,17.78,19.61,4087654.0,2.5156,31.864125650000002
2025-06-23,21.57,21.57,21.57,21.57,1944925.0,1.197,35.04891332
2025-06-24,23.73,23.73,23.3,23.73,14628173.000000002,9.0026,38.558679330000004
2025-06-25,23.79,25.98,23.2,24.27,24145487.0,14.8598,39.43612083
2025-06-26,22.88,26.7,21.84,26.7,26078648.0,16.0495,43.38460759
2025-06-27,25.03,26.7,24.03,24.03,22032472.0,13.5593,39.04614683
2025-06-30,23.55,24.45,23.2,23.85,18312025.0,11.2697,38.75366633
2025-07-01,23.35,24.57,23.35,23.57,12396660.0,7.6292,38.29869666
2025-07-02,23.3,23.61,21.85,21.89,12248662.0,7.5381,35.568878659999996
2025-07-03,22.05,22.05,21.34,21.71,6919881.0,4.2587,35.27639816
2025-07-04,21.6,22.0,21.39,21.52,5408691.0,3.3286,34.96766874
2025-07-07,22.0,22.49,22.0,22.37,8240119.0,5.0712,36.34882666
2025-07-08,22.47,22.59,22.23,22.54,6611500.0,4.0689,36.62505824
2025-07-09,22.5,22.5,21.9,21.95,5081800.0,3.1275,35.66637216
2025-07-10,22.02,22.1,21.71,21.76,3346400.0,2.0595,35.357642739999996
2025-07-11,21.67,21.95,21.38,21.49,4761727.0,2.9305,34.91892199
2025-07-14,22.38,22.98,22.19,22.24,7220033.0,4.4434,36.13759074
2025-07-15,21.99,22.11,21.56,21.85,3971332.0,2.4441,35.50388299
2025-07-16,22.09,22.09,21.59,21.86,2541200.0,1.5639,35.52013191
2025-07-17,21.82,21.82,21.6,21.71,2756472.0,1.6964,35.27639816
2025-07-18,21.66,21.98,21.63,21.8,2768800.0,1.704,35.422638410000005
2025-07-21,22.1,22.59,22.1,22.24,5341579.0,3.2873,36.13759074
2025-07-22,22.4,22.4,21.84,22.0,3225306.0,1.9849,35.74761674
2025-07-23,21.91,22.04,21.76,21.82,2640500.0,1.625,35.45513624
2025-07-24,21.77,21.97,21.77,21.97,2015599.0000000002,1.2405,35.69886999
2025-07-25,21.97,22.5,21.94,22.3,4896900.0,3.0137,36.23508424
2025-07-28,22.54,22.88,22.26,22.5,6861406.0,4.2227,36.56006258
2025-07-29,22.43,22.5,22.1,22.23,3653000.0,2.2481,36.121341820000005
2025-07-30,22.23,23.16,21.74,22.88,6905500.0,4.2498,37.17752141
2025-07-31,22.78,22.78,21.91,22.05,4668200.0,2.8729,35.82886132
2025-08-01,22.01,22.37,21.81,22.07,2753300.0,1.6945,35.86135916
2025-08-04,21.75,21.82,21.17,21.21,4191106.0,2.5793,34.46395232
2025-08-05,21.27,21.42,21.21,21.34,2487300.0,1.5307,34.67518824
2025-08-06,21.43,21.43,21.22,21.37,1903732.0,1.1716,34.72393499
2025-08-07,21.33,21.46,21.25,21.31,1978900.0,1.2179,34.62644149
2025-08-08,21.3,21.3,20.91,21.25,2665300.0,1.6403,34.52894799
2025-08-11,21.3,21.45,21.16,21.42,2138800.0,1.3163,34.80517957
2025-08-12,21.43,21.48,21.23,21.32,1993100.0,1.2266,34.6426904
2025-08-13,21.3,21.38,21.23,21.3,1837600.0,1.1309,34.61019257
2025-08-14,21.35,21.35,20.89,20.91,2890700.0,1.779,33.97648482
2025-08-15,20.82,21.25,20.82,21.24,1798900.0,1.1071,34.512699070000004
2025-08-18,21.3,21.32,21.16,21.2,2809306.0,1.7289,34.4477034
2025-08-19,21.18,21.6,21.07,21.58,4046000.0,2.49,35.06516224
2025-08-20,21.63,21.64,21.41,21.51,1970200.0,1.2125,34.95141982
2025-08-21,21.51,22.09,21.45,21.78,4122800.0,2.5373,35.39014057
2025-08-22,21.78,21.88,21.47,21.71,2464500.0,1.5167,35.27639816
2025-08-25,21.72,21.84,21.6,21.78,2383400.0,1.4668,35.39014057
2025-08-26,21.75,22.02,21.62,21.92,2548500.0,1.5684,35.61762541
2025-08-27,21.76,24.11,21.76,24.11,8484780.0,5.2218,39.17613816
2025-08-28,25.3,26.52,25.3,26.52,4256080.0,2.6193,43.09212709
2025-08-29,29.17,29.17,29.17,29.17,4922050.0,3.0292,47.398090010000004
2025-09-01,32.09,32.09,32.09,32.09,2577100.0,1.586,52.14277369
2025-09-02,35.3,35.3,28.88,29.04,28699190.999999996,17.6622,47.186854100000005
2025-09-03,27.5,27.86,26.14,26.14,20163521.0,12.4091,42.47466825
