date,open,high,low,close,volume
2026-01-05,12.64,13.0,12.45,13.0,16148160.0
2026-01-06,13.01,13.05,12.74,12.93,13402000.0
2026-01-07,12.87,12.93,12.7,12.72,11068400.0
2026-01-08,12.7,13.04,12.65,13.01,16192000.0
2026-01-09,13.01,13.09,12.82,13.09,13898330.0
2026-01-12,13.01,13.56,13.01,13.52,19201377.0
2026-01-13,13.55,13.55,12.99,13.11,15912162.0
2026-01-14,13.19,13.42,12.88,13.16,17833830.0
2026-01-15,13.02,13.1,12.7,12.88,13428164.0
2026-01-16,12.94,13.09,12.72,13.0,11770100.0
2026-01-19,12.85,13.04,12.77,12.99,9136900.0
2026-01-20,12.98,12.98,12.46,12.59,13435600.0
2026-01-21,12.54,12.86,12.38,12.77,8819784.0
2026-01-22,12.76,12.84,12.67,12.79,6288857.0
2026-01-23,12.8,13.14,12.75,13.14,12174174.0
2026-01-26,13.37,13.38,12.71,12.89,10912600.0
2026-01-27,12.99,13.29,12.66,13.24,20587600.0
2026-01-28,13.22,13.53,12.89,12.91,15517610.0
2026-01-29,12.75,13.03,12.37,12.43,17755100.0
2026-01-30,12.44,12.67,12.07,12.56,13922607.0
2026-02-02,12.52,12.75,12.3,12.36,9730190.0
2026-02-03,12.44,12.72,12.43,12.65,7268600.0
2026-02-04,12.59,12.77,12.45,12.65,8217700.0
2026-02-05,12.65,12.65,12.28,12.29,7834180.0
2026-02-06,12.22,12.63,12.13,12.45,9387930.0
2026-02-09,12.67,13.07,12.65,13.0,13266448.0
2026-02-10,13.01,13.2,13.0,13.02,9872000.0
2026-02-11,12.99,13.18,12.96,12.98,6763080.0
2026-02-12,13.05,13.18,12.85,13.09,8527512.0
2026-02-13,13.01,13.15,12.96,13.0,6844225.0
2026-02-24,13.05,13.3,13.05,13.19,8058550.0
2026-02-25,13.21,13.24,13.06,13.11,6759400.0
2026-02-26,13.05,13.74,13.02,13.57,18958642.0
2026-02-27,13.41,13.5,13.28,13.48,10953170.0
2026-03-02,13.25,13.4,13.0,13.02,10424409.0
2026-03-03,13.16,14.13,12.98,13.58,38401975.0
2026-03-04,13.46,15.15,13.46,14.34,48502993.0
2026-03-05,14.51,14.64,13.86,13.93,34781102.0
2026-03-06,13.83,14.2,13.76,13.89,22538003.0
2026-03-09,13.64,13.72,13.2,13.54,22342566.0
2026-03-10,13.69,14.08,13.6,14.02,21282450.0
2026-03-11,14.03,14.33,13.92,13.95,22631478.0
2026-03-12,13.88,14.25,13.73,13.8,17381030.0
2026-03-13,13.75,14.12,13.47,13.64,16677000.0
2026-03-16,13.66,13.86,13.42,13.81,15541100.0
2026-03-17,13.75,13.79,12.8,12.82,21494435.0
2026-03-18,12.94,13.25,12.71,13.22,14908980.0
2026-03-19,13.0,13.88,13.0,13.3,20166603.0
2026-03-20,13.53,15.25,13.53,14.03,57448498.0
2026-03-23,13.75,14.13,13.18,13.73,44729741.0
2026-03-24,14.0,14.17,13.66,14.13,33147120.0
2026-03-25,14.25,14.4,14.0,14.24,31100891.0
2026-03-26,14.17,14.39,13.75,13.81,22655632.0
2026-03-27,13.51,13.84,12.91,13.71,24389650.0
2026-03-30,13.37,14.72,13.31,14.29,33117950.0
2026-03-31,14.33,14.38,13.85,14.15,23005650.0
2026-04-01,14.29,14.45,13.79,13.94,20672240.0
2026-04-02,13.81,15.18,13.78,14.69,45731262.0
2026-04-03,14.85,14.94,14.02,14.11,32571026.0
2026-04-07,14.11,14.75,14.0,14.55,30713334.0
2026-04-08,14.78,15.02,14.58,14.99,38911359.0
2026-04-09,14.76,15.86,14.71,15.6,57925749.0
2026-04-10,15.33,15.47,14.88,14.93,44320626.0
2026-04-13,14.68,15.08,14.53,14.95,24223544.0
2026-04-14,15.03,15.06,14.58,14.85,25657384.0
2026-04-15,14.7,14.78,14.28,14.46,24345800.0
2026-04-16,14.45,14.46,14.04,14.42,19832192.0
2026-04-17,14.36,14.65,14.19,14.43,20912349.0
2026-04-20,14.39,14.39,13.8,13.94,25848349.0
2026-04-21,13.87,13.87,13.22,13.44,23035250.0
2026-04-22,13.33,13.58,13.21,13.38,13148600.0
2026-04-23,13.31,13.37,12.45,12.51,23665049.0
2026-04-24,12.82,13.1,12.65,12.65,16762019.0
2026-04-27,12.53,12.85,12.14,12.85,16583240.0
2026-04-28,12.7,12.8,12.5,12.55,11221130.0
2026-04-29,12.59,12.78,12.51,12.65,10207150.0
2026-04-30,12.65,12.76,12.53,12.71,9732100.0
2026-05-06,12.75,12.93,12.75,12.84,10390700.0
2026-05-07,12.9,13.26,12.8,13.23,16443630.0
2026-05-08,13.12,13.18,12.97,13.04,11212450.0
2026-05-11,13.15,13.18,12.82,12.91,11692468.0
2026-05-12,13.0,13.26,12.85,13.21,15981357.0
2026-05-13,13.3,14.18,13.28,14.0,33601608.0
2026-05-14,14.3,16.29,14.2,15.15,76046407.0
2026-05-15,15.77,16.15,15.2,15.6,61148942.0
2026-05-18,15.39,15.99,14.8,15.69,48259640.0
2026-05-19,15.76,15.98,15.15,15.43,35331860.0
2026-05-20,15.31,15.37,14.74,14.92,31383330.0
2026-05-21,14.99,15.22,14.11,14.17,27394160.0
2026-05-22,14.24,15.08,14.06,14.75,23968898.0
2026-05-25,14.8,15.04,14.37,14.64,20033818.0
2026-05-26,14.57,14.63,13.97,14.11,17453800.0
2026-05-27,14.09,14.28,13.59,13.63,16038820.0
2026-05-28,13.55,13.87,13.19,13.64,15756220.0
2026-05-29,13.85,14.99,13.68,14.1,35183460.0
2026-06-01,14.11,14.2,13.17,13.2,27868101.0
2026-06-02,13.2,13.46,12.89,12.94,16886100.0
2026-06-03,13.0,13.6,12.67,12.81,19794200.0
2026-06-04,12.5,13.01,12.47,13.0,16603799.0
2026-06-05,12.85,13.3,12.4,12.83,17822960.0
2026-06-08,12.44,12.74,11.93,12.04,20227900.0
2026-06-09,12.18,12.29,11.93,12.06,13239200.0
2026-06-10,11.98,12.15,11.44,12.09,17800950.0
2026-06-11,11.89,12.14,11.69,11.83,13461930.0
2026-06-12,12.06,12.09,11.52,11.54,13891820.0
