date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,4.98,5.08,4.93,5.03,5993784.0,2.0704,14.56150459
2025-06-04,5.04,5.12,4.97,5.09,5743103.0,1.9838,14.735200469999999
2025-06-05,5.1,5.13,5.01,5.08,4946000.0,1.7085,14.706251159999999
2025-06-06,5.09,5.14,5.03,5.11,5065300.0,1.7497,14.793099100000001
2025-06-09,5.13,5.18,5.09,5.17,4645103.0,1.6046,14.96679498
2025-06-10,5.17,5.25,5.03,5.11,6318500.0,2.1826,14.793099100000001
2025-06-11,5.12,5.19,5.1,5.11,3881560.0,1.3408,14.793099100000001
2025-06-12,5.11,5.16,5.06,5.12,4184900.0,1.4456,14.82204841
2025-06-13,5.09,5.17,5.0,5.02,3904893.0,1.3489,14.53255528
2025-06-16,5.02,5.14,5.0,5.09,4176478.0,1.4427,14.735200469999999
2025-06-17,5.09,5.12,5.03,5.08,3456553.0,1.194,14.706251159999999
2025-06-18,5.06,5.1,4.96,5.03,3953337.9999999995,1.3656,14.56150459
2025-06-19,5.03,5.03,4.85,4.91,3721807.0,1.2856,14.214112830000001
2025-06-20,4.89,4.98,4.8,4.82,4437906.0,1.533,13.95356901
2025-06-23,4.75,5.01,4.75,4.98,6319108.0,2.1828,14.41675802
2025-06-24,4.98,5.18,4.95,5.17,7352108.0,2.5396,14.96679498
2025-06-25,5.17,5.21,5.1,5.11,5069200.0,1.7511,14.793099100000001
2025-06-26,5.11,5.22,5.11,5.16,4647960.0,1.6056,14.93784566
2025-06-27,5.19,5.26,5.11,5.2,4339848.0,1.4991,15.053642920000001
2025-06-30,5.25,5.46,5.2,5.35,7731920.0,2.6708,15.48788262
2025-07-01,5.35,5.4,5.27,5.36,6311200.0,2.1801,15.51683193
2025-07-02,5.38,5.43,5.33,5.39,5597384.0,1.9335,15.60367987
2025-07-03,5.4,5.46,5.33,5.44,4905980.0,1.6947,15.74842644
2025-07-04,5.41,5.43,5.3,5.33,5610351.0,1.938,15.429983989999998
2025-07-07,5.3,5.41,5.28,5.39,5957199.0,2.0578,15.60367987
2025-07-08,5.4,5.45,5.36,5.44,5095757.0,1.7602,15.74842644
2025-07-09,5.43,5.53,5.41,5.45,6178450.0,2.1342,15.777375750000001
2025-07-10,5.45,5.49,5.36,5.46,4549844.0,1.5717,15.80632506
2025-07-11,5.46,5.5,5.37,5.41,5702676.0,1.9699,15.661578500000001
2025-07-14,5.45,5.46,5.39,5.45,3764719.9999999995,1.3005,15.777375750000001
2025-07-15,5.44,5.45,5.25,5.38,6068900.0,2.0964,15.574730559999999
2025-07-16,5.38,5.45,5.3,5.39,4316052.0,1.4909,15.60367987
2025-07-17,5.39,5.44,5.37,5.39,3466030.0000000005,1.1973,15.60367987
2025-07-18,5.4,5.49,5.36,5.48,6467010.0,2.2339,15.86422369
2025-07-21,5.52,5.58,5.48,5.53,6535893.0,2.2577,16.00897025
2025-07-22,5.55,5.62,5.51,5.56,7127685.000000001,2.4621,16.09581819
2025-07-23,5.56,5.57,5.46,5.49,5279360.0,1.8237,15.893173
2025-07-24,5.48,5.58,5.46,5.52,4452880.0,1.5382,15.98002094
2025-07-25,5.54,5.56,5.45,5.53,5580208.0,1.9276,16.00897025
2025-07-28,5.56,5.64,5.54,5.63,6222040.0,2.1493,16.29846339
2025-07-29,5.64,5.67,5.48,5.58,6744080.0,2.3296,16.15371682
2025-07-30,5.6,5.64,5.5,5.56,6291660.0,2.1733,16.09581819
2025-07-31,5.53,5.58,5.45,5.47,4748307.0,1.6402,15.83527438
2025-08-01,5.5,5.73,5.47,5.69,10970170.0,3.7894,16.472159270000002
2025-08-04,5.68,5.76,5.59,5.76,8939172.0,3.0879,16.67480446
2025-08-05,5.76,5.83,5.76,5.8,6507684.0,2.248,16.79060171
2025-08-06,5.81,5.83,5.74,5.78,5351180.0,1.8485,16.73270309
2025-08-07,5.78,5.8,5.73,5.77,5632456.0,1.9456,16.70375377
2025-08-08,5.79,5.81,5.71,5.81,5423112.0,1.8733,16.81955103
2025-08-11,5.81,5.87,5.74,5.83,6011350.0,2.0765,16.87744965
2025-08-12,5.84,5.85,5.76,5.82,4866100.0,1.6809,16.848500339999998
2025-08-13,5.82,5.84,5.74,5.78,5628506.0,1.9443,16.73270309
2025-08-14,5.82,5.82,5.55,5.59,7596278.0,2.624,16.18266613
2025-08-15,5.61,5.7,5.54,5.58,8130103.999999999,2.8084,16.15371682
2025-08-18,5.62,5.65,5.54,5.55,6381036.0,2.2042,16.06686888
2025-08-19,5.58,5.72,5.52,5.71,8131428.0,2.8089,16.53005789
2025-08-20,5.71,5.74,5.61,5.74,6613712.0,2.2846,16.61690583
2025-08-21,5.75,5.82,5.71,5.77,5415116.0,1.8706,16.70375377
2025-08-22,5.79,5.81,5.66,5.69,5429200.0,1.8754,16.472159270000002
2025-08-25,5.71,5.76,5.57,5.6,7161403.0,2.4738,16.21161545
2025-08-26,5.62,5.77,5.55,5.72,5923248.0,2.0461,16.55900721
2025-08-27,5.71,5.71,5.25,5.28,15033619.0,5.1722,15.34698702
2025-08-28,5.28,5.42,5.01,5.26,14493966.0,4.9865,15.288854500000001
2025-08-29,5.28,5.28,5.12,5.13,9877618.0,3.3983,14.91099307
2025-09-01,5.1,5.3,5.09,5.25,9209872.0,3.1686,15.25978823
2025-09-02,5.24,5.3,5.09,5.26,10086676.0,3.4702,15.288854500000001
2025-09-03,5.26,5.28,5.04,5.07,6972580.0,2.3989,14.736595490000001
2025-09-04,5.17,5.28,5.02,5.18,10354214.0,3.5623,15.05632439
2025-09-05,5.18,5.25,5.07,5.23,7595888.0,2.6133,15.20165571
2025-09-08,5.29,5.35,5.23,5.35,7767692.0,2.6724,15.55045087
2025-09-09,5.33,5.37,5.22,5.26,5491548.0,1.8893,15.288854500000001
2025-09-10,5.26,5.32,5.23,5.32,4731324.0,1.6278,15.46325208
2025-09-11,5.32,5.32,5.21,5.3,5238508.0,1.8023,15.40511955
2025-09-12,5.32,5.35,5.24,5.27,6601275.999999999,2.2711,15.31792076
2025-09-15,5.24,5.3,5.19,5.24,4432593.0,1.525,15.23072197
2025-09-16,5.26,5.33,5.22,5.31,6833960.000000001,2.3512,15.43418581
2025-09-17,5.3,5.35,5.25,5.32,4786928.0,1.6469,15.46325208
2025-09-18,5.33,5.33,5.12,5.16,7659312.0,2.6351,14.99819186
2025-09-19,5.19,5.2,5.02,5.1,7288388.0,2.5075,14.82379428
2025-09-22,5.1,5.13,5.01,5.05,6858175.999999999,2.3595,14.678462969999998
2025-09-23,5.01,5.04,4.84,5.0,10510881.0,3.6162,14.533131649999998
2025-09-24,5.0,5.15,4.92,5.15,8764404.0,3.0153,14.9691256
2025-09-25,5.15,5.22,5.05,5.07,7122852.0,2.4506,14.736595490000001
2025-09-26,5.07,5.16,4.98,5.1,5717408.0,1.967,14.82379428
2025-09-29,5.08,5.16,4.91,5.14,9319430.0,3.2063,14.940059340000001
2025-09-30,5.2,5.2,5.05,5.09,5619000.0,1.9332,14.79472802
2025-10-09,5.11,5.21,5.06,5.09,6640152.0,2.2845,14.79472802
2025-10-10,5.08,5.25,5.06,5.12,7878296.000000001,2.7105,14.88192681
2025-10-13,4.98,5.28,4.86,5.25,11343000.0,3.9025,15.25978823
2025-10-14,5.29,5.3,5.16,5.17,6802656.0,2.3404,15.02725813
2025-10-15,5.18,5.29,5.13,5.27,6932408.0,2.385,15.31792076
2025-10-16,5.27,5.3,5.12,5.15,5773628.0,1.9864,14.9691256
2025-10-17,5.17,5.2,5.06,5.07,6306042.0,2.1695,14.736595490000001
2025-10-20,5.1,5.19,5.1,5.19,6641100.0,2.2848,15.08539065
2025-10-21,5.19,5.35,5.16,5.34,6722624.000000001,2.3129,15.5213846
2025-10-22,5.35,5.48,5.31,5.45,7892457.000000001,2.7153,15.8411135
2025-10-23,5.44,5.47,5.36,5.44,7482872.0,2.5744,15.81204724
2025-10-24,5.44,5.52,5.41,5.45,6368944.0,2.1912,15.8411135
2025-10-27,5.43,5.56,5.43,5.51,7318075.999999999,2.5177,16.01551108
2025-10-28,5.52,5.53,5.4,5.47,7587800.0,2.6105,15.89924603
2025-10-29,5.47,5.54,5.33,5.39,5855936.0,2.0147,15.66671592
2025-10-30,5.4,5.45,5.35,5.38,5361624.0,1.8446,15.637649660000001
2025-10-31,5.41,5.55,5.36,5.51,8054728.0,2.7712,16.01551108
2025-11-03,5.56,5.68,5.52,5.66,8813244.0,3.0321,16.45150503
