date,open,high,low,close,volume
2026-01-05,61.8,62.9,61.1,61.93,2709184.0
2026-01-06,61.94,62.18,61.4,62.01,2092156.0
2026-01-07,62.8,66.49,62.39,64.46,5863655.0
2026-01-08,64.95,68.56,64.48,65.91,4616150.0
2026-01-09,65.58,66.98,65.15,66.0,4612349.0
2026-01-12,66.41,67.48,65.66,67.17,4356091.0
2026-01-13,67.0,67.06,64.91,65.3,4350149.0
2026-01-14,65.3,66.5,64.1,64.98,4890044.0
2026-01-15,64.44,65.53,64.2,64.92,2391907.0
2026-01-16,65.58,66.52,64.79,65.81,2847191.0
2026-01-19,65.88,66.8,65.48,66.13,2640929.0
2026-01-20,66.13,66.58,64.21,64.75,2908027.0
2026-01-21,64.51,66.49,64.51,66.04,2453145.0
2026-01-22,66.04,66.87,65.31,65.59,1805678.0
2026-01-23,65.8,67.0,65.61,66.9,2407581.0
2026-01-26,67.3,67.35,65.01,65.19,3225761.0
2026-01-27,65.38,66.26,63.4,65.55,2266154.0
2026-01-28,65.25,65.52,63.3,63.57,2498179.0
2026-01-29,63.55,64.08,61.75,61.97,2250399.0
2026-01-30,61.93,62.27,59.51,61.1,2308362.0
2026-02-02,61.0,61.59,59.17,59.4,1792825.0
2026-02-03,59.8,60.47,59.6,60.47,1542752.0
2026-02-04,60.29,60.38,59.26,59.7,1654382.0
2026-02-05,59.35,59.56,58.66,58.75,1545804.0
2026-02-06,58.26,59.29,58.26,58.82,1280836.0
2026-02-09,59.77,60.4,59.42,59.7,1792851.0
2026-02-10,59.5,59.98,59.39,59.72,1447767.0
2026-02-11,59.7,60.0,59.47,59.81,1313353.0
2026-02-12,59.81,60.79,59.76,60.58,1401474.0
2026-02-13,60.4,61.08,60.08,60.4,1332168.0
2026-02-24,60.02,60.45,58.84,60.23,2249644.0
2026-02-25,60.22,60.78,59.68,60.59,1634053.0
2026-02-26,60.7,63.16,60.27,62.79,3594342.0
2026-02-27,62.44,62.5,61.7,62.36,1984141.0
2026-03-02,61.74,63.89,60.02,63.0,4319841.0
2026-03-03,63.0,63.59,60.93,60.93,4222885.0
2026-03-04,60.06,62.14,60.05,60.8,2756516.0
2026-03-05,61.78,62.45,60.66,61.02,2440844.0
2026-03-06,61.14,63.94,60.88,63.13,3899830.0
2026-03-09,62.1,62.87,60.82,62.47,3414753.0
2026-03-10,62.55,64.28,62.55,63.78,2897587.0
2026-03-11,65.8,69.32,64.6,65.0,6250539.0
2026-03-12,64.6,65.5,63.0,63.03,3999452.0
2026-03-13,62.68,64.19,62.4,62.62,2614733.0
2026-03-16,63.2,63.6,61.97,62.86,2329468.0
2026-03-17,63.0,63.24,60.11,60.12,2985978.0
2026-03-18,60.12,61.15,59.97,60.89,1667203.0
2026-03-19,60.34,60.34,58.62,58.71,2959197.0
2026-03-20,59.0,59.27,57.23,57.32,2006491.0
2026-03-23,56.79,56.93,54.42,54.56,2358117.0
2026-03-24,55.59,55.91,54.61,55.81,1224711.0
2026-03-25,55.99,57.0,55.81,56.76,1195742.0
2026-03-26,56.65,56.93,55.01,55.31,1135128.0
2026-03-27,54.86,56.98,54.7,56.77,1249219.0
2026-03-30,56.0,56.55,55.45,56.4,784761.0
2026-03-31,56.2,57.18,56.0,56.1,1127858.0
2026-04-01,57.11,57.16,56.46,56.98,1043900.0
2026-04-02,56.64,56.9,55.15,55.38,1185884.0
2026-04-03,55.05,55.95,54.81,54.98,1067250.0
2026-04-07,55.0,55.51,54.93,55.28,594129.0
2026-04-08,56.86,57.78,56.38,57.75,1292370.0
2026-04-09,57.5,57.5,56.56,57.04,1328322.0
2026-04-10,57.25,57.88,57.05,57.11,1233381.0
2026-04-13,56.98,57.35,56.51,57.32,805116.0
2026-04-14,57.62,58.07,57.4,57.93,1117243.0
2026-04-15,58.01,58.32,57.15,57.19,1140130.0
2026-04-16,57.48,57.85,57.28,57.68,1155220.0
2026-04-17,57.44,59.66,57.08,59.36,2846474.0
2026-04-20,59.11,59.89,58.63,59.54,1835900.0
2026-04-21,58.88,59.95,58.69,59.53,1542910.0
2026-04-22,59.0,59.7,58.49,59.6,1346138.0
