date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,15.95,16.33,15.84,16.04,5495000.0,2.6032,33.85831855
2025-06-04,16.08,16.21,16.0,16.2,4189211.0,1.9846,34.19605739
2025-06-05,16.15,16.51,16.0,16.5,8107046.000000001,3.8406,34.82931771
2025-06-06,16.46,16.61,16.36,16.61,6183046.0,2.9291,35.061513160000004
2025-06-09,16.66,16.84,16.57,16.64,6964321.000000001,3.2993,35.124839189999996
2025-06-10,16.6,16.83,16.29,16.5,7565541.0,3.5841,34.82931771
2025-06-11,16.49,16.73,16.44,16.69,5849529.0,2.7711,35.23038258
2025-06-12,16.59,16.83,16.51,16.66,5145734.0,2.4377,35.167056550000005
2025-06-13,16.62,17.15,16.3,16.95,12651273.0,5.9934,35.77920819
2025-06-16,17.19,18.35,16.87,17.96,28624426.0,13.5605,37.91118461
2025-06-17,17.91,17.95,17.49,17.75,15196515.0,7.1992,37.46790239
2025-06-18,17.75,18.29,17.42,17.94,19213988.0,9.1024,37.86896726
2025-06-19,17.85,18.26,17.51,17.7,14243612.0,6.7478,37.362359000000005
2025-06-20,17.65,17.84,17.15,17.15,13575771.0,6.4314,36.20138174
2025-06-23,17.11,17.53,17.11,17.51,9755516.0,4.6216,36.96129413
2025-06-24,17.44,17.76,17.41,17.68,9608900.0,4.5521,37.320141639999996
2025-06-25,17.7,18.03,17.47,17.8,13398000.0,6.3472,37.57344577
2025-06-26,17.74,18.15,17.65,17.84,15834615.0,7.5015,37.657880479999996
2025-06-27,17.9,18.27,17.72,18.13,15627215.0,7.4032,38.270032130000004
2025-06-30,18.25,18.77,18.09,18.55,17701068.0,8.3857,39.15659658
2025-07-01,18.58,18.93,18.1,18.29,14168282.999999998,6.7121,38.60777096
2025-07-02,18.16,18.23,17.85,17.98,9969658.0,4.723,37.95340197
2025-07-03,17.93,18.4,17.93,18.1,9788271.0,4.6371,38.20670609
2025-07-04,18.09,18.21,17.72,17.76,10861360.0,5.1454,37.48901106
2025-07-07,17.7,17.88,17.45,17.6,7227195.0,3.4238,37.15127222
2025-07-08,17.61,18.23,17.4,18.08,10283167.0,4.8715,38.16448874
