date,open,high,low,close,volume
2026-07-22,15.8,23.78,15.8,18.81,42472785.0
2026-07-23,15.0,16.93,14.58,15.81,26078330.0
2026-07-24,15.02,16.8,14.78,15.22,18889462.0
2026-07-27,14.8,16.69,14.3,16.16,18742633.0
2026-07-28,15.6,18.65,15.44,17.19,20398817.0
2026-07-29,17.0,17.46,15.85,16.05,15885252.0
2026-07-30,15.65,16.07,14.75,14.76,13117155.0
2026-07-31,15.1,15.66,14.84,14.88,11353363.0
2026-08-03,14.7,15.03,14.69,14.85,6523440.0
2026-08-04,14.94,14.94,14.7,14.78,6862744.0
2026-08-05,14.77,15.31,14.6,15.16,10032680.0
2026-08-06,15.12,15.48,14.95,15.09,7719135.0
2026-08-07,15.02,15.11,14.65,14.85,7114126.0
2026-08-10,14.76,14.95,14.65,14.8,4408363.0
2026-08-11,14.81,14.81,14.47,14.5,6032512.0
