date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,17.63,18.48,17.6,18.17,64937893.00000001,1.1844,996.23575757
2025-06-04,18.4,18.45,18.02,18.32,38483425.0,0.7019,1004.46004836
2025-06-05,18.69,18.99,18.26,18.43,59653329.0,1.088,1010.49119494
2025-06-06,18.41,18.58,18.23,18.48,23894499.0,0.4358,1013.2326252
2025-06-09,18.52,18.6,18.1,18.27,31823982.0,0.5804,1001.7186181
2025-06-10,18.29,18.55,18.11,18.48,30719303.000000004,0.5603,1013.2326252
2025-06-11,18.5,18.99,18.43,18.8,31852515.000000004,0.5809,1030.7777788899998
2025-06-12,18.7,18.81,18.38,18.73,35546091.0,0.6483,1026.9397765200001
2025-06-13,18.73,19.36,18.7,19.3,53346697.0,0.973,1058.1920815199999
2025-06-16,19.27,19.77,18.85,19.14,61971215.0,1.1303,1049.41950468
2025-06-17,19.01,19.97,18.97,19.94,67109904.0,1.224,1093.28238888
2025-06-18,20.01,20.06,18.0,19.78,131475012.99999999,2.3979,1084.50981204
2025-06-19,19.94,20.12,19.0,19.47,79520297.0,1.4503,1067.51294441
2025-06-20,19.46,19.5,18.7,18.94,57473472.0,1.0482,1038.45378362
2025-06-23,18.67,19.4,18.67,19.35,39855472.0,0.7269,1060.93351178
2025-06-24,19.33,20.9,19.33,20.7,77788024.0,1.4187,1134.95212888
2025-06-25,20.77,22.03,20.58,21.91,81994710.0,1.4955,1201.29474125
2025-06-26,21.91,22.08,21.07,21.73,75344185.0,1.3742,1191.4255923
2025-06-27,21.65,21.88,19.56,19.58,248460904.99999997,4.5316,1073.54409099
2025-06-30,19.65,20.78,19.12,20.68,196648793.0,3.5866,1133.8555567800001
2025-07-01,20.45,20.45,19.19,19.43,139241109.0,2.5396,1065.3198002000001
2025-07-02,19.33,19.33,18.7,18.78,75226121.0,1.372,1029.6812067800001
2025-07-03,18.61,18.86,18.25,18.65,72493186.0,1.3222,1022.5534880999999
2025-07-04,18.67,19.77,18.58,19.46,99242820.0,1.8101,1066.96465836
2025-07-07,19.52,19.59,19.1,19.34,42832413.0,0.7812,1060.38522573
2025-07-08,19.2,19.33,18.81,18.93,61080011.0,1.114,1037.90549757
2025-07-09,18.9,19.54,18.85,19.26,65487647.0,1.1944,1055.99893731
2025-07-10,19.3,19.3,18.45,18.65,74681656.0,1.3621,1022.5534880999999
2025-07-11,18.65,18.94,18.54,18.59,49979873.0,0.9116,1019.2637717800001
2025-07-14,18.61,18.8,18.35,18.71,49712686.0,0.9067,1025.84320441
2025-07-15,18.6,19.07,18.58,18.88,44344665.0,0.8088,1035.16406731
2025-07-16,18.8,19.5,18.75,19.36,71473954.0,1.3036,1061.48179783
2025-07-17,19.85,21.05,19.85,20.68,122616649.0,2.2364,1133.8555567800001
2025-07-18,20.4,21.14,20.4,21.05,64379482.99999999,1.1742,1154.14214072
2025-07-21,20.84,21.16,20.52,20.99,52866578.0,0.9642,1150.8524244100001
2025-07-22,21.1,21.5,20.3,20.45,56337725.0,1.0275,1121.24497757
2025-07-23,20.3,20.83,20.2,20.52,42879446.0,0.7821,1125.08297994
2025-07-24,20.63,20.78,20.12,20.21,44714895.0,0.8155,1108.0861123
2025-07-25,20.46,21.5,20.46,20.98,71581332.0,1.3055,1150.3041383500001
2025-07-28,20.9,22.29,20.85,21.98,84350317.0,1.5384,1205.13274361
2025-07-29,22.01,22.3,21.8,22.02,45517235.0,0.8302,1207.32588783
2025-07-30,21.96,22.17,21.41,21.65,39933549.0,0.7283,1187.03930388
2025-07-31,21.01,21.63,20.99,21.3,36086391.0,0.6582,1167.84929204
2025-08-01,21.45,21.46,20.35,20.5,49199480.0,0.8973,1123.98640783
2025-08-04,20.4,20.49,19.74,20.06,69173709.0,1.2616,1099.86182152
2025-08-05,20.0,20.18,19.87,19.91,37612565.0,0.686,1091.63753073
2025-08-06,19.95,19.95,19.44,19.64,50724500.0,0.9251,1076.83380731
2025-08-07,19.6,19.69,19.29,19.47,43851191.0,0.7998,1067.51294441
2025-08-08,19.51,19.63,19.21,19.3,45359247.0,0.8273,1058.1920815199999
2025-08-11,19.3,19.43,19.08,19.17,46803840.0,0.8536,1051.06436283
2025-08-12,19.24,19.28,18.6,18.87,71961554.0,1.3125,1034.61578126
2025-08-13,18.92,19.03,18.69,18.78,61848638.0,1.128,1029.6812067800001
2025-08-14,18.85,19.78,18.85,19.58,146376359.0,2.6697,1073.54409099
2025-08-15,19.56,19.56,18.76,19.07,93607321.0,1.7073,1045.58150231
2025-08-18,19.12,20.45,19.12,20.12,124758383.0,2.2754,1103.15153783
2025-08-19,20.25,20.51,20.01,20.25,85246313.0,1.5548,1110.27925652
2025-08-20,20.2,20.48,19.78,19.95,62556293.00000001,1.1409,1093.8306749399999
2025-08-21,20.71,21.9,20.24,20.33,111262763.99999999,2.0293,1114.66554494
2025-08-22,20.33,21.18,20.05,20.93,87921062.0,1.6036,1147.5627080900001
2025-08-25,20.93,23.02,20.55,23.02,159786343.0,2.9143,1262.15449309
2025-08-26,22.92,23.4,22.2,22.35,103631811.0,1.8901,1225.4193275599998
2025-08-27,22.38,22.95,21.96,22.0,68675891.0,1.2526,1206.22931572
2025-08-28,21.87,21.95,21.28,21.75,63567913.0,1.1594,1192.52216441
2025-08-29,21.8,22.74,21.8,22.5,84200193.0,1.5357,1233.64361835
