date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,18.8,19.12,18.76,18.9,1774280.0,4.7806,7.0145409
2025-06-04,18.96,19.23,18.95,19.02,1370890.0,3.6937,7.05907766
2025-06-05,19.06,19.28,18.81,19.14,1717880.0,4.6287,7.10361443
2025-06-06,19.16,19.27,18.98,19.24,1181260.0,3.1828,7.14072841
2025-06-09,19.45,19.81,19.19,19.7,2313490.0,6.2335,7.31145268
2025-06-10,19.77,19.95,19.15,19.36,2807100.0,7.5635,7.18526517
2025-06-11,19.4,22.45,19.27,20.95,8941469.0,24.0919,7.77537734
2025-06-12,20.97,24.55,20.45,23.5,13616870.000000002,36.6893,8.72178366
2025-06-13,22.34,22.79,21.11,21.33,10150291.0,27.349,7.91641044
2025-06-16,20.99,23.33,20.51,22.95,9947967.0,26.8038,8.5176568
2025-06-17,22.86,23.21,21.87,22.03,7551120.0,20.3458,8.17620825
2025-06-18,21.76,22.08,21.21,21.34,5873625.0,15.8259,7.92012184
2025-06-19,21.13,21.63,20.56,20.71,5302750.0,14.2877,7.686303810000001
2025-06-20,20.82,20.82,20.11,20.12,3409336.0,9.1861,7.46733137
2025-06-23,20.0,20.72,19.8,20.56,2594586.0,6.9909,7.6306328500000005
2025-06-24,20.82,22.29,20.82,22.15,7028455.0,18.9375,8.22074502
2025-06-25,22.08,22.2,21.63,21.67,5470740.0,14.7404,8.04259795
2025-06-26,22.52,23.5,21.88,22.23,9396060.0,25.3168,8.2504362
2025-06-27,22.1,22.2,21.7,21.79,5463600.0,14.7211,8.08713472
2025-06-30,21.8,22.14,21.7,21.91,3551410.0,9.5689,8.13167148
2025-07-01,21.82,22.4,21.56,22.05,5048660.0,13.6031,8.18363105
2025-07-02,22.0,22.14,21.37,21.58,3569260.0,9.617,8.00919537
2025-07-03,21.54,21.85,21.46,21.7,2466260.0,6.6451,8.05373214
2025-07-04,21.79,21.79,21.2,21.27,2301640.0,6.2015,7.89414206
2025-07-07,21.17,21.45,21.15,21.41,1509280.0,4.0666,7.946101619999999
2025-07-08,21.42,21.88,21.27,21.83,2513490.0,6.7724,8.10198031
2025-07-09,21.86,22.85,21.86,22.08,4969700.0,13.3904,8.19476524
2025-07-10,22.25,23.23,21.9,22.84,7371250.0,19.8611,8.476831429999999
