date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,20.25,20.47,20.21,20.39,2940700.0,0.9746,61.521153729999995
2025-06-04,20.4,20.56,20.25,20.52,2881223.0,0.9549,61.91339257
2025-06-05,20.6,20.7,20.14,20.25,3113157.0,1.0318,61.09874266999999
2025-06-06,20.25,20.52,20.25,20.39,3024226.0,1.0023,61.521153729999995
2025-06-09,20.3,20.65,20.3,20.53,2520266.0,0.8353,61.943564789999996
2025-06-10,20.59,20.79,20.47,20.69,3814125.0,1.2641,62.42632028
2025-06-11,20.75,20.82,20.64,20.78,2645900.0,0.8769,62.69787025
2025-06-12,20.68,21.26,20.67,21.17,5897989.0,1.9548,63.87458678
2025-06-13,20.63,20.8,20.19,20.38,4660927.0,1.5448,61.49098151
2025-06-16,20.37,20.48,20.12,20.28,2962200.0,0.9818,61.18925932
2025-06-17,20.28,20.58,20.0,20.05,2799300.0,0.9278,60.495298289999994
2025-06-18,20.01,20.07,19.76,19.84,2426600.0,0.8042,59.861681700000005
2025-06-19,19.8,19.88,19.6,19.72,2341800.0,0.7761,59.49961507999999
2025-06-20,19.8,20.13,19.72,19.99,2358433.0,0.7817,60.314264980000004
2025-06-23,19.99,19.99,19.55,19.74,3166300.0,1.0494,59.55995952
2025-06-24,19.81,20.01,19.76,19.92,2602800.0,0.8626,60.10305945
2025-06-25,19.92,19.98,19.79,19.9,2546595.0,0.844,60.042715009999995
2025-06-26,19.94,19.94,19.54,19.64,3502094.9999999995,1.1607,59.25823733
2025-06-27,19.58,19.84,19.58,19.7,2205500.0,0.731,59.439270640000004
2025-06-30,19.71,19.83,19.63,19.77,3073100.0,1.0185,59.650476170000005
2025-07-01,19.77,19.87,19.67,19.87,3165100.0,1.049,59.952198360000004
2025-07-02,19.81,20.03,19.75,19.84,3075513.0,1.0193,59.861681700000005
2025-07-03,19.8,20.32,19.8,20.26,4211964.0,1.396,61.128914879999996
2025-07-04,20.24,20.47,20.22,20.32,2393800.0,0.7934,61.309948199999994
2025-07-07,20.28,20.55,20.13,20.34,2514812.0,0.8335,61.37029263
2025-07-08,20.38,20.53,20.15,20.37,3894850.0,1.2909,61.46080929000001
2025-07-09,20.34,20.45,20.23,20.39,2199058.0,0.7288,61.521153729999995
2025-07-10,20.4,20.8,20.37,20.71,3749351.9999999995,1.2427,62.48666472
2025-07-11,20.72,20.87,20.57,20.64,3042899.0,1.0085,62.27545919
2025-07-14,20.55,20.82,20.5,20.68,2830541.0,0.9381,62.39614806
2025-07-15,20.77,20.78,20.46,20.67,2067440.0000000002,0.6852,62.36597585
2025-07-16,20.57,20.87,20.57,20.85,2287058.0,0.758,62.90907578
2025-07-17,20.85,21.01,20.84,20.85,2232300.0,0.7399,62.90907578
2025-07-18,20.87,20.93,20.52,20.86,2982500.0,0.9885,62.939248
2025-07-21,20.77,20.92,20.74,20.88,2725258.0,0.9032,62.99959244
2025-07-22,20.9,21.18,20.9,21.12,3843700.0,1.2739,63.723725679999994
2025-07-23,21.07,21.28,21.01,21.07,3237627.0,1.073,63.57286459
2025-07-24,21.1,21.35,21.0,21.21,3206000.0,1.0626,63.99527565
2025-07-25,21.27,21.58,21.11,21.45,3909300.0,1.2957,64.7194089
2025-07-28,21.38,21.55,21.33,21.36,3367500.0,1.1161,64.44785893
