date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,2.73,2.77,2.71,2.74,39048115.0,1.0429,102.59207996
2025-06-04,2.74,2.78,2.71,2.77,38409744.0,1.0258,103.71535091
2025-06-05,2.76,2.81,2.75,2.78,42608149.0,1.138,104.08977456000001
2025-06-06,2.79,2.81,2.75,2.76,30290459.999999996,0.809,103.34092726
2025-06-09,2.76,2.79,2.75,2.78,32263678.000000004,0.8617,104.08977456000001
2025-06-10,2.77,2.79,2.73,2.76,35496900.0,0.948,103.34092726
2025-06-11,2.76,2.78,2.75,2.76,35844705.0,0.9573,103.34092726
2025-06-12,2.76,2.77,2.73,2.74,29755478.000000004,0.7947,102.59207996
2025-06-13,2.74,2.75,2.68,2.7,35055800.0,0.9363,101.09438537
2025-06-16,2.7,2.72,2.69,2.71,20227590.0,0.5402,101.46880901
2025-06-17,2.71,2.77,2.69,2.77,37926241.0,1.0129,103.71535091
2025-06-18,2.77,2.81,2.76,2.79,43365164.0,1.1582,104.46419821
2025-06-19,2.78,2.79,2.69,2.71,37310864.0,0.9965,101.46880901
2025-06-20,2.71,2.78,2.68,2.75,41544212.0,1.1096,102.96650361
2025-06-23,2.76,2.81,2.75,2.77,38820536.0,1.0368,103.71535091
2025-06-24,2.76,2.8,2.72,2.77,39107670.0,1.0445,103.71535091
2025-06-25,2.78,2.8,2.75,2.79,32442980.0,0.8665,104.46419821
2025-06-26,2.79,2.79,2.76,2.77,30116462.0,0.8043,103.71535091
2025-06-27,2.78,2.81,2.76,2.78,28440067.0,0.7596,104.08977456000001
2025-06-30,2.78,2.79,2.76,2.76,25347683.0,0.677,103.34092726
2025-07-01,2.76,2.78,2.74,2.77,32219807.0,0.8605,103.71535091
2025-07-02,2.78,2.81,2.77,2.8,35719968.0,0.954,104.83862186
2025-07-03,2.8,2.81,2.78,2.79,22900900.0,0.6116,104.46419821
2025-07-04,2.78,2.82,2.77,2.77,33063602.0,0.8831,103.71535091
2025-07-07,2.77,2.84,2.76,2.82,39174900.0,1.0463,105.58746916
2025-07-08,2.82,2.84,2.8,2.84,29136000.0,0.7782,106.33631646
2025-07-09,2.84,2.86,2.83,2.85,26602153.000000004,0.7105,106.71074010999999
2025-07-10,2.84,2.9,2.84,2.89,42100561.0,1.1244,108.20843470999999
2025-07-11,2.89,2.92,2.88,2.91,44763206.0,1.1955,108.957282
2025-07-14,3.09,3.15,3.02,3.03,155545631.0,4.1543,113.4503658
2025-07-15,3.11,3.19,3.05,3.13,127522921.0,3.4058,117.19460228999999
2025-07-16,3.1,3.14,3.03,3.06,76662236.0,2.0475,114.57363674999999
2025-07-17,3.06,3.06,3.01,3.03,41354451.0,1.1045,113.4503658
2025-07-18,3.04,3.07,3.03,3.05,40331326.0,1.0772,114.19921310000001
2025-07-21,3.05,3.08,3.04,3.05,41956395.0,1.1206,114.19921310000001
2025-07-22,3.05,3.12,3.03,3.12,65333161.0,1.7449,116.82017864000001
2025-07-23,3.12,3.17,3.1,3.12,60810079.0,1.6241,116.82017864000001
2025-07-24,3.12,3.27,3.1,3.22,86059915.0,2.2985,120.56441514000001
2025-07-25,3.23,3.25,3.12,3.15,80928443.0,2.1614,117.94344959
2025-07-28,3.14,3.17,3.13,3.15,53020048.0,1.416,117.94344959
2025-07-29,3.14,3.16,3.09,3.13,46789636.0,1.2496,117.19460228999999
2025-07-30,3.14,3.17,3.11,3.14,37790607.0,1.0093,117.56902594
2025-07-31,3.13,3.14,3.06,3.08,40804391.0,1.0898,115.32248405
2025-08-01,3.1,3.19,3.09,3.16,54246551.0,1.4488,118.31787324000001
2025-08-04,3.19,3.2,3.13,3.19,49324880.0,1.3174,119.44114419
2025-08-05,3.19,3.27,3.17,3.23,60436796.0,1.6141,120.93883878999999
2025-08-06,3.24,3.25,3.2,3.24,37751129.0,1.0082,121.31326244
2025-08-07,3.24,3.26,3.21,3.25,37320290.0,0.9967,121.68768609
2025-08-08,3.26,3.31,3.23,3.25,46752368.0,1.2486,121.68768609
2025-08-11,3.25,3.26,3.21,3.25,40266088.0,1.0754,121.68768609
2025-08-12,3.26,3.3,3.25,3.29,39575712.0,1.057,123.18538069
2025-08-13,3.29,3.3,3.23,3.27,42254641.0,1.1285,122.43653339
2025-08-14,3.27,3.28,3.18,3.19,49867172.0,1.3318,119.44114419
2025-08-15,3.19,3.22,3.18,3.21,43651148.0,1.1658,120.18999149
2025-08-18,3.22,3.26,3.21,3.23,50020591.0,1.3359,120.93883878999999
2025-08-19,3.23,3.26,3.18,3.25,58596413.0,1.565,121.68768609
2025-08-20,3.24,3.24,3.19,3.24,46727878.0,1.248,121.31326244
2025-08-21,3.24,3.25,3.22,3.24,45781747.0,1.2227,121.31326244
2025-08-22,3.23,3.26,3.2,3.25,44969125.0,1.201,121.68768609
2025-08-25,3.38,3.58,3.37,3.58,114102280.0,3.0474,134.04366652
2025-08-26,3.58,3.76,3.54,3.6,217695570.00000003,5.8142,134.79251381999998
2025-08-27,3.65,3.77,3.57,3.6,140602673.0,3.7552,134.79251381999998
2025-08-28,3.56,3.64,3.52,3.61,96485912.0,2.5769,135.16693747
2025-08-29,3.63,3.65,3.49,3.51,79262169.0,2.1169,131.42270097
2025-09-01,3.5,3.51,3.45,3.5,61052196.0,1.6306,131.04827733
2025-09-02,3.49,3.5,3.41,3.45,60820752.0,1.6244,129.17615908
2025-09-03,3.45,3.46,3.39,3.41,44356426.0,1.1847,127.67846447999999
2025-09-04,3.4,3.44,3.34,3.38,59217568.00000001,1.5816,126.55519353
2025-09-05,3.39,3.41,3.35,3.41,45083483.0,1.2041,127.67846447999999
2025-09-08,3.41,3.46,3.39,3.45,52229492.0,1.3949,129.17615908
2025-09-09,3.46,3.49,3.39,3.41,44935691.0,1.2001,127.67846447999999
2025-09-10,3.41,3.45,3.39,3.44,32353970.0,0.8641,128.80173543
2025-09-11,3.43,3.48,3.4,3.47,42268476.0,1.1289,129.92500637999999
2025-09-12,3.48,3.52,3.47,3.51,46082901.0,1.2308,131.42270097
2025-09-15,3.54,3.58,3.48,3.49,42599814.0,1.1377,130.67385367999998
2025-09-16,3.49,3.7,3.49,3.64,102485953.0,2.7372,136.29020842
2025-09-17,3.64,3.65,3.56,3.6,52668048.0,1.4066,134.79251381999998
2025-09-18,3.6,3.73,3.57,3.63,89724292.0,2.3963,135.91578477000002
2025-09-19,3.61,3.86,3.61,3.71,92177765.0,2.4619,138.91117395999999
2025-09-22,3.69,3.7,3.57,3.64,63453624.0,1.6947,136.29020842
2025-09-23,3.66,3.78,3.61,3.75,96260955.0,2.5709,140.40886856
2025-09-24,3.7,3.76,3.67,3.75,59155028.0,1.5799,140.40886856
2025-09-25,3.75,3.76,3.64,3.65,54172706.99999999,1.4468,136.66463207
2025-09-26,3.64,3.65,3.58,3.6,41724470.0,1.1144,134.79251381999998
2025-09-29,3.6,3.65,3.53,3.63,38675441.0,1.0329,135.91578477000002
2025-09-30,3.63,3.64,3.59,3.59,30244476.0,0.8078,134.41809017
2025-10-09,3.58,3.66,3.57,3.64,38239434.0,1.0213,136.29020842
2025-10-10,3.65,3.7,3.63,3.66,36286572.0,0.9691,137.03905572
2025-10-13,3.52,3.69,3.48,3.68,43386151.0,1.1587,137.78790302
2025-10-14,3.69,3.74,3.63,3.65,43403219.0,1.1592,136.66463207
2025-10-15,3.66,3.75,3.63,3.74,48276052.0,1.2893,140.03444491000002
2025-10-16,3.75,4.11,3.71,4.11,112718187.99999999,3.0104,153.88811994
2025-10-17,4.1,4.44,4.02,4.28,233160721.0,6.2272,160.25332199
2025-10-20,4.33,4.71,4.33,4.71,250531289.0,6.6911,176.35353891
2025-10-21,4.67,4.71,4.36,4.61,229848819.0,6.1387,172.60930242
2025-10-22,4.56,4.63,4.26,4.29,169029603.0,4.5144,160.62774564
2025-10-23,4.29,4.35,4.13,4.21,99402253.0,2.6548,157.63235644
2025-10-24,4.21,4.39,4.2,4.22,99742468.0,2.6639,158.00678008999998
2025-10-27,4.33,4.4,4.22,4.24,90109877.0,2.4066,158.75562739
2025-10-28,4.26,4.42,4.21,4.37,106515558.0,2.8448,163.62313483
2025-10-29,4.36,4.51,4.27,4.44,108075608.0,2.8865,166.24410038000002
2025-10-30,4.37,4.59,4.32,4.32,103827307.0,2.773,161.75101658
2025-10-31,4.33,4.44,4.25,4.29,71760826.0,1.9166,160.62774564
2025-11-03,4.29,4.33,4.2,4.25,60829222.0,1.6246,159.13005104
2025-11-04,4.22,4.49,4.15,4.31,110115131.0,2.9409,161.37659293
2025-11-05,4.34,4.41,4.25,4.31,99963563.0,2.6698,161.37659293
2025-11-06,4.36,4.4,4.13,4.2,95836367.0,2.5596,157.25793278999998
2025-11-07,4.24,4.62,4.2,4.62,207235076.0,5.5348,172.98372607
2025-11-10,4.8,4.81,4.52,4.52,187865921.0,5.0175,169.23948957
2025-11-11,4.57,4.8,4.52,4.58,147178412.0,3.9308,171.48603147
2025-11-12,4.56,4.73,4.44,4.5,103793748.0,2.7721,168.49064228
2025-11-13,4.43,4.54,4.4,4.46,70805354.0,1.8822,167.77790768
2025-11-14,4.45,4.91,4.42,4.88,203886754.0,5.4199,183.57762096
2025-11-17,4.82,5.05,4.78,4.81,194504696.0,5.1705,180.94433541
2025-11-18,4.79,4.83,4.46,4.55,131252412.99999999,3.4891,171.16356052
2025-11-19,4.58,4.64,4.2,4.25,118609723.0,3.153,159.87805104
2025-11-20,4.32,4.46,4.28,4.33,89327856.0,2.3746,162.88752023
2025-11-21,4.23,4.34,4.09,4.09,91721433.0,2.4382,153.85911265000001
2025-11-24,4.08,4.17,3.87,3.97,92079052.0,2.4477,149.34490885
2025-11-25,3.97,4.03,3.93,3.98,57482004.0,1.528,149.7210925
2025-11-26,3.98,4.32,3.97,4.11,107879051.0,2.8677,154.61147993999998
2025-11-27,4.11,4.14,4.01,4.02,57644700.0,1.5324,151.2258271
2025-11-28,4.02,4.14,3.97,4.14,58056285.0,1.5433,155.74003089
2025-12-01,4.14,4.21,4.12,4.19,42745463.0,1.1363,157.62094914
2025-12-02,4.19,4.22,4.08,4.2,47840758.0,1.2717,157.99713279
2025-12-03,4.26,4.28,4.12,4.14,54205247.0,1.4409,155.74003089
2025-12-04,4.13,4.2,4.06,4.14,41704803.0,1.1086,155.74003089
2025-12-05,4.13,4.25,4.09,4.25,61831218.99999999,1.6436,159.87805104
2025-12-08,4.28,4.44,4.25,4.37,112367283.0,2.987,164.39225482999998
2025-12-09,4.32,4.58,4.13,4.48,149584921.0,3.9764,168.53027498
2025-12-10,4.48,4.52,4.36,4.46,96292124.0,2.5597,167.77790768
2025-12-11,4.46,4.48,4.27,4.27,81577725.0,2.1686,160.63041834
2025-12-12,4.27,4.3,4.15,4.16,73371927.0,1.9504,156.49239819
2025-12-15,4.06,4.12,3.94,4.04,64802381.00000001,1.7226,151.97819439999998
2025-12-16,4.06,4.08,3.89,3.91,69579320.0,1.8496,147.08780695
2025-12-17,3.86,4.04,3.86,4.01,55314729.0,1.4704,150.84964345
2025-12-18,4.0,4.04,3.92,3.93,39516136.0,1.0231,151.78754485
2025-12-19,3.93,4.1,3.89,4.06,56998168.00000001,1.4758,156.8085069
2025-12-22,4.13,4.47,4.13,4.47,71050393.0,1.8396,172.64384873
2025-12-23,4.92,4.92,4.8,4.92,164226060.0,4.2521,190.02410195
2025-12-24,4.8,5.41,4.72,5.41,298324318.0,7.724,208.94926658
2025-12-25,5.9,5.95,5.5,5.95,166199404.0,4.3031,229.80557045
2025-12-26,6.07,6.55,5.95,6.55,595086013.0,15.4076,252.97924142
2025-12-29,6.5,6.52,5.9,5.9,415615519.0,10.7609,227.87443121
2025-12-30,5.69,5.98,5.49,5.49,337611205.0,8.7412,212.03908938
2025-12-31,5.51,5.67,5.18,5.52,291191370.0,7.5394,213.19777292
2026-01-05,5.4,5.44,5.14,5.2,224950744.0,5.8243,200.83848174
2026-01-06,5.19,5.29,5.16,5.23,146694080.0,3.7981,201.99716529
2026-01-07,5.2,5.39,5.18,5.23,154879243.0,4.01,201.99716529
2026-01-08,5.18,5.27,5.1,5.12,137645863.0,3.5639,197.74865893999998
2026-01-09,5.11,5.18,5.1,5.15,102038561.0,2.6419,198.90734249
2026-01-12,5.12,5.27,5.11,5.25,159075637.0,4.1187,202.76962099
2026-01-13,5.29,5.31,5.08,5.11,138531142.0,3.5868,197.36243109
2026-01-14,5.11,5.28,5.06,5.17,145455116.0,3.766,199.67979819
2026-01-15,5.15,5.24,5.09,5.17,93482561.0,2.4204,199.67979819
2026-01-16,5.22,5.22,4.98,5.07,120814492.0,3.1281,195.8175197
2026-01-19,5.05,5.25,5.04,5.16,106963360.00000001,2.7694,199.29357034
2026-01-20,5.17,5.17,5.0,5.04,84719768.0,2.1935,194.65883615
2026-01-21,5.0,5.06,4.93,4.99,63056198.0,1.6326,192.7276969
2026-01-22,4.98,5.08,4.98,5.07,62542824.0,1.6193,195.8175197
2026-01-23,5.07,5.19,5.04,5.19,83544905.0,2.1631,200.45225389
2026-01-26,5.19,5.19,5.06,5.09,66037816.0,1.7098,196.5899754
2026-01-27,5.09,5.13,5.01,5.11,55106991.0,1.4268,197.36243109
2026-01-28,5.1,5.18,5.06,5.13,60976168.00000001,1.5788,198.13488679
2026-01-29,5.08,5.25,5.06,5.13,111022325.0,2.8745,198.13488679
2026-01-30,5.13,5.24,5.01,5.05,102525252.0,2.6545,195.045064
2026-02-02,5.13,5.21,4.93,4.94,107776008.0,2.7905,190.79655764999998
2026-02-03,4.99,5.06,4.93,5.06,73644220.0,1.9068,195.43129184999998
2026-02-04,5.04,5.12,5.0,5.1,65647641.0,1.6997,196.97620325
2026-02-05,5.07,5.15,4.87,4.93,135822490.0,3.5166,190.4103298
2026-02-06,4.86,4.96,4.78,4.9,63418454.0,1.642,189.25164626
2026-02-09,4.95,5.03,4.89,4.94,60576679.0,1.5684,190.79655764999998
2026-02-10,4.94,4.95,4.87,4.88,39748760.0,1.0292,188.47919056
2026-02-11,4.88,5.0,4.87,4.95,61698880.00000001,1.5975,191.1827855
2026-02-12,4.95,4.98,4.92,4.94,38699704.0,1.002,190.79655764999998
2026-02-13,4.93,4.96,4.88,4.89,46212200.0,1.1965,188.86541841
2026-02-24,4.91,4.95,4.85,4.87,47183462.0,1.2216,188.09296271
2026-02-25,4.88,5.29,4.88,5.07,156444590.0,4.0506,195.8175197
2026-02-26,5.05,5.09,4.89,4.91,114443205.0,2.9631,189.6378741
2026-02-27,4.91,5.02,4.88,4.99,66782677.0,1.7291,192.7276969
2026-03-02,4.98,5.1,4.89,5.06,111378151.0,2.8837,195.43129184999998
2026-03-03,5.12,5.34,5.11,5.29,274612630.0,7.1101,204.31453238999998
2026-03-04,5.22,5.22,4.76,4.9,174380470.0,4.515,189.25164626
2026-03-05,4.9,4.9,4.65,4.77,133125062.00000001,3.4468,184.23068421
2026-03-06,4.68,4.73,4.66,4.7,70276781.0,1.8196,181.52708927
2026-03-09,4.7,4.73,4.51,4.55,74463527.0,1.928,175.73367152
2026-03-10,4.56,4.7,4.55,4.61,57534092.00000001,1.4896,178.05103862
2026-03-11,4.62,4.64,4.54,4.58,49033573.0,1.2696,176.89235507
2026-03-12,4.57,4.62,4.55,4.58,47088898.0,1.2192,176.89235507
2026-03-13,4.55,4.61,4.51,4.52,42041417.0,1.0885,174.57498797
2026-03-16,4.5,4.55,4.45,4.55,43631702.0,1.1297,175.73367152
2026-03-17,4.55,4.58,4.48,4.49,37229928.0,0.9639,173.41630443
2026-03-18,4.49,4.51,4.43,4.49,36401432.0,0.9425,173.41630443
2026-03-19,4.46,4.47,4.35,4.38,52847369.99999999,1.3683,169.16779808
2026-03-20,4.37,4.43,4.33,4.34,45921446.0,1.189,167.62288668
2026-03-23,4.29,4.3,4.14,4.18,62443134.0,1.6167,161.44324109000001
2026-03-24,4.23,4.33,4.15,4.31,61048396.0,1.5806,166.46420313
2026-03-25,4.31,4.37,4.27,4.37,47711322.0,1.2353,168.78157023
2026-03-26,4.38,4.43,4.34,4.4,43018656.0,1.1138,169.94025378
2026-03-27,4.35,4.48,4.32,4.46,42903862.0,1.1108,172.25762088
2026-03-30,4.43,4.53,4.43,4.46,37626327.0,0.9742,172.25762088
2026-03-31,4.48,4.53,4.42,4.42,45211318.0,1.1706,170.71270948
2026-04-01,4.48,4.5,4.42,4.46,34082836.0,0.8825,172.25762088
2026-04-02,4.49,4.58,4.45,4.49,54427668.00000001,1.4092,173.41630443
2026-04-03,4.52,4.52,4.31,4.32,47619484.0,1.2329,166.85043098
2026-04-07,4.36,4.53,4.36,4.51,49063089.0,1.2703,174.18876011999998
2026-04-08,4.57,4.59,4.52,4.59,44452103.0,1.1509,177.27858292
2026-04-09,4.55,4.59,4.45,4.45,38427862.0,0.995,171.87139302999998
2026-04-10,4.48,4.55,4.45,4.45,35135100.0,0.9097,171.87139302999998
2026-04-13,4.48,4.49,4.38,4.39,33448403.999999996,0.866,169.55402593
2026-04-14,4.4,4.45,4.36,4.44,34086260.0,0.8825,171.48516518000002
2026-04-15,4.49,4.49,4.42,4.44,31565168.0,0.8173,171.48516518000002
2026-04-16,4.45,4.49,4.42,4.47,34479567.0,0.8927,172.64384873
2026-04-17,4.45,4.5,4.44,4.47,28586390.000000004,0.7401,172.64384873
2026-04-20,4.48,4.62,4.48,4.52,45627706.0,1.1814,174.57498797
2026-04-21,4.54,4.66,4.52,4.54,56706092.00000001,1.4682,175.34744367
2026-04-22,4.54,4.56,4.46,4.5,37303200.0,0.9658,173.80253228
2026-04-23,4.5,4.5,4.37,4.4,36974204.0,0.9573,169.94025378
2026-04-24,4.38,4.4,4.31,4.34,29119193.0,0.7539,167.62288668
2026-04-27,4.34,4.34,4.25,4.26,30997071.999999996,0.8026,164.53306389
2026-04-28,4.27,4.29,4.2,4.26,26675850.0,0.6907,164.53306389
2026-04-29,4.27,4.29,4.24,4.27,30242850.0,0.783,164.91929174
2026-04-30,4.26,4.27,4.18,4.21,29857349.0,0.7731,162.60192464
2026-05-06,4.22,4.28,4.2,4.26,29315187.0,0.759,164.53306389
2026-05-07,4.26,4.34,4.25,4.32,29245442.0,0.7572,166.85043098
2026-05-08,4.32,4.43,4.3,4.39,36498641.0,0.945,169.55402593
2026-05-11,4.39,4.41,4.26,4.28,43796211.0,1.1339,165.30551959
2026-05-12,4.28,4.28,4.2,4.2,28405856.0,0.7355,162.21569679
2026-05-13,4.2,4.3,4.19,4.27,25354576.0,0.6565,164.91929174
2026-05-14,4.26,4.27,4.19,4.19,27250903.999999996,0.7056,161.82946894
2026-05-15,4.21,4.22,4.12,4.16,30314721.999999996,0.7849,160.67078539
2026-05-18,4.32,4.5,4.29,4.36,63986294.99999999,1.6567,168.39534238
2026-05-19,4.27,4.4,4.27,4.35,39655351.0,1.0267,168.00911453
2026-05-20,4.32,4.44,4.28,4.37,36625919.0,0.9483,168.78157023
2026-05-21,4.38,4.62,4.36,4.44,62652821.0,1.6222,171.48516518000002
2026-05-22,4.47,4.49,4.35,4.4,40627652.0,1.0519,169.94025378
2026-05-25,4.37,4.41,4.3,4.32,35257573.0,0.9129,166.85043098
2026-05-26,4.31,4.53,4.27,4.4,50802992.0,1.3154,169.94025378
2026-05-27,4.35,4.49,4.35,4.41,46853724.0,1.2131,170.32648163000002
2026-05-28,4.41,4.54,4.38,4.47,48147145.0,1.2466,172.64384873
2026-05-29,4.46,4.49,4.34,4.38,40764873.0,1.0555,169.16779808
2026-06-01,4.37,4.46,4.34,4.45,36051822.0,0.9334,171.87139302999998
2026-06-02,4.46,4.5,4.38,4.39,34285800.0,0.8877,169.55402593
2026-06-03,4.37,4.52,4.33,4.45,48706146.0,1.2611,171.87139302999998
2026-06-04,4.45,4.65,4.44,4.59,76665773.0,1.985,177.27858292
2026-06-05,4.58,4.77,4.56,4.59,63438981.00000001,1.6425,177.27858292
2026-06-08,4.54,4.65,4.41,4.46,60422800.0,1.5644,172.25762088
2026-06-09,4.48,4.5,4.29,4.37,47013704.0,1.2173,168.78157023
2026-06-10,4.34,4.48,4.31,4.39,35274087.0,0.9133,169.55402593
2026-06-11,4.4,4.44,4.28,4.35,33210728.000000004,0.8599,168.00911453
2026-06-12,4.39,4.58,4.36,4.56,67955436.0,1.7595,176.11989937
2026-06-15,4.63,4.68,4.57,4.62,50191799.0,1.2995,178.43726647
2026-06-16,4.61,4.62,4.49,4.57,43625305.0,1.1295,176.50612745
2026-06-17,4.6,4.73,4.54,4.72,68894760.0,1.7838,182.2995452
2026-06-18,4.66,4.74,4.58,4.63,42426821.0,1.0985,178.82349455
2026-06-22,4.61,4.83,4.55,4.79,69720113.0,1.8052,185.00314014999998
2026-06-23,4.74,4.82,4.7,4.72,45668502.0,1.1824,182.2995452
2026-06-24,4.73,4.76,4.51,4.53,52398465.0,1.3567,174.96121605
2026-06-25,4.49,4.64,4.39,4.61,55506178.0,1.4371,178.05103885
2026-06-26,4.6,4.81,4.53,4.73,75301649.0,1.9497,182.68577305
2026-06-29,4.65,4.65,4.35,4.48,69606558.0,,
