date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,6.32,6.36,6.3,6.32,13746101.0,1.0002,86.86191612
2025-06-04,6.33,6.34,6.29,6.32,14712234.0,1.0704,86.86191612
2025-06-05,6.4,6.43,6.32,6.35,15251700.0,1.1097,87.27423534
2025-06-06,6.35,6.38,6.32,6.33,12606481.0,0.9172,86.99935586
2025-06-09,6.31,6.34,6.3,6.33,11211100.0,0.8157,86.99935586
2025-06-10,6.33,6.35,6.22,6.3,18359347.0,1.3358,86.58703664000001
2025-06-11,6.28,6.33,6.27,6.29,11180943.0,0.8135,86.4495969
2025-06-12,6.29,6.32,6.21,6.23,13683700.0,0.9956,85.62495845999999
2025-06-13,6.22,6.28,6.18,6.18,14874782.999999998,1.0823,84.93775975
2025-06-16,6.23,6.35,6.19,6.29,17023600.0,1.2386,86.4495969
2025-06-17,6.28,6.39,6.26,6.37,16234272.0,1.1812,87.54911483
2025-06-18,6.38,6.38,6.26,6.31,10700444.0,0.7786,86.72447638
2025-06-19,6.27,6.3,6.17,6.24,12899681.0,0.9386,85.76239819999999
2025-06-20,6.19,6.23,6.17,6.2,9884100.0,0.7192,85.21263923
2025-06-23,6.19,6.24,6.17,6.21,11735200.0,0.8538,85.35007897
2025-06-24,6.2,6.3,6.2,6.29,13484100.0,0.9811,86.4495969
2025-06-25,6.29,6.34,6.26,6.33,13934378.0,1.0139,86.99935586
2025-06-26,6.31,6.35,6.28,6.3,12349200.0,0.8985,86.58703664000001
2025-06-27,6.25,6.43,6.25,6.34,20988679.0,1.5271,87.1367956
2025-06-30,6.39,6.49,6.38,6.45,24531441.0,1.7849,88.64863275
2025-07-01,6.45,6.54,6.4,6.54,28098038.0,2.0444,89.88559042
2025-07-02,6.52,6.53,6.44,6.47,16386500.0,1.1923,88.92351223
2025-07-03,6.48,6.51,6.41,6.46,16921806.0,1.2312,88.78607249000001
2025-07-04,6.46,6.55,6.44,6.47,20466038.0,1.4891,88.92351223
2025-07-07,6.56,6.71,6.51,6.69,44642286.0,3.2481,91.94718653
2025-07-08,6.68,6.68,6.55,6.62,33102932.0,2.4085,90.98510834
2025-07-09,6.59,6.67,6.55,6.56,24409672.0,1.776,90.1604699
2025-07-10,6.59,6.69,6.55,6.6,24512600.0,1.7835,90.71022886
2025-07-11,6.62,6.63,6.54,6.58,21016670.0,1.5292,90.43534938
2025-07-14,6.58,6.67,6.58,6.64,25931100.0,1.8867,91.25998782
2025-07-15,6.64,6.65,6.46,6.51,28465500.0,2.0711,89.4732712
2025-07-16,6.47,6.54,6.46,6.47,15301100.0,1.1133,88.92351223
2025-07-17,6.48,6.49,6.42,6.48,19301800.0,1.4044,89.06095196999999
2025-07-18,6.48,6.54,6.45,6.53,18718200.0,1.3619,89.74815068
2025-07-21,6.51,6.65,6.49,6.63,26585201.0,1.9343,91.12254808
2025-07-22,6.6,6.72,6.56,6.69,33595726.0,2.4444,91.94718653
2025-07-23,6.69,6.74,6.61,6.62,26851824.0,1.9537,90.98510834
2025-07-24,6.61,6.67,6.61,6.65,21993847.0,1.6003,91.39742757
