date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,14.14,14.17,14.04,14.14,2818448.0,0.685,58.17636602
2025-06-04,14.23,14.23,14.04,14.11,1975402.0,0.4801,58.05293668
2025-06-05,14.08,14.15,13.88,13.93,2829000.0,0.6876,57.31236059
2025-06-06,14.02,14.07,13.81,13.94,1974573.0,0.4799,57.353503700000005
2025-06-09,13.91,14.05,13.84,13.92,2308050.0,0.561,57.27121747
2025-06-10,13.92,13.98,13.68,13.8,2009422.0,0.4884,56.77750008
2025-06-11,13.85,14.03,13.79,13.9,1967555.0,0.4782,57.18893124
2025-06-12,13.8,14.12,13.8,14.07,2251745.0,0.5473,57.888364210000006
2025-06-13,14.04,14.25,13.87,13.96,3516569.9999999995,0.8547,57.43578994
2025-06-16,13.96,14.41,13.72,14.41,5293689.0,1.2867,59.28723016
2025-06-17,14.41,15.85,14.38,15.85,15332114.000000002,3.7265,65.21183886
2025-06-18,15.7,17.44,15.52,17.44,21994933.0,5.346,71.7535943
2025-06-19,18.2,19.18,17.72,18.81,41055753.0,9.9788,77.39020119999999
2025-06-20,18.14,20.69,18.0,20.69,36038133.0,8.7592,85.125107
2025-06-23,20.28,22.76,20.1,22.76,34750370.0,8.4462,93.64173202
2025-06-24,22.76,25.04,22.7,25.04,27139693.0,6.5964,103.02236246
2025-06-25,26.0,26.98,23.55,25.3,48967280.0,11.9017,104.09208348
2025-06-26,25.2,27.83,24.3,27.83,32668318.0,7.9402,114.50129183
2025-06-27,27.56,29.98,27.55,28.64,35200140.0,8.5555,117.83388422
2025-06-30,26.82,28.0,25.78,25.78,24350685.0,5.9185,106.06695305
2025-07-01,24.83,25.09,23.58,25.07,23334410.0,5.6715,103.14579181
2025-07-02,24.65,27.58,24.63,27.58,19330630.0,4.6984,113.47271393
2025-07-03,28.36,29.98,28.0,28.0,23020949.0,5.5953,115.2007248
2025-07-04,29.0,29.48,27.51,28.38,16113501.999999998,3.9165,116.76416321
2025-07-07,28.81,29.5,28.38,28.98,13070412.0,3.1768,119.23275017
2025-07-08,28.8,29.02,27.6,28.5,12184714.0,2.9615,117.2578806
2025-07-09,28.93,29.0,28.15,28.8,8620194.0,2.0952,118.49217408
2025-07-10,28.81,31.68,28.6,31.68,18108823.0,4.4014,130.34139149
2025-07-11,31.01,31.68,29.41,30.99,14337624.0,3.4848,127.50251648
2025-07-14,28.3,29.95,28.28,29.12,13575312.0,3.2995,119.80875379
2025-07-15,29.16,29.49,28.84,28.89,6701414.0,1.6288,118.86246212
2025-07-16,29.04,29.15,28.21,28.56,5974291.0,1.4521,117.5047393
2025-07-17,28.71,29.0,28.44,28.53,3767254.0,0.9156,117.38130995
2025-07-18,28.52,29.5,28.22,28.71,6422946.0,1.5611,118.12188604
2025-07-21,28.38,29.05,28.38,28.68,5074301.0,1.2333,117.99845669
2025-07-22,28.4,29.1,28.4,29.05,5033911.0,1.2235,119.52075198
2025-07-23,29.04,30.2,28.85,29.25,6101348.0,1.483,120.3436143
2025-07-24,29.8,30.7,29.24,30.3,9101858.0,2.2122,124.66364148
2025-07-25,30.49,31.3,30.03,31.0,10491690.0,2.55,127.54365959999998
2025-07-28,29.6,29.79,28.58,29.19,12071687.0,2.9341,120.0967556
2025-07-29,28.95,29.28,26.27,26.41,18077391.0,4.3938,108.65896936
2025-07-30,26.91,28.8,26.91,27.48,8152048.0,1.9814,113.06128277
2025-07-31,27.34,29.0,27.34,28.94,10183409.0,2.4751,119.0681777
2025-08-01,28.58,29.87,28.53,28.77,4976780.0,1.2096,118.36874473000002
2025-08-04,28.77,29.45,28.1,29.42,6460954.0,1.5704,121.04304727
2025-08-05,29.63,30.89,29.53,30.5,7214937.0,1.7536,125.4865038
2025-08-06,30.16,30.5,29.79,30.22,6474588.0,1.5737,124.33449655
2025-08-07,30.5,31.51,30.4,31.3,6938483.0,1.6864,128.77795308
2025-08-08,32.0,34.39,31.6,32.82,14279812.0,3.4708,135.03170671
2025-08-11,33.33,36.1,33.33,36.1,14929914.000000002,3.6288,148.52664876
2025-08-12,37.0,39.71,36.82,39.71,19622333.0,4.7693,163.37931364
2025-08-13,42.0,43.68,41.08,43.68,19776802.0,4.8068,179.71313069
2025-08-14,45.0,47.99,39.71,46.27,29801469.0,7.2434,190.36919773
2025-08-15,46.0,50.9,46.0,50.9,20453387.0,4.9713,209.41846044
2025-08-18,52.16,53.0,47.15,50.1,28249633.0,6.8662,206.12701116
2025-08-19,50.1,53.0,48.62,51.19,22361398.0,5.435,210.6116108
2025-08-20,51.0,51.99,50.16,51.15,11806275.0,2.8696,210.44703834
2025-08-21,51.15,54.23,51.01,51.45,13229485.999999998,3.2155,211.68133182
2025-08-22,51.33,52.46,49.55,49.55,12334964.0,2.9981,203.86413978
2025-08-25,50.63,54.51,50.63,54.51,9283983.0,2.2565,224.27112532
2025-08-26,58.31,59.96,57.24,59.96,14462120.000000002,3.5151,246.69412354
2025-08-27,60.15,62.94,58.0,61.2,22878280.0,5.5607,251.79586992
2025-08-28,55.2,59.2,55.09,56.48,22112298.0,5.3745,232.37631917
2025-08-29,56.5,59.88,55.0,59.13,14400915.0,3.5002,243.27924491
2025-09-01,59.53,62.84,56.09,60.1,15956010.999999998,3.8782,247.27012716
2025-09-02,60.07,61.35,58.0,59.41,12409174.0,3.0161,244.43125216
2025-09-03,60.52,61.3,58.67,60.01,7873227.0,1.9136,246.89983912
2025-09-04,60.6,62.88,55.75,57.74,13814804.0,3.3577,237.56035178
2025-09-05,57.0,60.69,55.52,60.29,10967443.0,2.6657,248.05184636
2025-09-08,60.25,62.3,59.7,61.75,9554772.0,2.3223,254.0587413
