date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,11.08,11.49,11.05,11.47,23063226.0,1.2607,209.83830337
2025-06-04,11.4,11.68,11.39,11.65,25884441.0,1.4149,213.13131947
2025-06-05,11.68,11.69,11.44,11.53,20115579.0,1.0995,210.93597541
2025-06-06,11.58,11.68,11.52,11.6,15754785.999999998,0.8612,212.21659278
2025-06-09,11.64,11.87,11.6,11.8,19431499.0,1.0621,215.87549955000003
2025-06-10,11.8,12.03,11.76,11.94,29882246.000000004,1.6334,218.43673429
2025-06-11,11.95,12.0,11.76,11.77,18949217.0,1.0358,215.32666353000002
2025-06-12,11.79,11.91,11.76,11.89,16586109.0,0.9066,217.5220076
2025-06-13,11.89,11.96,11.6,11.66,17787471.0,0.9723,213.31426481
2025-06-16,11.69,11.71,11.41,11.44,18159920.0,0.9926,209.28946736
2025-06-17,11.48,11.62,11.25,11.3,18446217.0,1.0083,206.72823262
2025-06-18,11.25,11.29,11.01,11.03,17267285.0,0.9438,201.78870848
2025-06-19,11.03,11.08,10.92,10.96,14580917.000000002,0.797,200.50809110999998
2025-06-20,10.96,11.0,10.89,10.92,11829624.0,0.6466,199.77630975
2025-06-23,10.85,10.92,10.76,10.89,12465099.0,0.6814,199.22747374
2025-06-24,10.95,11.01,10.92,11.0,14969960.0,0.8183,201.23987246000002
2025-06-25,11.03,11.08,10.92,11.03,14341341.0,0.7839,201.78870848
2025-06-26,11.03,11.03,10.88,10.9,13395293.0,0.7322,199.41041907
2025-06-27,10.9,11.06,10.9,11.04,15767622.0,0.8619,201.97165381
2025-06-30,11.0,11.08,10.92,11.03,16037854.0,0.8766,201.78870848
2025-07-01,11.03,11.19,10.98,11.17,18736247.0,1.0241,204.34994322
2025-07-02,11.19,11.3,11.03,11.1,17781319.0,0.9719,203.06932585
2025-07-03,11.09,11.17,11.06,11.15,15315379.999999998,0.8372,203.98405254
2025-07-04,11.22,11.65,11.22,11.59,42535667.0,2.325,212.03364744
2025-07-07,11.58,11.79,11.43,11.44,28123471.000000004,1.5373,209.28946736
2025-07-08,11.43,11.63,11.34,11.38,24613939.0,1.3454,208.19179533
2025-07-09,11.42,11.57,11.3,11.49,21856151.0,1.1947,210.20419405
