date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,9.52,9.79,9.52,9.56,19411342.0,2.1431,86.59233493
2025-06-04,9.57,9.68,9.52,9.63,14581744.0,1.6099,87.22637922
2025-06-05,9.66,9.9,9.63,9.89,30201519.0,3.3343,89.58140087999999
2025-06-06,9.9,9.92,9.74,9.8,19614459.0,2.1655,88.76620108
2025-06-09,9.85,9.95,9.78,9.89,20090363.0,2.218,89.58140087999999
2025-06-10,9.88,9.94,9.5,9.65,26062534.0,2.8774,87.40753473000001
2025-06-11,9.63,9.81,9.6,9.67,16908330.0,1.8667,87.58869025
2025-06-12,9.66,9.88,9.56,9.76,21187471.0,2.3391,88.40389005
2025-06-13,9.73,9.73,9.41,9.42,23768797.0,2.6241,85.32424634
2025-06-16,9.41,9.67,9.39,9.65,21395718.0,2.3621,87.40753473000001
2025-06-17,9.65,9.85,9.57,9.75,22372862.0,2.47,88.3133123
2025-06-18,9.69,9.78,9.64,9.72,16825658.0,1.8576,88.04157903
2025-06-19,9.72,9.8,9.41,9.44,22945879.0,2.5333,85.50540185
2025-06-20,9.42,9.49,9.18,9.19,20385119.0,2.2506,83.24095795
2025-06-23,9.12,9.63,9.08,9.58,24771260.0,2.7348,86.77349044
2025-06-24,9.56,9.84,9.56,9.81,27907476.0,3.0811,88.85677883
2025-06-25,9.85,10.06,9.7,10.05,34400052.0,3.7978,91.03064497999999
2025-06-26,10.05,11.1,9.93,11.09,138118209.0,15.2486,100.45073162999999
2025-06-27,11.16,11.53,10.81,10.98,129294368.0,14.2744,99.45437631
2025-06-30,10.86,11.15,10.8,10.9,68559117.0,7.5691,98.72975426
2025-07-01,10.88,10.92,10.4,10.56,74601268.0,8.2362,95.65011055
2025-07-02,10.62,10.64,10.28,10.36,44336586.0,4.8949,93.83855542
2025-07-03,10.34,10.46,10.24,10.35,35874256.0,3.9606,93.74797767000001
2025-07-04,10.35,10.46,10.16,10.22,47571975.0,5.2521,92.57046684
2025-07-07,10.19,10.38,10.17,10.28,29146812.0,3.2179,93.11393337
2025-07-08,10.28,10.49,10.19,10.46,38735900.0,4.2765,94.74433299
2025-07-09,10.46,10.49,10.31,10.34,32978513.0,3.6409,93.65739991
2025-07-10,10.27,10.36,10.22,10.25,24988334.0,2.7588,92.84220011
2025-07-11,10.26,10.75,10.21,10.66,78876700.0,8.7082,96.55588811
2025-07-14,10.25,10.3,9.97,10.06,66081453.0,7.2955,91.12122274
2025-07-15,10.01,10.14,9.87,10.12,40072810.0,4.4241,91.66468927
2025-07-16,10.13,10.32,10.04,10.07,34915702.0,3.8548,91.21180049
2025-07-17,10.07,10.26,10.01,10.24,33431449.0,3.6909,92.75162234999999
2025-07-18,10.26,10.43,10.18,10.2,27727282.0,3.0612,92.38931132
2025-07-21,10.19,10.25,10.11,10.22,24371307.0,2.6907,92.57046684
2025-07-22,10.19,10.22,9.96,10.03,32776628.999999996,3.6186,90.84948947
2025-07-23,10.04,10.07,9.93,9.94,25683040.0,2.8355,90.03428966
2025-07-24,9.98,10.13,9.95,10.12,23388905.0,2.5822,91.66468927
2025-07-25,10.14,10.49,10.05,10.25,43440464.0,4.7959,92.84220011
2025-07-28,10.25,10.3,10.1,10.29,32524059.000000004,3.5907,93.20451113
2025-07-29,10.24,10.26,10.04,10.25,27688270.0,3.0569,92.84220011
2025-07-30,10.28,10.37,10.06,10.14,35369358.0,3.9049,91.84584479
2025-07-31,10.1,10.33,10.06,10.16,40581881.0,4.4803,92.0270003
2025-08-01,10.17,10.44,10.07,10.34,51834669.0,5.7227,93.65739991
2025-08-04,10.26,10.39,10.19,10.39,30083730.0,3.3213,94.11028869
2025-08-05,10.4,10.89,10.23,10.59,64655567.00000001,7.1381,95.92184381999999
2025-08-06,11.21,12.71,10.77,12.71,253443279.0,27.9807,115.12432813
2025-08-07,12.89,13.29,12.18,12.27,285278827.0,31.4955,111.13890686
2025-08-08,12.02,12.22,11.45,11.63,172327712.0,19.0254,105.34193045999999
2025-08-11,11.65,12.55,11.65,12.23,180369261.0,19.9132,110.77659583
2025-08-12,12.07,12.57,11.85,11.98,110879989.99999999,12.2414,108.51215193
2025-08-13,11.92,12.3,11.73,12.04,106315348.0,11.7375,109.05561846
2025-08-14,12.25,12.41,11.74,11.74,111919267.0,12.3562,106.33828578
2025-08-15,11.61,12.14,11.61,12.1,92040382.0,10.1615,109.599085
2025-08-18,12.19,12.75,12.1,12.5,139082653.0,15.3551,113.22219524999998
2025-08-19,12.39,12.96,12.27,12.48,114641544.0,12.6567,113.04103973999999
2025-08-20,12.36,12.41,12.01,12.35,72477939.0,8.0017,111.86352891
2025-08-21,12.34,12.63,12.13,12.3,60771042.00000001,6.7093,111.41064013
2025-08-22,12.42,12.58,12.3,12.53,80039703.0,8.8366,113.49392852
2025-08-25,12.71,12.87,12.41,12.53,91033509.0,10.0503,113.49392852
2025-08-26,12.5,12.78,12.38,12.55,72774573.0,8.0345,113.67508403000001
2025-08-27,12.71,12.81,12.05,12.05,80155113.0,8.8493,109.14619622
2025-08-28,12.07,12.48,11.9,12.48,68474174.0,7.5597,113.04103973999999
2025-08-29,12.21,12.3,11.76,11.98,74919335.0,8.2713,108.51215193
2025-09-01,11.96,12.24,11.76,11.81,48625520.0,5.3684,106.97233007
2025-09-02,11.8,11.81,11.13,11.3,61801502.0,6.823,102.35286451
2025-09-03,11.32,11.35,10.74,10.8,45329872.0,5.0045,97.8239767
2025-09-04,10.86,10.96,10.28,10.51,47073246.0,5.197,95.19722177
2025-09-05,10.6,10.72,10.4,10.71,36735899.0,4.0557,97.00877689000001
2025-09-08,10.69,10.82,10.59,10.78,37289537.0,4.1169,97.64282118
2025-09-09,10.79,10.82,10.42,10.46,31259765.000000004,3.4512,94.74433299
2025-09-10,10.54,10.72,10.5,10.55,27871619.0,3.0771,95.55953279
2025-09-11,10.82,11.06,10.63,11.06,61280343.00000001,6.7655,100.17899836000001
2025-09-12,11.1,11.35,10.95,10.95,50189317.0,5.541,99.18264304
2025-09-15,10.91,11.05,10.77,10.85,28861809.000000004,3.1864,98.27686548
2025-09-16,10.92,11.35,10.85,11.24,48236538.0,5.3254,101.80939797
2025-09-17,11.15,11.19,11.0,11.09,32308770.0,3.567,100.45073162999999
2025-09-18,11.07,11.32,10.71,10.83,47487013.0,5.2427,98.09570996
2025-09-19,10.84,11.04,10.66,10.67,31205444.0,3.4452,96.64646587
2025-09-22,10.75,11.19,10.74,11.03,40877657.0,4.513,99.90726509
2025-09-23,11.06,11.08,10.44,10.7,42317395.0,4.6719,96.91819913
2025-09-24,10.64,11.14,10.55,11.11,47904491.0,5.2888,100.63188713999999
2025-09-25,11.11,11.31,11.02,11.14,40357042.0,4.4555,100.90362041
2025-09-26,11.08,11.09,10.68,10.68,38692816.0,4.2718,96.73704362
2025-09-29,10.77,10.87,10.59,10.81,25101387.0,2.7713,97.91455445
2025-09-30,10.9,11.08,10.87,10.88,26072651.0,2.8785,98.54859875000001
2025-10-09,10.91,11.19,10.85,11.07,32916159.999999996,3.634,100.26957611
2025-10-10,11.07,11.35,10.97,11.18,53273668.00000001,5.8815,101.26593143
2025-10-13,10.83,11.55,10.78,11.55,69181653.0,7.6378,104.61730840999999
2025-10-14,11.55,11.59,11.12,11.17,50389074.0,5.5631,101.17535368
2025-10-15,11.16,11.32,10.93,11.25,33838073.0,3.7358,101.89997573000001
2025-10-16,11.14,11.16,10.95,10.99,27611569.0,3.0484,99.54495406
2025-10-17,10.99,11.04,10.35,10.37,34835678.0,3.8459,93.92913318000001
2025-10-20,10.52,10.64,10.38,10.49,20995932.0,2.318,95.01606625
2025-10-21,10.5,10.55,10.4,10.5,20895702.0,2.3069,95.10664401
2025-10-22,10.48,10.48,10.25,10.3,21618518.0,2.3867,93.29508889
2025-10-23,10.3,10.34,9.99,10.33,24423549.0,2.6964,93.56682215
2025-10-24,10.37,10.44,10.31,10.34,17716978.0,1.956,93.65739991
2025-10-27,10.43,10.47,10.3,10.31,21411491.0,2.3639,93.38566664
2025-10-28,10.3,10.47,10.18,10.33,20532521.0,2.2668,93.56682215
2025-10-29,10.3,10.32,10.1,10.18,23867950.0,2.6351,92.20815581000001
2025-10-30,10.14,10.4,10.02,10.15,29665446.000000004,3.2751,91.93642254
2025-10-31,10.12,10.74,10.11,10.56,46033099.0,5.0822,95.65011055
2025-11-03,10.62,10.65,10.5,10.64,22342315.0,2.4666,96.3747326
2025-11-04,10.58,10.58,10.44,10.51,17689788.0,1.953,95.19722177
2025-11-05,10.4,10.5,10.21,10.32,23491711.0,2.5935,93.4762444
2025-11-06,10.38,10.38,10.18,10.32,18487579.0,2.0411,93.4762444
2025-11-07,10.35,10.36,10.19,10.2,19239400.0,2.1241,92.38931132
2025-11-10,10.28,10.37,10.22,10.34,17599872.0,1.9431,93.65739991
2025-11-11,10.34,10.37,10.16,10.18,16233653.0,1.7922,92.20815581000001
2025-11-12,10.22,10.22,10.02,10.03,17047219.0,1.8821,90.84948947
2025-11-13,10.08,10.17,10.0,10.16,14831551.0,1.6374,92.0270003
2025-11-14,10.1,10.17,10.0,10.01,14299016.0,1.5786,90.66833396
2025-11-17,10.19,11.84,10.19,11.3,130715452.0,14.4313,102.35286451
2025-11-18,11.3,11.58,11.18,11.49,113893795.0,12.5741,104.07384187000001
2025-11-19,11.39,11.42,11.04,11.15,66218555.00000001,7.3107,100.99419816000001
2025-11-20,11.23,12.0,11.13,11.56,119595394.0,13.2036,104.70788617
2025-11-21,11.36,11.65,11.0,11.05,85955461.0,9.4897,100.0884206
2025-11-24,11.05,11.38,10.59,11.27,66998643.99999999,7.3968,102.08113124
2025-11-25,11.22,11.57,11.22,11.36,60538453.0,6.6836,102.89633103999999
2025-11-26,11.3,11.44,11.08,11.1,46717069.0,5.1577,100.54130938
2025-11-27,11.06,11.07,10.81,10.82,39214044.0,4.3293,98.00513221
2025-11-28,10.89,11.09,10.73,10.95,37405361.0,4.1296,99.18264304
2025-12-01,10.91,10.94,10.7,10.91,31257319.0,3.4509,98.82033201
2025-12-02,10.88,10.88,10.61,10.65,30534680.0,3.3711,96.46531035
2025-12-03,10.65,10.65,10.12,10.15,47987925.0,5.298,91.93642254
2025-12-04,10.16,10.22,9.95,9.96,32003815.999999996,3.5333,90.21544518
2025-12-05,10.01,10.15,9.85,10.13,24442068.0,2.6985,91.75526703
2025-12-08,10.12,10.22,10.08,10.14,23784912.0,2.6259,91.84584479
2025-12-09,10.12,10.24,10.02,10.04,21076502.0,2.3269,90.94006722
2025-12-10,10.02,10.04,9.89,10.02,19620246.0,2.1661,90.75891171
2025-12-11,10.05,10.06,9.72,9.73,27927992.0,3.0833,88.13215678
2025-12-12,9.7,9.9,9.7,9.83,18205193.0,2.0099,89.03793434
2025-12-15,9.79,9.86,9.64,9.67,14959137.0,1.6515,87.58869025
2025-12-16,9.72,9.74,9.49,9.51,16926589.0,1.8687,86.13944615
2025-12-17,9.58,9.66,9.39,9.66,21939362.0,2.4222,87.49811249000001
2025-12-18,9.55,9.73,9.5,9.63,13695620.000000002,1.512,87.22637922
2025-12-19,9.65,9.75,9.62,9.72,14893785.0,1.6443,88.04157903
2025-12-22,9.84,10.04,9.8,9.86,28962913.0,3.1976,89.30966761
2025-12-23,9.81,9.83,9.63,9.65,18605903.0,2.0541,87.40753473000001
2025-12-24,9.65,9.77,9.61,9.77,12742226.0,1.4068,88.49446781
2025-12-25,9.84,9.85,9.76,9.84,14086972.0,1.5552,89.12851210000001
2025-12-26,9.8,10.03,9.78,9.93,24919260.0,2.7511,89.94371191
2025-12-29,9.91,10.02,9.86,9.99,18158419.0,2.0047,90.48717844
2025-12-30,9.96,10.13,9.91,10.04,19972209.0,2.205,90.94006722
2025-12-31,10.04,10.25,9.98,10.22,28779934.999999996,3.1774,92.57046684
2026-01-05,10.3,10.44,10.18,10.42,39300394.0,4.3389,94.38202195999999
2026-01-06,10.33,10.49,10.28,10.49,33094190.999999996,3.6537,95.01606625
2026-01-07,10.45,10.46,10.26,10.33,28631548.0,3.161,93.56682215
2026-01-08,10.64,10.83,10.52,10.64,54435993.00000001,6.0099,96.3747326
2026-01-09,10.59,11.15,10.55,11.15,66575597.0,7.3501,100.99419816000001
2026-01-12,11.2,12.07,11.19,11.91,88479057.0,9.7683,107.87810763
2026-01-13,12.0,12.03,11.43,11.47,79604845.0,8.7886,103.89268636
2026-01-14,12.36,12.79,11.8,12.07,154703275.0,17.0796,109.32735172999999
2026-01-15,11.76,12.09,11.6,11.78,82216363.0,9.0769,106.70059680000001
2026-01-16,11.68,11.71,11.23,11.35,63549506.99999999,7.016,102.80575329
2026-01-19,11.21,11.39,11.02,11.08,38440834.0,4.244,100.36015387
2026-01-20,11.17,11.25,10.71,10.85,37053768.0,4.0908,98.27686548
2026-01-21,10.72,10.97,10.67,10.75,28148449.0,3.1077,97.37108792
2026-01-22,10.81,11.01,10.73,10.95,31797300.0,3.5105,99.18264304
2026-01-23,10.93,11.15,10.85,11.11,33426878.999999996,3.6904,100.63188713999999
2026-01-26,11.16,11.39,10.85,11.15,51764802.0,5.715,100.99419816000001
2026-01-27,11.01,11.24,10.75,11.02,38932531.0,4.2982,99.81668733
2026-01-28,11.21,11.58,11.04,11.07,62520667.00000001,6.9024,100.26957611
2026-01-29,10.96,11.55,10.7,11.14,68208542.0,7.5304,100.90362041
2026-01-30,11.02,11.16,10.75,10.82,40689786.0,4.4922,98.00513221
2026-02-02,10.71,10.92,10.48,10.48,37150428.0,4.1015,94.9254885
2026-02-03,10.65,10.95,10.61,10.92,37599513.0,4.1511,98.91090977
2026-02-04,10.9,10.9,10.39,10.55,42165504.0,4.6552,95.55953279
2026-02-05,10.43,10.67,10.35,10.54,27484933.0,3.0344,95.46895503
2026-02-06,10.4,10.55,10.23,10.34,34998085.0,3.8639,93.65739991
2026-02-09,10.69,12.41,10.59,12.07,212690161.0,23.4815,109.32735172999999
2026-02-10,12.28,13.18,11.85,12.83,237146631.99999997,26.1816,116.2112612
2026-02-11,12.86,14.49,12.73,13.9,239765459.0,26.4707,125.90308112000001
2026-02-12,15.0,15.77,14.5,15.31,240971709.0,26.6039,138.67454474
2026-02-13,15.31,15.72,14.1,14.38,219795154.99999997,24.2659,130.25081342
2026-02-24,14.58,14.76,13.34,13.49,142896040.0,15.7761,122.18939311
2026-02-25,13.55,13.71,13.05,13.13,105362525.0,11.6323,118.92859389
2026-02-26,13.2,13.77,12.98,13.38,144405906.0,15.9428,121.1930378
2026-02-27,13.21,14.28,13.06,13.72,143293501.0,15.8199,124.27268151
2026-03-02,13.49,13.66,12.78,12.83,109767938.99999999,12.1186,116.2112612
2026-03-03,12.98,13.01,11.97,12.05,93686899.0,10.3433,109.14619622
2026-03-04,12.0,12.28,11.91,12.1,70761418.0,7.8122,109.599085
2026-03-05,12.6,12.6,11.92,12.02,82305557.0,9.0867,108.87446295000001
2026-03-06,11.86,12.98,11.75,12.7,122941689.99999999,13.5731,115.03375037
2026-03-09,12.4,13.44,12.18,13.23,128399863.99999999,14.1757,119.83437145
2026-03-10,13.39,13.72,12.91,13.25,104983296.0,11.5904,120.01552697000001
2026-03-11,13.18,13.9,13.06,13.14,102952722.0,11.3662,119.01917165
2026-03-12,13.29,13.6,13.01,13.12,94118232.0,10.3909,118.83801613
2026-03-13,12.94,12.97,12.06,12.1,91554989.0,10.1079,109.599085
2026-03-16,12.27,12.63,11.89,12.58,74924998.0,8.2719,113.94681729999999
2026-03-17,12.76,14.18,12.62,13.45,173252529.0,19.1275,121.82708208999999
2026-03-18,14.0,16.14,14.0,15.65,337073135.0,37.2137,141.75418845
2026-03-19,15.22,17.33,15.04,16.36,311703789.0,34.4128,148.18520914
2026-03-20,16.07,16.36,14.26,14.38,236792421.0,26.1424,130.25081342
2026-03-23,14.21,14.85,13.79,14.05,163264481.0,18.0248,127.26174746000001
2026-03-24,14.18,14.43,13.49,14.34,189412173.0,20.9116,129.88850238999999
2026-03-25,14.57,16.15,14.51,15.62,206668992.0,22.8167,141.48245518
2026-03-26,15.45,15.57,14.42,14.5,126157233.0,13.9281,131.33774649
2026-03-27,14.1,14.8,13.87,14.27,96697105.0,10.6756,129.2544581
2026-03-30,13.72,14.75,13.35,14.61,112757471.0,12.4487,132.33410181
2026-03-31,14.41,14.68,14.02,14.15,80167944.0,8.8507,128.16752502
2026-04-01,14.85,15.94,14.55,14.92,156419035.0,17.269,135.14201225
2026-04-02,14.94,15.0,13.74,13.92,124929004.0,13.7925,126.08423663
2026-04-03,14.3,15.66,14.02,14.9,188654637.0,20.8279,134.96085674
2026-04-07,15.1,15.55,14.64,14.72,146541498.0,16.1785,133.33045712999998
2026-04-08,15.65,17.25,15.55,16.93,218859468.00000003,24.1626,153.34814125
2026-04-09,16.01,16.3,15.71,16.03,182669579.0,20.1672,145.19614319
2026-04-10,16.7,17.18,15.86,15.89,179320271.0,19.7974,143.9280546
2026-04-13,16.01,17.85,15.71,17.0,217760775.99999997,24.0413,153.98218554
