date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.41,3.44,3.4,3.43,4983700.0,0.2141,79.8310171
2025-06-04,3.42,3.52,3.42,3.51,9484800.0,0.4075,81.69296503
2025-06-05,3.54,3.72,3.53,3.64,30368200.0,1.3048,84.7186304
2025-06-06,3.62,3.77,3.62,3.73,27259090.999999996,1.1712,86.81332181
2025-06-09,3.76,3.77,3.67,3.7,18330700.0,0.7876,86.11509133999999
2025-06-10,3.7,3.72,3.61,3.66,19530800.0,0.8392,85.18411738
2025-06-11,3.66,3.77,3.65,3.73,15496129.999999998,0.6658,86.81332181
2025-06-12,3.72,3.82,3.71,3.79,18300930.0,0.7863,88.20978275
2025-06-13,3.77,3.81,3.72,3.72,17220161.0,0.7399,86.58057832
2025-06-16,3.7,3.74,3.69,3.71,11114100.0,0.4775,86.34783483
2025-06-17,3.72,3.82,3.71,3.82,16420466.0,0.7055,88.90801322
2025-06-18,3.81,3.87,3.77,3.8,23213200.0,0.9974,88.44252624
2025-06-19,3.79,3.85,3.7,3.72,18032792.0,0.7748,86.58057832
2025-06-20,3.71,3.76,3.67,3.68,11249085.0,0.4833,85.64960436
2025-06-23,3.65,3.74,3.64,3.74,12539374.0,0.5388,87.04606530000001
2025-06-24,3.76,3.78,3.73,3.76,13000892.0,0.5586,87.51155228
2025-06-25,3.76,3.83,3.76,3.81,15829500.0,0.6801,88.67526973
2025-06-26,3.81,3.82,3.76,3.81,16278800.0,0.6994,88.67526973
2025-06-27,3.81,4.04,3.79,3.96,31367100.0,1.3477,92.16642208
2025-06-30,4.01,4.05,3.94,3.96,22833100.0,0.981,92.16642208
2025-07-01,3.97,4.08,3.93,4.06,28011200.0,1.2035,94.49385698
2025-07-02,4.04,4.1,3.97,4.01,22982200.0,0.9874,93.33013953
2025-07-03,4.01,4.03,3.95,3.97,17129400.0,0.736,92.39916557
2025-07-04,3.97,3.99,3.93,3.93,13132200.0,0.5642,91.46819161
2025-07-07,3.93,4.03,3.92,4.01,15624800.0,0.6713,93.33013953
2025-07-08,4.01,4.04,4.0,4.04,13235140.0,0.5687,94.02837
2025-07-09,4.03,4.23,4.02,4.12,33656700.0,1.4461,95.89031792
2025-07-10,4.13,4.17,4.09,4.1,20894100.0,0.8977,95.42483094
2025-07-11,4.08,4.13,4.08,4.08,16051900.0,0.6897,94.95934396
2025-07-14,4.08,4.15,4.07,4.08,13488200.0,0.5795,94.95934396
2025-07-15,4.1,4.1,3.97,4.04,20064354.0,0.8621,94.02837
2025-07-16,4.04,4.08,4.02,4.08,11396800.0,0.4897,94.95934396
2025-07-17,4.06,4.11,4.05,4.05,10848300.0,0.4661,94.26111349
2025-07-18,4.06,4.1,4.04,4.07,10725600.0,0.4608,94.72660047000001
2025-07-21,4.07,4.1,4.06,4.09,11381900.0,0.489,95.19208745
2025-07-22,4.09,4.18,4.07,4.13,20530662.0,0.8821,96.12306141
2025-07-23,4.15,4.15,4.04,4.04,19691400.0,0.8461,94.02837
2025-07-24,4.05,4.08,4.03,4.08,11282300.0,0.4848,94.95934396
2025-07-25,4.09,4.09,4.05,4.06,9662200.0,0.4151,94.49385698
2025-07-28,4.0,4.03,3.98,4.01,17567400.0,0.7548,93.33013953
2025-07-29,4.02,4.02,3.96,4.0,13656500.0,0.5868,93.09739603999999
2025-07-30,3.99,4.0,3.95,3.96,11678800.0,0.5018,92.16642208
2025-07-31,3.96,4.0,3.94,3.95,10583600.0,0.4547,91.93367859
2025-08-01,3.95,3.98,3.91,3.97,8756600.0,0.3762,92.39916557
2025-08-04,3.96,4.04,3.95,4.04,10157600.0,0.4364,94.02837
2025-08-05,4.03,4.13,4.02,4.1,15433600.0,0.6631,95.42483094
2025-08-06,4.11,4.18,4.08,4.17,21584000.0,0.9274,97.05403537
2025-08-07,4.16,4.33,4.15,4.19,30014400.0,1.2896,97.51952235
2025-08-08,4.17,4.26,4.17,4.19,16972700.0,0.7292,97.51952235
2025-08-11,4.2,4.31,4.19,4.27,15823498.000000002,0.6799,99.38147027000001
2025-08-12,4.25,4.3,4.22,4.25,15316600.0,0.6581,98.91598329
2025-08-13,4.26,4.35,4.25,4.34,22368900.0,0.9611,101.0106747
2025-08-14,4.36,4.4,4.23,4.25,25972900.0,1.1159,98.91598329
2025-08-15,4.25,4.4,4.25,4.4,27067684.999999996,1.163,102.40713564
2025-08-18,4.41,4.96,4.41,4.69,59415105.00000001,2.5528,109.15669686
2025-08-19,4.71,4.91,4.71,4.77,42686692.0,1.8341,111.01864478
2025-08-20,4.79,4.87,4.7,4.84,28234659.999999996,1.2131,112.64784920999999
2025-08-21,4.84,4.85,4.74,4.75,25657700.0,1.1024,110.5531578
2025-08-22,4.74,4.85,4.74,4.79,17646836.0,0.7582,111.48413176
2025-08-25,4.85,5.09,4.81,4.99,39155657.0,1.6824,116.13900156000001
2025-08-26,5.01,5.09,4.95,5.02,27749948.0,1.1923,116.83723203
2025-08-27,5.01,5.5,5.01,5.18,60972879.0,2.6197,120.56112786999999
2025-08-28,5.22,5.45,5.06,5.33,61735273.0,2.6525,124.05228022
2025-08-29,5.3,5.3,5.05,5.11,48655611.0,2.0905,118.93192343999999
2025-09-01,5.09,5.17,4.99,5.05,33514000.0,1.44,117.5354625
2025-09-02,5.01,5.13,4.96,5.01,28287905.0,1.2154,116.60448854
2025-09-03,5.04,5.09,4.96,5.0,19708285.0,0.8468,116.37174505
2025-09-04,5.04,5.09,4.82,4.89,32942400.0,1.4154,113.81156666000001
2025-09-05,4.92,5.04,4.91,5.04,25160800.0,1.0811,117.30271901
2025-09-08,5.08,5.28,5.05,5.17,32308657.0,1.3882,120.32838437999999
2025-09-09,5.15,5.18,5.05,5.07,25452220.0,1.0936,118.00094948
2025-09-10,5.18,5.37,5.16,5.32,41966800.0,1.8031,123.81953673000001
2025-09-11,5.35,5.35,5.22,5.31,28476692.0,1.2235,123.58679324
2025-09-12,5.28,5.51,5.28,5.41,33103296.000000004,1.4223,125.91422813999999
2025-09-15,5.39,5.57,5.38,5.48,26787461.0,1.1509,127.54343257
2025-09-16,5.49,5.54,5.41,5.47,19869315.0,0.8537,127.31068907999999
2025-09-17,5.48,5.5,5.25,5.29,35128800.0,1.5093,123.12130626000001
2025-09-18,5.3,5.33,5.15,5.19,29171638.0,1.2534,120.79387136
2025-09-19,5.2,5.22,5.08,5.12,19618953.0,0.8429,119.16466693
2025-09-22,5.15,5.26,5.11,5.25,20103800.0,0.8638,122.19033230000001
2025-09-23,5.28,5.28,5.05,5.15,26191514.0,1.1253,119.8628974
2025-09-24,5.11,5.17,5.08,5.15,14481153.0,0.6222,119.8628974
2025-09-25,5.15,5.18,5.08,5.1,17274900.0,0.7422,118.69917995
2025-09-26,5.09,5.15,5.02,5.03,17404415.0,0.7478,117.06997552
2025-09-29,5.03,5.07,4.93,5.05,17916464.0,0.7698,117.5354625
2025-09-30,5.1,5.2,5.1,5.19,21471021.0,0.9225,120.79387136
2025-10-09,5.25,5.34,5.18,5.24,20681953.0,0.8886,121.95758881
2025-10-10,5.27,5.32,5.21,5.23,14404496.0,0.6189,121.72484532000001
2025-10-13,4.99,5.15,4.99,5.12,16839096.0,0.7235,119.16466693
2025-10-14,5.18,5.21,5.06,5.07,12430296.0,0.5341,118.00094948
2025-10-15,5.04,5.13,5.04,5.13,9261021.0,0.3979,119.39741042
2025-10-16,5.2,5.41,5.2,5.3,34663600.0,1.4893,123.35404975
2025-10-17,5.25,5.34,5.16,5.17,20342300.0,0.874,120.32838437999999
2025-10-20,5.22,5.29,5.18,5.26,14561620.000000002,0.6257,122.42307579000001
2025-10-21,5.28,5.29,5.24,5.27,11421300.0,0.4907,122.65581928
2025-10-22,5.27,5.34,5.24,5.3,14364800.0,0.6172,123.35404975
2025-10-23,5.29,5.34,5.23,5.33,14616300.0,0.628,124.05228022
2025-10-24,5.35,5.49,5.33,5.44,22388400.0,0.9619,126.61245860999999
2025-10-27,5.5,5.53,5.41,5.44,18375037.0,0.7895,126.61245860999999
2025-10-28,5.49,5.49,5.4,5.42,19994300.0,0.8591,126.14697163
2025-10-29,5.37,5.41,5.28,5.36,21352600.0,0.9174,124.75051069
2025-10-30,5.33,5.42,5.28,5.28,17901000.0,0.7691,122.88856277000001
2025-10-31,5.28,5.39,5.28,5.38,16487200.0,0.7084,125.21599767
2025-11-03,5.39,5.44,5.36,5.39,19047980.0,0.8184,125.44874116
2025-11-04,5.4,5.44,5.38,5.43,15153400.0,0.6511,126.37971512
2025-11-05,5.38,5.46,5.34,5.44,15777400.0,0.6779,126.61245860999999
2025-11-06,5.4,5.42,5.31,5.33,27232800.0,1.1701,124.05228022
2025-11-07,5.31,5.36,5.28,5.33,13089000.0,0.5624,124.05228022
2025-11-10,5.34,5.39,5.32,5.38,13467300.0,0.5786,125.21599767
2025-11-11,5.4,5.89,5.39,5.8,61602515.0,2.6468,134.99122426
2025-11-12,5.82,5.94,5.74,5.88,39467500.0,1.6958,136.85317218
2025-11-13,5.89,6.24,5.89,6.16,50417383.0,2.1662,143.3699899
2025-11-14,6.1,6.74,6.08,6.44,63607802.0,2.733,149.88680762
2025-11-17,6.49,6.69,6.21,6.54,51686001.0,2.2207,152.21424253
2025-11-18,6.44,6.59,6.31,6.34,33531274.0,1.4407,147.55937272
