date,open,high,low,close,volume
2026-04-21,99.72,100.99,75.0,76.65,129928415.0
2026-04-22,76.01,96.22,75.02,95.0,94285134.0
2026-04-23,94.5,102.5,88.6,88.6,66385111.0
2026-04-24,90.5,103.0,86.1,93.82,66841683.0
2026-04-27,96.5,102.33,96.5,101.1,55228890.0
2026-04-28,100.0,100.0,91.72,93.0,55001485.0
2026-04-29,91.07,94.33,86.87,92.5,40984367.0
2026-04-30,93.79,107.0,91.0,103.0,59862912.0
2026-05-06,108.13,115.4,103.7,107.1,66539863.0
2026-05-07,106.2,122.9,105.01,119.0,52821449.0
2026-05-08,115.0,129.2,113.88,127.0,48913393.0
2026-05-11,134.6,149.5,127.0,144.5,54239018.0
2026-05-12,139.01,144.78,133.38,137.3,47304870.0
2026-05-13,133.0,160.08,133.0,155.45,45630820.0
2026-05-14,159.89,169.0,150.01,154.8,46145803.0
2026-05-15,158.04,185.0,150.0,183.84,56521339.0
2026-05-18,174.0,189.99,173.1,188.1,48993763.0
2026-05-19,180.88,186.66,171.58,182.67,37379214.0
2026-05-20,180.27,207.47,180.19,189.24,45074049.0
2026-05-21,196.0,196.0,172.8,176.8,46067202.0
2026-05-22,179.98,189.95,170.1,187.95,40580214.0
2026-05-25,185.0,215.8,180.92,213.93,48323091.0
2026-05-26,221.7,235.32,210.02,229.0,49385093.0
2026-05-27,221.86,234.56,211.8,211.86,39498366.0
2026-05-28,204.96,222.03,197.33,214.99,30460638.0
2026-05-29,214.99,217.69,190.8,196.5,36180865.0
2026-06-01,193.0,197.89,178.82,178.85,34191048.0
2026-06-02,183.41,188.27,176.88,180.42,30994416.0
2026-06-03,179.0,196.33,179.0,186.85,36692714.0
2026-06-04,183.8,195.39,181.05,191.43,28707208.0
2026-06-05,188.5,188.51,173.0,173.3,35605252.0
2026-06-08,159.99,169.0,159.99,165.3,24305113.0
2026-06-09,169.66,173.48,160.0,169.06,28809352.0
2026-06-10,165.0,175.1,164.9,169.68,23711392.0
2026-06-11,166.3,177.77,165.65,172.0,23949167.0
2026-06-12,178.88,179.69,155.0,156.19,30492494.0
2026-06-15,160.0,168.48,157.0,168.0,23647303.0
2026-06-16,169.59,176.18,166.0,171.91,26853534.0
2026-06-17,166.9,185.0,166.9,181.87,29858729.0
2026-06-18,180.0,189.97,179.26,185.6,29436104.0
2026-06-22,191.0,213.35,188.1,206.04,32530001.0
2026-06-23,198.63,208.0,192.88,200.6,25742080.0
2026-06-24,197.0,216.99,194.3,213.98,30854471.0
2026-06-25,213.99,222.22,205.88,210.5,31034886.0
2026-06-26,205.6,205.6,190.0,190.25,29821515.0
2026-06-29,192.22,198.86,179.0,192.63,22584612.0
2026-06-30,192.0,198.01,185.0,193.61,21499020.0
2026-07-01,192.0,202.0,185.11,187.25,22625314.0
2026-07-02,178.4,195.0,171.0,179.87,20114117.0
2026-07-03,177.8,182.5,169.1,172.67,16667874.0
2026-07-06,183.5,198.0,182.0,187.85,29490271.0
2026-07-07,183.08,203.2,179.26,197.59,28588915.0
2026-07-08,197.99,203.0,180.8,188.32,24308649.0
2026-07-09,191.94,212.0,186.88,210.94,35922717.0
