date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,16.85,16.94,16.61,16.67,4623684.0,0.8729,88.30451387000001
2025-06-04,16.7,16.76,16.56,16.62,4617182.0,0.8716,88.03965330000001
2025-06-05,16.58,16.61,16.39,16.45,8329760.000000001,1.5725,87.13912737
2025-06-06,16.45,16.54,16.4,16.49,3539889.0,0.6683,87.35101582
2025-06-09,16.54,16.57,16.37,16.48,4580660.0,0.8647,87.29804371
2025-06-10,16.48,16.59,16.2,16.43,5839860.0,1.1024,87.03318314
2025-06-11,16.4,16.67,16.38,16.57,4862960.0,0.918,87.77479273
2025-06-12,16.59,16.69,16.47,16.55,3614604.0,0.6824,87.6688485
2025-06-13,16.56,16.84,16.4,16.56,8015344.0,1.5131,87.72182062
2025-06-16,16.41,16.53,16.3,16.36,5411060.0,1.0215,86.66237833999999
2025-06-17,16.39,16.47,16.28,16.44,3926800.0,0.7413,87.08615525
2025-06-18,16.42,16.88,16.31,16.68,9621090.0,1.8163,88.35748599
2025-06-19,16.59,17.2,16.59,16.97,12055600.0,2.2758,89.89367729
2025-06-20,17.0,17.12,16.65,16.67,8280900.0,1.5633,88.30451387000001
2025-06-23,16.68,17.29,16.67,17.2,9962618.0,1.8807,91.11203591
2025-06-24,17.2,17.5,17.1,17.33,8342792.0,1.5749,91.80067339
2025-06-25,17.38,17.48,17.03,17.37,9784560.0,1.8471,92.01256184
2025-06-26,17.36,17.45,17.15,17.17,5445200.0,1.0279,90.95311957
2025-06-27,17.17,17.24,17.1,17.15,4476661.0,0.8451,90.84717534
2025-06-30,17.18,17.8,17.06,17.59,9539320.0,1.8008,93.17794835
2025-07-01,17.46,17.95,17.46,17.66,8896175.0,1.6794,93.54875315000001
2025-07-02,17.6,17.64,17.31,17.46,4851614.0,0.9159,92.48931087
2025-07-03,17.46,17.52,17.36,17.47,2928300.0,0.5528,92.54228298
2025-07-04,17.48,17.65,17.35,17.43,3958199.0,0.7472,92.33039453
2025-07-07,17.39,17.59,17.23,17.5,3617200.0,0.6828,92.70119933
2025-07-08,17.48,18.28,17.48,18.06,10391485.0,1.9617,95.6676377
2025-07-09,18.1,19.07,17.8,18.53,10715235.0,2.0228,98.15732706
2025-07-10,18.15,18.34,17.83,17.91,10600635.0,2.0012,94.87305599
2025-07-11,18.0,18.22,17.81,17.94,6729914.0,1.2705,95.03197234
2025-07-14,17.96,18.03,17.71,17.78,6108022.0,1.1531,94.18441851
2025-07-15,17.72,17.85,17.53,17.68,4608198.0,0.8699,93.65469738
2025-07-16,17.69,17.79,17.57,17.61,3648000.0,0.6887,93.28389258
2025-07-17,17.6,18.05,17.58,17.99,7688567.0,1.4514,95.29683290999999
2025-07-18,18.0,18.14,17.98,18.1,5701273.0,1.0763,95.87952616
2025-07-21,18.1,18.1,17.94,18.01,4053662.9999999995,0.7652,95.40277713
2025-07-22,18.0,18.07,17.8,17.89,4633298.0,0.8747,94.76711177
2025-07-23,18.0,18.04,17.23,17.3,13554964.000000002,2.5589,91.64175705000001
2025-07-24,17.3,17.51,17.23,17.44,6529862.0,1.2327,92.38336664
2025-07-25,17.48,17.52,17.32,17.37,5346721.0,1.0093,92.01256184
2025-07-28,17.37,17.57,17.31,17.47,6269973.0,1.1836,92.54228298
2025-07-29,17.41,17.5,17.3,17.44,4248122.0,0.802,92.38336664
2025-07-30,17.46,17.61,17.23,17.4,7291958.0,1.3766,92.17147818999999
2025-07-31,17.4,17.44,17.1,17.14,6749678.0,1.2742,90.79420322
2025-08-01,17.15,17.42,17.13,17.33,4638041.0,0.8756,91.80067339
2025-08-04,17.34,17.41,17.21,17.34,3630619.9999999995,0.6854,91.8536455
2025-08-05,17.3,17.33,17.2,17.29,5258685.0,0.9927,91.58878493
2025-08-06,17.28,17.56,17.23,17.49,6886096.000000001,1.2999,92.64822720999999
2025-08-07,17.42,17.72,17.27,17.43,6680900.0,1.2612,92.33039453
2025-08-08,17.43,17.47,17.22,17.25,4715791.0,0.8902,91.37689648
2025-08-11,17.25,18.91,17.25,18.86,27802363.0,5.2485,99.90540682
2025-08-12,18.92,20.5,18.85,20.21,41887217.0,7.9074,107.05664218999999
2025-08-13,20.22,21.45,19.81,21.33,30366199.0,5.7325,112.98951895
2025-08-14,21.34,22.0,21.14,21.16,23041205.0,4.3497,112.08899301
2025-08-15,21.1,21.6,20.9,21.31,15884994.0,2.9987,112.88357472000001
2025-08-18,21.31,21.84,20.8,21.51,18263780.0,3.4478,113.943017
2025-08-19,21.68,21.75,21.15,21.22,9412505.0,1.7769,112.4068257
2025-08-20,21.33,22.29,21.12,21.81,13357335.999999998,2.5216,115.53218041999999
2025-08-21,21.83,22.2,21.55,21.96,12592533.0,2.3772,116.32676212
2025-08-22,21.81,22.0,21.31,21.92,13443007.999999998,2.5378,116.11487367
2025-08-25,21.92,22.07,21.05,21.47,14617420.000000002,2.7595,113.73112854
2025-08-26,21.41,22.49,21.35,22.16,14683839.000000002,2.772,117.3862044
2025-08-27,22.1,22.12,21.15,21.16,10685871.0,2.0173,112.08899301
2025-08-28,21.12,21.75,20.84,21.75,12300700.0,2.3221,115.21434772999999
2025-08-29,21.75,21.82,21.2,21.28,8873264.0,1.642,114.99789480000001
2025-09-01,21.54,21.54,20.62,21.0,12657200.0,2.3422,113.48476461
2025-09-02,21.01,21.09,20.22,20.43,8114300.0,1.5015,110.40446385999999
2025-09-03,20.58,20.58,19.97,20.05,6185060.0,1.1445,108.35093001999999
2025-09-04,19.98,20.12,19.11,19.41,8615694.0,1.5943,104.89234672
