date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,6.9,7.07,6.89,6.94,167343792.0,1.3237,877.3602880799999
2025-06-04,6.91,6.96,6.86,6.92,95649855.0,0.7566,874.83187227
2025-06-05,6.94,7.06,6.88,6.99,129084584.00000001,1.0211,883.68132762
2025-06-06,6.99,7.07,6.92,6.92,81863514.0,0.6475,874.83187227
2025-06-09,6.94,7.0,6.89,6.97,83977347.0,0.6643,881.1529118100001
2025-06-10,6.94,6.96,6.75,6.82,108393638.99999999,0.8574,862.18979319
2025-06-11,6.82,6.94,6.79,6.89,81277396.0,0.6429,871.03924854
2025-06-12,6.88,6.99,6.84,6.95,90731433.0,0.7177,878.6244959899999
2025-06-13,7.01,7.24,6.9,7.09,235451514.0,1.8624,896.3234067
2025-06-16,7.09,7.23,7.07,7.17,209658665.0,1.6584,906.43706996
2025-06-17,7.14,7.44,7.03,7.33,295615804.0,2.3383,926.6643964900001
2025-06-18,7.55,7.98,7.3,7.35,453367445.0,3.5862,929.1928123099999
2025-06-19,7.26,7.35,6.96,7.06,305266041.0,2.4147,892.53078298
2025-06-20,7.02,7.15,6.88,7.05,177612236.0,1.4049,891.26657507
2025-06-23,7.06,7.31,7.06,7.3,225907454.0,1.7869,922.87177277
2025-06-24,7.19,7.35,7.11,7.27,240345937.0,1.9012,919.07914904
2025-06-25,7.22,7.54,7.21,7.47,304333281.0,2.4073,944.3633072
2025-06-26,7.42,7.51,7.32,7.37,212263188.0,1.679,931.7212281199999
2025-06-27,7.38,7.58,7.32,7.34,216987265.0,1.7164,927.9286043999999
2025-06-30,7.34,7.37,7.22,7.3,150877118.0,1.1935,922.87177277
2025-07-01,7.31,7.31,7.16,7.21,111469000.0,0.8817,911.4939016000001
2025-07-02,7.2,7.5,7.19,7.43,257505306.99999997,2.0369,939.30647557
2025-07-03,7.4,7.42,7.25,7.32,120785818.0,0.9554,925.4001885800001
2025-07-04,7.32,7.7,7.26,7.56,314446792.0,2.4873,955.7411783700001
2025-07-07,7.58,8.0,7.57,7.86,372428390.0,2.9459,993.6674156099999
2025-07-08,7.8,8.65,7.73,8.65,554806037.0,4.3886,1093.53984033
2025-07-09,8.65,9.47,8.5,8.95,817439587.0,6.466,1131.46607757
2025-07-10,9.01,9.85,9.01,9.5,924363871.0000001,7.3118,1200.99751251
2025-07-11,9.5,9.98,9.16,9.66,776954900.0,6.1458,1221.22483903
2025-07-14,9.5,9.53,8.87,9.21,557035898.0,4.4062,1164.33548318
2025-07-15,9.2,9.4,8.83,8.88,488096579.0,3.8609,1122.61662222
2025-07-16,8.82,9.04,8.72,8.9,336318276.0,2.6603,1125.14503803
2025-07-17,9.16,9.46,9.01,9.19,488097141.0,3.8609,1161.80706736
2025-07-18,9.16,10.11,9.15,9.74,791166813.0,6.2582,1231.33850229
2025-07-21,9.48,9.58,9.18,9.3,482546867.0,3.817,1175.7133543500001
2025-07-22,9.26,9.44,8.97,9.23,386016085.0,3.0534,1166.86389899
2025-07-23,9.24,9.46,8.95,8.99,427540320.0,3.3819,1136.5229092
2025-07-24,8.88,9.12,8.86,9.1,290347546.0,2.2967,1150.4291961899999
2025-07-25,9.06,9.09,8.73,8.9,256663181.0,2.0302,1125.14503803
2025-07-28,8.9,9.66,8.84,9.38,421251349.0,3.3321,1185.82701761
2025-07-29,9.37,9.85,9.32,9.77,412576678.0,3.2635,1235.13112602
2025-07-30,9.88,9.88,8.88,8.99,448661355.0,3.549,1136.5229092
2025-07-31,8.97,9.02,8.6,8.66,301747977.0,2.3869,1094.80404824
2025-08-01,8.61,9.08,8.54,8.77,299699017.0,2.3706,1108.71033523
2025-08-04,8.68,8.9,8.39,8.48,259462052.0,2.0524,1072.0483059
2025-08-05,8.48,8.49,8.32,8.49,182808191.0,1.446,1073.31251381
2025-08-06,8.48,8.55,8.37,8.46,148356828.0,1.1735,1069.51989008
2025-08-07,8.46,8.48,8.28,8.37,143903480.0,1.1383,1058.14201891
2025-08-08,8.38,8.46,8.32,8.34,142609546.0,1.1281,1054.34939519
2025-08-11,8.36,8.47,8.29,8.43,155392597.0,1.2292,1065.72726636
2025-08-12,8.43,8.58,8.39,8.52,223954570.00000003,1.7715,1077.1051375299999
2025-08-13,8.56,8.65,8.38,8.53,236311542.0,1.8692,1078.36934544
2025-08-14,8.5,8.99,8.48,8.86,418402553.0,3.3096,1120.0882064
2025-08-15,8.75,8.99,8.5,8.9,309643079.0,2.4493,1125.14503803
2025-08-18,8.85,9.11,8.75,8.84,316429241.0,2.503,1117.55979058
2025-08-19,8.84,9.72,8.66,9.72,597991662.0,4.7302,1228.81008648
2025-08-20,9.89,10.33,9.66,9.88,681444276.0,5.3903,1249.0374130100001
2025-08-21,10.84,10.87,10.7,10.87,292685911.0,2.3152,1374.19399589
2025-08-22,10.75,11.96,10.53,11.96,727706491.0,5.7562,1511.9926578500001
2025-08-25,12.15,12.89,11.76,12.75,630349357.0,4.9861,1611.86508257
2025-08-26,12.38,12.65,11.78,11.85,542651858.0,4.2924,1498.08637086
2025-08-27,12.05,13.04,11.79,12.38,608941295.0,4.8168,1565.08938998
2025-08-28,12.29,13.15,11.95,13.05,591544290.0,4.6792,1649.79131981
2025-08-29,12.97,12.97,12.43,12.68,404635457.0,3.2007,1603.01562722
2025-09-01,13.69,13.69,12.71,13.07,474888476.0,3.7564,1652.31973563
2025-09-02,12.8,12.9,11.76,11.76,436506619.00000006,3.4528,1486.70849969
2025-09-03,11.53,11.53,10.8,10.89,387711507.0,3.0668,1376.7224117
2025-09-04,10.88,11.0,10.5,10.66,296027021.0,2.3416,1347.64562982
2025-09-05,10.63,10.82,10.27,10.8,255640720.00000003,2.0221,1365.3445405300001
2025-09-08,10.65,10.79,10.46,10.7,208356542.0,1.6481,1352.7024614499999
2025-09-09,10.65,10.74,10.26,10.31,159961844.0,1.2653,1303.39835304
2025-09-10,10.33,10.54,10.33,10.44,131836190.99999999,1.0428,1319.83305585
2025-09-11,10.34,11.48,10.29,11.13,411371929.0,3.254,1407.0634014900002
2025-09-12,10.85,11.46,10.84,11.14,326345678.0,2.5814,1408.3276094
2025-09-15,11.18,11.23,10.85,10.9,203995343.0,1.6136,1377.98661961
2025-09-16,10.82,10.99,10.72,10.91,163327924.0,1.2919,1379.25082752
2025-09-17,10.92,11.55,10.8,11.49,358692890.0,2.8373,1452.57488618
2025-09-18,11.25,11.34,10.85,11.11,280766876.0,2.2209,1404.5349856799999
2025-09-19,10.95,11.0,10.53,10.61,187293108.0,1.4815,1341.32459028
2025-09-22,10.53,10.82,10.53,10.76,116866164.99999999,0.9244,1360.2877088999999
2025-09-23,10.66,10.67,10.06,10.3,201214300.0,1.5916,1302.13414514
2025-09-24,10.21,10.46,10.12,10.42,137607809.0,1.0885,1317.30464003
2025-09-25,10.43,10.5,10.33,10.34,96118528.0,0.7603,1307.19097677
2025-09-26,10.4,10.64,10.34,10.36,155547219.0,1.2304,1309.71939258
2025-09-29,10.21,10.8,10.15,10.69,202327079.0,1.6004,1351.43825355
2025-09-30,10.6,10.62,10.41,10.5,144779867.0,1.1452,1327.4183033
2025-10-09,10.62,11.02,10.55,10.95,216132987.0,1.7096,1384.3076591499998
2025-10-10,11.0,11.45,10.9,11.1,280365510.0,2.2177,1403.27077777
2025-10-13,10.6,11.3,10.6,11.03,191005757.0,1.5109,1394.42132241
2025-10-14,11.13,12.08,11.13,11.81,474633209.0,3.7544,1493.02953923
2025-10-15,11.44,11.66,11.15,11.55,309671124.0,2.4495,1460.1601336200001
2025-10-16,11.39,11.39,11.0,11.02,184941066.0,1.4629,1393.15711451
2025-10-17,11.01,11.3,10.35,10.5,202720006.0,1.6035,1327.4183033
2025-10-20,10.59,10.68,10.37,10.45,130513898.0,1.0324,1321.0972637599998
2025-10-21,10.48,10.65,10.37,10.52,145099406.0,1.1477,1329.94671911
2025-10-22,10.4,10.86,10.34,10.54,155295852.0,1.2284,1332.4751349300002
2025-10-23,10.42,10.49,10.14,10.33,136472789.0,1.0795,1305.92676886
2025-10-24,10.31,10.45,10.3,10.38,94534037.0,0.7478,1312.2478084000002
2025-10-27,10.49,10.78,10.46,10.78,192399041.0,1.5219,1362.8161247199998
2025-10-28,10.64,10.72,10.55,10.57,127003975.0,1.0046,1336.2677586500001
2025-10-29,10.59,11.06,10.56,10.9,194511447.0,1.5386,1377.98661961
2025-10-30,10.8,10.84,10.47,10.48,156954691.0,1.2415,1324.88988748
2025-10-31,10.41,10.56,10.38,10.47,79436171.0,0.6283,1323.62567957
2025-11-03,10.41,10.45,10.22,10.36,90365965.0,0.7148,1309.71939258
2025-11-04,10.38,10.42,10.08,10.13,102860717.0,0.8136,1280.6426107
2025-11-05,10.0,10.08,9.68,9.83,149757289.0,1.1846,1242.71637347
2025-11-06,9.86,9.94,9.76,9.89,93541867.0,0.7399,1250.30162091
2025-11-07,9.82,9.93,9.76,9.83,72040126.0,0.5698,1242.71637347
2025-11-10,9.83,9.9,9.79,9.9,72627896.0,0.5745,1251.56582882
2025-11-11,9.86,9.9,9.55,9.61,123382386.00000001,0.976,1214.90379949
2025-11-12,9.57,9.67,9.5,9.53,67597244.0,0.5347,1204.79013623
2025-11-13,9.51,9.6,9.45,9.58,71151919.0,0.5628,1211.11117577
2025-11-14,9.5,9.62,9.42,9.45,61592192.00000001,0.4872,1194.6764729699998
2025-11-17,9.43,9.48,9.36,9.47,63926500.0,0.5057,1197.2048887800001
2025-11-18,9.44,9.46,9.33,9.36,62665480.00000001,0.4957,1183.29860179
2025-11-19,9.36,9.52,9.26,9.27,70537594.0,0.558,1171.9207306199999
2025-11-20,9.36,9.45,9.25,9.27,55676210.0,0.4404,1171.9207306199999
2025-11-21,9.18,9.25,8.94,8.94,90093096.0,0.7126,1130.20186966
2025-11-24,8.98,9.13,8.93,9.07,76519618.0,0.6053,1146.63657247
2025-11-25,9.09,9.27,9.07,9.17,65295612.0,0.5165,1159.27865154
2025-11-26,9.13,9.23,9.11,9.12,45637743.0,0.361,1152.957612
2025-11-27,9.11,9.2,9.07,9.09,45328722.0,0.3586,1149.16498828
2025-11-28,9.09,9.16,9.02,9.16,43186430.0,0.3416,1158.01444364
2025-12-01,9.1,9.21,9.06,9.2,54060211.0,0.4276,1163.07127527
