date,open,high,low,close,volume
2025-06-03,29.7,31.27,28.69,30.51,3455909.0
2025-06-04,30.94,32.54,29.97,31.99,2802635.0
2025-06-05,31.99,32.99,31.3,32.41,2105589.0
2025-06-06,32.21,32.83,31.58,32.4,1645240.0
2025-06-09,32.4,32.92,30.55,30.76,2718616.0
2025-06-10,30.5,31.28,29.64,30.03,1763517.0
2025-06-11,30.03,30.98,29.62,29.9,1116936.0
2025-06-12,29.66,31.77,29.61,30.2,2635815.0
2025-06-13,29.82,30.64,29.79,30.34,2025745.0
2025-06-16,30.03,33.02,29.25,32.44,2787839.0
2025-06-17,33.68,34.88,31.2,31.97,3772081.0
2025-06-18,33.49,33.49,30.5,31.09,1765007.0
2025-06-19,30.6,32.3,29.65,29.96,1627205.0
2025-06-20,29.82,31.27,29.45,30.35,1400999.0
2025-06-23,30.26,31.49,29.73,31.16,928134.0
2025-06-24,31.12,32.0,31.0,31.26,1298981.0
2025-06-25,31.13,31.5,30.1,30.26,1540233.0
2025-06-26,30.47,32.4,30.26,31.62,2722512.0
2025-06-27,31.62,32.0,29.79,29.79,2538874.0
2025-06-30,30.0,32.31,29.95,30.76,4413478.0
2025-07-01,30.65,30.95,29.5,30.53,2126083.0
2025-07-02,30.51,30.51,29.27,29.39,1555075.0
2025-07-03,29.49,29.49,28.36,29.16,1880294.0
2025-07-04,29.26,29.38,28.68,29.03,1769469.0
2025-07-07,28.61,29.91,28.6,28.75,1328460.0
2025-07-08,28.91,29.5,28.73,29.16,1473254.0
2025-07-09,29.58,30.26,28.9,29.7,2162821.0
2025-07-10,29.64,29.7,28.52,28.99,1250415.0
2025-07-11,28.99,29.59,28.7,29.4,1148368.0
2025-07-14,29.4,31.2,29.26,30.83,2369470.0
2025-07-15,30.71,31.26,30.2,30.96,1568508.0
2025-07-16,31.29,31.29,30.16,30.31,1125713.0
2025-07-17,30.82,30.82,29.67,30.03,2731405.0
2025-07-18,30.15,31.18,29.96,31.14,1951426.0
2025-07-21,31.14,33.58,30.86,32.88,4109631.0
2025-07-22,32.88,33.48,32.3,32.92,1916299.0
2025-07-23,32.92,33.96,32.0,33.17,1610396.0
2025-07-24,33.17,34.31,32.48,34.16,2124373.0
2025-07-25,34.82,37.98,34.51,37.0,3709923.0
2025-07-28,37.0,39.01,35.01,38.82,3913327.0
2025-07-29,38.82,38.91,36.82,36.92,2197761.0
2025-07-30,36.74,38.14,35.68,37.97,1868292.0
2025-07-31,37.97,37.97,36.06,36.41,1592421.0
2025-08-01,36.52,36.59,35.51,35.97,1781145.0
2025-08-04,35.97,37.3,34.96,36.7,1447639.0
