date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,87.56,92.53,86.7,92.28,3332936.0,1.3619,225.83593412000002
2025-06-04,91.81,99.98,91.63,97.71,4887814.0,1.9972,239.12471957999998
2025-06-05,97.31,97.31,89.78,89.81,5339786.0,2.1819,219.79112747
2025-06-06,89.08,90.36,87.25,88.5,2705440.0,1.1055,216.58517738999998
2025-06-09,88.37,89.46,87.3,88.78,1890222.0,0.7724,217.27041863000002
2025-06-10,88.78,90.54,87.8,89.02,1451760.0,0.5932,217.85776826
2025-06-11,88.73,89.12,87.01,87.8,2103010.0,0.8593,214.87207341
2025-06-12,87.8,90.17,87.1,89.44,2157805.0,0.8817,218.88562922999998
2025-06-13,89.34,89.34,85.5,87.1,2480183.0,1.0134,213.15897031999998
2025-06-16,86.1,87.09,85.25,85.76,1763143.0,0.7204,209.87960155000002
2025-06-17,85.5,86.75,81.9,81.9,4150011.0,1.6958,200.43306165
2025-06-18,82.2,83.3,81.42,81.99,2942840.0,1.2025,200.65331776
2025-06-19,82.78,82.85,78.95,79.29,3112582.0,1.2718,194.04563441000002
2025-06-20,79.29,82.56,79.29,80.8,2735305.0,1.1177,197.7410425
2025-06-23,80.02,81.44,79.71,80.6,1733259.9999999998,0.7082,197.25158448000002
2025-06-24,80.6,81.49,80.1,81.12,1672216.9999999998,0.6833,198.52417535
2025-06-25,81.35,81.81,80.58,81.08,1605164.0,0.6559,198.42628374
2025-06-26,81.08,81.19,79.89,80.26,1630350.0,0.6662,196.41950583
2025-06-27,79.96,80.27,78.66,78.7,1684859.9999999998,0.6885,192.60173322999998
2025-06-30,78.11,80.78,77.5,80.4,2903917.0,1.1818,197.55989545
2025-07-01,80.1,81.73,79.71,81.35,1862600.0,0.758,199.89424745
2025-07-02,80.95,81.35,78.1,78.25,2053524.0000000002,0.8357,192.2768883
2025-07-03,78.24,79.7,77.52,77.89,1933765.0000000002,0.787,191.39229175
2025-07-04,77.74,78.2,76.65,77.56,1671771.0,0.6804,190.58141158
2025-07-07,77.57,79.21,77.08,78.05,1833520.0,0.7462,191.78544577
2025-07-08,78.01,78.79,76.69,78.2,1746070.0,0.7106,192.15402767
2025-07-09,78.2,80.56,78.0,79.7,2412824.0,0.9819,195.83984661
2025-07-10,79.0,79.0,73.0,74.0,5642950.0,2.2965,181.83373462
2025-07-11,73.97,75.78,73.51,74.15,2252330.0,0.9166,182.20231651
2025-07-14,74.3,75.58,74.26,74.84,2247123.0,0.9145,183.89779323
2025-07-15,74.12,75.0,70.67,73.8,4917062.0,2.0011,181.34229209
2025-07-16,73.4,75.86,73.4,74.64,2679323.0,1.0904,183.4063507
2025-07-17,74.51,75.63,73.61,75.4,2226720.0,0.9062,185.2738323
2025-07-18,75.06,75.63,73.7,74.69,1693759.9999999998,0.6893,183.52921133
2025-07-21,74.6,75.48,73.86,74.6,1760639.0,0.7165,183.3080622
2025-07-22,74.43,76.11,74.07,75.0,1915340.0000000002,0.7795,184.29094725
2025-07-23,75.2,75.8,74.6,74.75,1192993.0,0.4855,183.67664409
