date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,12.44,12.63,12.38,12.48,4815700.0,1.6376,36.70031165
2025-06-04,12.5,13.25,12.47,12.87,11017247.0,3.7464,37.84719639
2025-06-05,12.87,13.5,12.87,13.13,13400700.0,4.5569,38.611786210000005
2025-06-06,13.05,13.18,12.91,13.09,6192379.0,2.1057,38.49415701
2025-06-09,13.08,13.35,13.0,13.22,7956610.000000001,2.7057,38.87645192
2025-06-10,13.23,13.35,12.85,13.11,7672519.0,2.6091,38.55297161
2025-06-11,13.04,13.18,12.98,13.02,6134466.0,2.086,38.2883059
2025-06-12,13.01,13.03,12.73,12.85,6830147.0,2.3226,37.78838179
2025-06-13,12.7,12.75,12.3,12.32,10188848.0,3.4647,36.22979483
2025-06-16,12.26,12.56,12.22,12.46,4965368.0,1.6885,36.64149705
2025-06-17,12.49,12.56,12.32,12.45,4602068.0,1.5649,36.61208975
2025-06-18,12.38,12.44,12.19,12.28,4076906.0,1.3864,36.11216563
2025-06-19,12.26,12.39,12.03,12.06,5051982.0,1.7179,35.46520501
2025-06-20,12.06,12.18,12.01,12.06,3461900.0,1.1772,35.46520501
2025-06-23,11.99,12.31,11.88,12.31,4436540.0,1.5087,36.20038753
2025-06-24,12.35,12.54,12.31,12.54,5529000.0,1.8801,36.876755450000005
2025-06-25,12.57,13.18,12.54,12.84,9314800.0,3.1675,37.75897448
2025-06-26,12.84,12.89,12.65,12.66,7031700.0,2.3911,37.22964307
2025-06-27,12.69,12.78,12.61,12.65,4792068.0,1.6296,37.20023577
2025-06-30,12.68,12.84,12.6,12.83,5709366.0,1.9415,37.72956718
2025-07-01,12.82,12.83,12.62,12.76,4434868.0,1.5081,37.52371608
2025-07-02,12.75,12.93,12.65,12.83,5318800.0,1.8087,37.72956718
2025-07-03,12.91,13.1,12.8,13.06,8646200.0,2.9402,38.40593511
2025-07-04,13.16,13.17,12.78,12.79,6243202.0,2.123,37.61193798
2025-07-07,12.76,12.85,12.7,12.83,3014798.0,1.0252,37.72956718
2025-07-08,12.83,13.03,12.79,12.96,5141000.0,1.7482,38.1118621
2025-07-09,12.96,13.08,12.84,12.89,4409000.0,1.4993,37.90601099
2025-07-10,12.89,13.02,12.81,13.0,4526000.0,1.5391,38.2294913
2025-07-11,13.05,13.36,12.95,13.12,10221300.0,3.4758,38.58237891
2025-07-14,13.12,13.25,12.99,13.19,5763503.0,1.9599,38.78823002
2025-07-15,13.19,13.19,12.83,13.02,6363203.0,2.1638,38.2883059
2025-07-16,13.02,13.4,12.92,13.18,8372700.0,2.8472,38.758822720000005
2025-07-17,13.14,13.23,13.08,13.18,4814300.0,1.6371,38.758822720000005
2025-07-18,13.18,13.29,13.06,13.17,5021537.0,1.7076,38.72941542
2025-07-21,13.16,13.28,13.1,13.26,5266169.0,1.7908,38.99408113
