date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.55,3.55,3.42,3.43,30365438.0,0.4666,223.19914309
2025-06-04,3.44,3.51,3.43,3.49,30085713.0,0.4623,227.10350128
2025-06-05,3.51,3.54,3.47,3.48,21258921.0,0.3267,226.45277492
2025-06-06,3.49,3.54,3.48,3.54,21574381.0,0.3315,230.3571331
2025-06-09,3.53,3.55,3.48,3.52,20163197.0,0.3099,229.05568037
2025-06-10,3.54,3.55,3.5,3.52,22796360.0,0.3503,229.05568037
2025-06-11,3.52,3.56,3.51,3.53,20451384.0,0.3143,229.70640674
2025-06-12,3.52,3.53,3.49,3.51,16251624.0,0.2497,228.40495401
2025-06-13,3.51,3.52,3.46,3.47,17380317.0,0.2671,225.80204855
2025-06-16,3.46,3.48,3.42,3.44,20419647.0,0.3138,223.84986946
2025-06-17,3.44,3.45,3.39,3.41,22433383.0,0.3447,221.89769036
2025-06-18,3.4,3.41,3.34,3.38,26816300.0,0.4121,219.94551127
2025-06-19,3.38,3.39,3.34,3.35,18775571.0,0.2885,217.99333217000003
2025-06-20,3.33,3.39,3.32,3.35,33030766.0,0.5076,217.99333217000003
2025-06-23,3.34,3.36,3.3,3.32,21660571.0,0.3329,216.04115308
2025-06-24,3.33,3.37,3.31,3.35,21017952.0,0.323,217.99333217000003
2025-06-25,3.36,3.4,3.33,3.38,24404727.0,0.375,219.94551127
2025-06-26,3.37,3.4,3.34,3.36,23239228.0,0.3571,218.64405854000003
2025-06-27,3.36,3.41,3.35,3.38,26278023.0,0.4038,219.94551127
2025-06-30,3.38,3.43,3.37,3.4,26192640.0,0.4025,221.246964
2025-07-01,3.41,3.53,3.39,3.51,43079019.0,0.662,228.40495401
2025-07-02,3.51,3.86,3.51,3.86,112421023.0,1.7276,251.18037677
2025-07-03,3.87,3.89,3.72,3.85,100612151.0,1.5462,250.52965041
2025-07-04,3.85,4.12,3.85,4.01,114373975.0,1.7576,260.94127224
2025-07-07,3.95,4.09,3.91,4.0,74312079.0,1.142,260.29054588
2025-07-08,3.99,4.06,3.94,4.03,57684968.00000001,0.8865,262.24272497
2025-07-09,4.01,4.07,3.93,3.96,42463044.0,0.6525,257.68764042000004
2025-07-10,3.94,4.03,3.91,4.03,38140281.0,0.5861,262.24272497
2025-07-11,4.02,4.11,3.99,4.0,65157838.0,1.0013,260.29054588
2025-07-14,3.99,4.06,3.96,4.04,48804359.0,0.75,262.89345134
2025-07-15,4.02,4.05,3.97,4.0,28909733.0,0.4443,260.29054588
2025-07-16,3.98,4.0,3.84,3.87,57579684.0,0.8849,251.83110314
2025-07-17,3.88,4.05,3.85,4.02,66821674.0,1.0269,261.59199861
2025-07-18,4.05,4.16,4.02,4.05,41498085.0,0.6377,263.5441777
2025-07-21,4.07,4.23,4.06,4.18,75833650.0,1.1654,272.00362044
2025-07-22,4.18,4.32,4.14,4.3,72727297.0,1.1176,279.81233682
2025-07-23,4.32,4.49,4.25,4.26,91387133.0,1.4044,277.20943136
2025-07-24,4.22,4.36,4.2,4.34,51790615.0,0.7959,282.41524228
2025-07-25,4.35,4.38,4.31,4.32,37051075.0,0.5694,281.11378955000004
2025-07-28,4.3,4.32,4.18,4.3,45441563.0,0.6983,279.81233682
2025-07-29,4.3,4.43,4.26,4.42,49087790.0,0.7544,287.6210532
2025-07-30,4.44,4.55,4.36,4.4,58331098.0,0.8964,286.31960047
2025-07-31,4.38,4.38,4.15,4.18,52152188.0,0.8014,272.00362044
2025-08-01,4.17,4.19,4.11,4.13,44695992.0,0.6869,268.74998862
2025-08-04,4.12,4.16,4.03,4.14,40088400.0,0.6161,269.40071499
2025-08-05,4.15,4.25,4.13,4.18,36689515.0,0.5638,272.00362044
2025-08-06,4.18,4.25,4.15,4.24,30331401.0,0.4661,275.90797863
2025-08-07,4.24,4.28,4.12,4.16,43110634.0,0.6625,270.70216772
2025-08-08,4.15,4.3,4.13,4.26,33424455.0,0.5136,277.20943136
2025-08-11,4.26,4.27,4.2,4.21,24455950.0,0.3758,273.95579954
2025-08-12,4.2,4.21,4.15,4.16,25482508.0,0.3916,270.70216772
2025-08-13,4.18,4.24,4.16,4.17,25364595.0,0.3898,271.35289408
2025-08-14,4.17,4.2,4.06,4.07,35580195.0,0.5468,264.84563043
2025-08-15,4.06,4.14,4.06,4.13,25964000.0,0.399,268.74998862
2025-08-18,4.15,4.16,4.09,4.11,37330790.0,0.5737,267.44853589
2025-08-19,4.12,4.19,4.12,4.15,33249056.0,0.511,270.05144135
2025-08-20,4.14,4.2,4.12,4.19,29659959.000000004,0.4558,272.65434681
2025-08-21,4.19,4.28,4.17,4.23,33677400.0,0.5175,275.25725227
2025-08-22,4.23,4.24,4.12,4.17,28234860.0,0.4339,271.35289408
2025-08-25,4.19,4.33,4.16,4.3,50236782.0,0.772,279.81233682
2025-08-26,4.31,4.31,4.16,4.19,51331469.0,0.7888,272.65434681
2025-08-27,4.19,4.21,4.08,4.09,37476214.0,0.5759,266.14708316
2025-08-28,4.08,4.1,3.98,4.1,38611265.0,0.5934,266.79780953
2025-08-29,4.1,4.17,4.09,4.16,34710488.0,0.5334,270.70216772
2025-09-01,4.16,4.2,4.07,4.17,42087887.0,0.6468,271.35289408
2025-09-02,4.16,4.17,4.07,4.12,25098848.0,0.3857,268.09926226
2025-09-03,4.13,4.13,4.04,4.06,22654625.0,0.3481,264.19490406999995
2025-09-04,4.05,4.06,3.97,4.02,27666821.000000004,0.4252,261.59199861
2025-09-05,4.02,4.06,3.98,4.05,25642636.0,0.3941,263.5441777
2025-09-08,4.05,4.16,4.03,4.15,28116772.0,0.4321,270.05144135
2025-09-09,4.15,4.22,4.11,4.17,27815796.000000004,0.4275,271.35289408
2025-09-10,4.15,4.16,4.06,4.12,25209049.0,0.3874,268.09926226
2025-09-11,4.12,4.22,4.09,4.22,36447465.0,0.5601,274.6065259
2025-09-12,4.25,4.6,4.2,4.5,118764444.0,1.8251,292.82686412
2025-09-15,4.48,4.57,4.33,4.43,80806587.0,1.2418,288.27177956
2025-09-16,4.43,4.74,4.32,4.56,121449429.0,1.8664,296.7312223
2025-09-17,4.46,4.7,4.31,4.65,136547968.0,2.0984,302.58775959
2025-09-18,4.56,4.8,4.48,4.62,163065780.0,2.5059,300.63558049
2025-09-19,4.71,5.08,4.51,4.58,282564338.0,4.3423,298.03267503
2025-09-22,4.14,4.27,4.12,4.18,199272465.0,3.0623,272.00362044
2025-09-23,4.14,4.18,3.91,3.98,118947714.0,1.8279,258.98909315
2025-09-24,3.98,4.15,3.93,4.1,88295794.0,1.3569,266.79780953
2025-09-25,4.1,4.12,4.02,4.03,61078551.0,0.9386,262.24272497
2025-09-26,4.01,4.07,3.99,4.02,53057249.0,0.8154,261.59199861
2025-09-29,4.0,4.08,3.92,4.08,51487792.0,0.7912,265.4963568
2025-09-30,4.15,4.41,4.15,4.26,100587272.0,1.5458,277.20943136
2025-10-09,4.32,4.34,4.23,4.28,74406787.0,1.1434,278.51088409
2025-10-10,4.25,4.41,4.19,4.39,76706313.0,1.1788,285.6688741
2025-10-13,4.25,4.37,4.22,4.35,61938268.99999999,0.9518,283.06596864
2025-10-14,4.37,4.42,4.25,4.27,60326743.00000001,0.9271,277.86015773
2025-10-15,4.28,4.34,4.26,4.31,38048577.0,0.5847,280.46306319
2025-10-16,4.28,4.31,4.15,4.17,48840585.0,0.7506,271.35289408
2025-10-17,4.16,4.25,4.07,4.09,51960945.0,0.7985,266.14708316
2025-10-20,4.11,4.14,4.08,4.12,33165973.0,0.4409,309.93445786
2025-10-21,4.12,4.16,4.09,4.15,28355894.0,0.3769,312.19126216
2025-10-22,4.12,4.2,4.11,4.17,25781940.0,0.3427,313.69579837000003
2025-10-23,4.18,4.21,4.1,4.2,31961981.0,0.4249,315.95260267
2025-10-24,4.19,4.22,4.09,4.11,39012070.0,0.5186,309.18218976
2025-10-27,4.14,4.26,4.13,4.19,61309719.99999999,0.815,315.20033457
2025-10-28,4.23,4.23,4.1,4.11,45143220.0,0.6001,309.18218976
2025-10-29,4.12,4.14,4.06,4.13,33160326.0,0.4408,310.68672596
2025-10-30,4.13,4.25,4.12,4.21,58255685.0,0.7744,316.70487077
2025-10-31,4.2,4.26,4.18,4.2,39385006.0,0.5236,315.95260267
2025-11-03,4.23,4.25,4.15,4.23,51010668.0,0.6781,318.20940698000004
2025-11-04,4.21,4.34,4.2,4.24,62140294.99999999,0.826,318.96167508
2025-11-05,4.2,4.32,4.19,4.31,45462359.0,0.6043,324.22755179
2025-11-06,4.32,4.45,4.3,4.42,58955299.0,0.7837,332.50250091
2025-11-07,4.42,4.53,4.39,4.51,55312504.0,0.7353,339.27291382
2025-11-10,4.5,4.52,4.4,4.47,46203648.0,0.6142,336.26384142
2025-11-11,4.46,4.5,4.43,4.47,29617492.0,0.3937,336.26384142
2025-11-12,4.46,4.51,4.41,4.45,31620835.0,0.4203,334.75930521
2025-11-13,4.45,4.62,4.42,4.54,46080063.0,0.6125,341.52971813
2025-11-14,4.52,4.61,4.5,4.55,32708166.0,0.4348,342.28198623000003
2025-11-17,4.53,4.67,4.53,4.63,51646845.0,0.6865,348.30013104
2025-11-18,4.6,4.64,4.43,4.45,48254358.0,0.6415,334.75930521
2025-11-19,4.46,4.51,4.41,4.48,29839048.0,0.3967,337.01610952
2025-11-20,4.44,4.49,4.4,4.42,28099559.000000004,0.3735,332.50250091
2025-11-21,4.39,4.4,4.23,4.23,34325733.0,0.4563,318.20940698000004
2025-11-24,4.25,4.31,4.19,4.26,33764836.0,0.4488,320.46621128
2025-11-25,4.26,4.28,4.15,4.17,38728205.0,0.5148,313.69579837000003
2025-11-26,4.19,4.2,4.09,4.1,45408888.0,0.6036,308.42992166
2025-11-27,4.11,4.12,4.05,4.06,33366277.0,0.4435,305.42084925
2025-11-28,4.07,4.18,4.05,4.15,35359197.0,0.47,312.19126216
2025-12-01,4.16,4.31,4.15,4.3,41337463.0,0.5495,323.47528369
2025-12-02,4.31,4.5,4.28,4.45,55504955.00000001,0.7378,334.75930521
2025-12-03,4.44,4.58,4.41,4.5,64615582.99999999,0.8589,338.52064572
2025-12-04,4.52,4.52,4.42,4.44,44668299.0,0.5938,334.00703711
2025-12-05,4.44,4.52,4.4,4.51,38320526.0,0.5094,339.27291382
2025-12-08,4.51,4.57,4.44,4.53,33948478.0,0.4513,340.77745002
2025-12-09,4.51,4.52,4.3,4.31,43891637.0,0.5835,324.22755179
2025-12-10,4.32,4.33,4.23,4.29,39798056.0,0.529,322.72301559
2025-12-11,4.3,4.32,4.23,4.24,32207244.0,0.4281,318.96167508
2025-12-12,4.24,4.32,4.2,4.29,37130920.0,0.4936,322.72301559
2025-12-15,4.29,4.43,4.26,4.39,31842308.0,0.4233,330.2456966
2025-12-16,4.36,4.44,4.3,4.35,35081340.0,0.4663,327.2366242
2025-12-17,4.34,4.42,4.26,4.4,32854483.0,0.4367,330.9979647
2025-12-18,4.39,4.45,4.37,4.4,21230326.0,0.2822,330.9979647
2025-12-19,4.4,4.58,4.37,4.58,53593391.0,0.7124,344.53879053
2025-12-22,4.82,4.99,4.7,4.85,141665634.0,1.8832,364.85002928
2025-12-23,4.85,4.94,4.81,4.87,80213223.0,1.0663,366.35456548
2025-12-24,4.87,5.04,4.81,4.99,68679051.0,0.913,375.3817827
2025-12-26,4.9,4.97,4.88,4.93,39480886.0,0.5248,370.86817409
2025-12-29,4.93,5.0,4.88,4.93,40398205.0,0.537,370.86817409
2025-12-30,4.9,4.95,4.84,4.9,40130758.0,0.5335,368.61136978
2025-12-31,4.9,4.92,4.85,4.9,27299885.0,0.3629,368.61136978
2026-01-05,4.96,4.99,4.82,4.86,48448315.0,0.644,365.60229738
2026-01-06,4.88,4.96,4.82,4.92,43445201.0,0.5775,370.11590599
2026-01-07,4.94,5.06,4.93,5.01,45282102.0,0.6019,376.8863189
2026-01-08,5.0,5.06,4.96,5.05,45140629.0,0.6001,379.89539131
2026-01-09,5.05,5.12,4.88,4.9,65358096.0,0.8688,368.61136978
2026-01-12,5.0,5.3,4.99,5.21,75873676.0,1.0086,391.93168093
2026-01-13,5.19,5.3,5.12,5.18,53457606.99999999,0.7106,389.67487663
2026-01-14,5.17,5.3,5.15,5.23,55013240.0,0.7313,393.43621714
2026-01-15,5.22,5.31,5.16,5.18,47610994.0,0.6329,389.67487663
2026-01-16,5.22,5.27,5.12,5.2,44284176.0,0.5887,391.17941283
2026-01-19,5.2,5.35,5.13,5.31,51232314.0,0.681,399.45436195
2026-01-20,5.35,5.42,5.21,5.35,48800401.0,0.6487,402.46343436
2026-01-21,5.35,5.44,5.27,5.43,39448885.0,0.5244,408.48157917
2026-01-22,5.44,5.58,5.39,5.55,38033604.0,0.5056,417.50879639
2026-01-23,5.55,5.72,5.44,5.66,50699520.0,0.674,425.78374551
2026-01-26,5.72,5.85,5.65,5.71,62413824.0,0.8297,429.54508601
2026-01-27,5.67,5.73,5.55,5.61,49302509.0,0.6554,422.022405
2026-01-28,5.61,5.76,5.52,5.72,47333060.0,0.6292,430.29735412
2026-01-29,5.75,5.78,5.64,5.68,40487779.0,0.5382,427.28828171
2026-01-30,5.66,5.75,5.46,5.66,58249841.0,0.7743,425.78374551
2026-02-02,5.57,5.61,5.27,5.29,60011298.0,0.7977,397.94982575
2026-02-03,5.35,5.59,5.35,5.58,46199864.0,0.6141,419.76560069
2026-02-04,5.58,5.65,5.48,5.63,34091626.0,0.4532,423.5269412
2026-02-05,5.61,5.64,5.51,5.55,23836740.0,0.3169,417.50879639
2026-02-06,5.49,5.6,5.42,5.53,25605588.0,0.3404,416.00426018
2026-02-09,5.56,5.68,5.53,5.6,28470259.000000004,0.3785,421.2701369
2026-02-10,5.6,5.63,5.5,5.52,20670224.0,0.2748,415.25199208
2026-02-11,5.51,5.6,5.47,5.56,29936504.0,0.3979,418.26106449
2026-02-12,5.55,5.64,5.51,5.56,24012705.0,0.3192,418.26106449
2026-02-13,5.53,5.56,5.4,5.4,32137800.0,0.4272,406.22477486
2026-02-24,5.48,5.54,5.42,5.5,28001168.0,0.3722,413.74745588
2026-02-25,5.49,5.8,5.47,5.7,43417324.0,0.5772,428.79281791000005
2026-02-26,5.71,5.79,5.65,5.68,29152091.0,0.3875,427.28828171
2026-02-27,5.65,5.78,5.61,5.72,37917000.0,0.504,430.29735412
2026-03-02,5.67,5.79,5.62,5.79,52350605.0,0.6959,435.56323083
2026-03-03,5.77,5.84,5.56,5.59,43530789.0,0.5787,420.51786879
2026-03-04,5.5,5.63,5.45,5.48,28780100.0,0.3826,412.24291968
2026-03-05,5.57,5.59,5.42,5.46,25210866.0,0.3351,410.73838347
2026-03-06,5.46,5.49,5.4,5.43,21920158.0,0.2914,408.48157917
2026-03-09,5.43,5.45,5.27,5.43,34426538.0,0.4576,408.48157917
2026-03-10,5.43,5.52,5.33,5.4,28098752.0,0.3735,406.22477486
2026-03-11,5.38,5.5,5.36,5.4,36693244.0,0.4878,406.22477486
2026-03-12,5.4,5.49,5.37,5.43,27298097.0,0.3629,408.48157917
2026-03-13,5.41,5.48,5.32,5.34,31747845.0,0.422,401.71116625
2026-03-16,5.33,5.34,5.14,5.18,37295559.0,0.4958,389.67487663
2026-03-17,5.2,5.26,5.09,5.12,36973464.0,0.4915,385.16126802
2026-03-18,5.12,5.16,5.04,5.08,32666909.000000004,0.4342,382.15219561
2026-03-19,5.05,5.05,4.85,4.9,58847616.0,0.7823,368.61136978
2026-03-20,4.92,4.94,4.76,4.8,52241172.0,0.6944,361.08868877
2026-03-23,4.78,4.88,4.68,4.7,75247490.0,1.0003,353.56600775000004
2026-03-24,4.8,4.84,4.68,4.78,52054720.0,0.692,359.58415256
2026-03-25,4.8,4.84,4.73,4.78,41072149.0,0.546,359.58415256
2026-03-26,4.76,4.81,4.65,4.67,53577576.0,0.719,347.99006577
2026-04-13,4.8,4.98,4.61,4.79,133036804.0,1.7853,356.93199465000004
2026-04-14,4.81,4.84,4.59,4.66,105684135.0,1.4183,347.24490503
2026-04-15,4.67,4.81,4.6,4.66,61619626.0,0.8269,347.24490503
2026-04-16,4.67,4.84,4.61,4.83,86432158.0,1.1599,359.91263761
2026-04-17,4.81,4.85,4.69,4.75,49005714.0,0.6577,353.95135169
2026-04-20,4.68,4.68,4.5,4.56,73165706.0,0.9819,339.79329762
2026-04-21,4.58,4.6,4.52,4.55,39496841.0,0.53,339.04813688
2026-04-22,4.54,4.61,4.52,4.56,38663669.0,0.5189,339.79329762
2026-04-23,4.55,4.58,4.43,4.45,40897205.0,0.5488,331.59652948
2026-04-24,4.41,4.47,4.36,4.45,31382818.0,0.4212,331.59652948
2026-04-27,4.44,4.5,4.41,4.44,31786900.0,0.4266,330.85136874
2026-04-28,4.42,4.5,4.38,4.5,34363681.0,0.4612,335.32233318
2026-04-29,4.49,4.73,4.47,4.69,52425162.0,0.7035,349.48038725
2026-04-30,4.69,4.69,4.52,4.56,38873706.0,0.5217,339.79329762
2026-05-06,4.56,4.6,4.52,4.57,35129518.0,0.4714,340.53845836
2026-05-07,4.62,4.69,4.57,4.58,30070536.0,0.4035,341.2836191
2026-05-08,4.57,4.62,4.51,4.54,26271259.000000004,0.3526,338.30297614
2026-05-11,4.54,4.54,4.45,4.47,30410314.0,0.4081,333.08685096
2026-05-12,4.48,4.5,4.36,4.36,36384280.0,0.4883,324.89008281
2026-05-13,4.36,4.38,4.26,4.27,37920218.0,0.5089,318.18363615
2026-05-14,4.27,4.29,4.14,4.14,37627146.0,0.505,308.49654653
2026-05-15,4.14,4.17,4.07,4.09,37113179.0,0.4981,304.77074282
2026-05-18,4.07,4.09,3.94,3.95,47653712.0,0.6395,294.33849246
2026-05-19,3.94,3.97,3.84,3.9,36278132.0,0.4868,290.61268876
2026-05-20,3.87,3.87,3.7,3.75,46772529.0,0.6277,279.43527765
2026-05-21,3.76,3.82,3.67,3.68,35806000.0,0.4805,274.21915247
2026-05-22,3.72,3.73,3.64,3.66,36396560.0,0.4884,272.72883099
2026-05-25,3.69,3.73,3.6,3.62,35166820.0,0.4719,269.74818802
2026-05-26,3.6,3.87,3.57,3.76,71821786.0,0.9638,280.18043839
2026-05-27,3.75,3.77,3.61,3.65,44929623.0,0.603,271.98367025
2026-05-28,3.66,3.71,3.56,3.63,33953013.0,0.4556,270.49334877
2026-05-29,3.62,3.69,3.6,3.61,32053273.0,0.4302,269.00302728
2026-06-01,3.6,3.67,3.55,3.65,32656741.0,0.4383,271.98367025
2026-06-02,3.65,3.68,3.55,3.59,35153405.0,0.4718,267.5127058
